anchor,C_anchor,assumption,e_lo,e_hi,n_beyond,share_over_identified,share_under_identified,share_not_identified,median_w_lo_sig50_80,median_w_hi_sig50_80,median_s_lo_sig50_80,median_s_hi_sig50_80,median_w_lo_sig60_75,median_w_hi_sig60_75
Chinchilla (Epoch extraction),2.907351132953245e+21,Normal inputs only,-1.0,1.0,149,0.3087248322147651,0.0,0.6912751677852349,0.268864936117508,2100.8471282990295,0.0,0.9995240015389365,0.4165713954326444,164.03239812643875
Chinchilla (Epoch extraction),2.907351132953245e+21,Slope in cross-sweep range,-0.1399999999999999,0.26,149,0.7718120805369127,0.013422818791946308,0.21476510067114093,1.408371662917419,64.49381982994451,0.2899601530404863,0.9844946383601286,1.5786639963188938,16.082197825170535
Chinchilla (Epoch extraction),2.907351132953245e+21,Cross-sweep range + M* nondecreasing,0.0,0.26,149,0.7718120805369127,0.020134228187919462,0.2080536912751678,1.408371662917419,35.90490700828108,0.2899601530404863,0.9721486536709492,1.5786639963188938,10.883515601957804
Chinchilla (Epoch extraction),2.907351132953245e+21,Anchor's own slope persists (95% CI),-0.1643626574366155,0.17179364323128368,149,0.825503355704698,0.013422818791946308,0.1610738255033557,1.534965936150357,71.41382836009441,0.3485197446739655,0.9859971097620248,1.770645647161196,17.212932945972515
Chinchilla (Epoch extraction),2.907351132953245e+21,Parametric extrapolation (point),0.004508570390483746,0.004508570390483746,149,0.9664429530201343,0.03355704697986577,0.0,2.1015249104220444,19.504650340274132,0.5241550575771323,0.9487301754938333,2.691820252886961,7.245896273852427
Meta Llama 3 (digitized),1.00000000000001e+22,Normal inputs only,-1.0,1.0,137,0.34306569343065696,0.0,0.656934306569343,0.7586425047034844,638.468912211044,0.0,0.9984337530287309,0.8318112330737127,74.14692939476275
Meta Llama 3 (digitized),1.00000000000001e+22,Slope in cross-sweep range,-0.1399999999999999,0.26,137,0.8102189781021898,0.014598540145985401,0.17518248175182483,1.4925541106724078,56.78748515088423,0.3300075401959853,0.9823904862604321,1.7057162222752518,14.774124603850776
Meta Llama 3 (digitized),1.00000000000001e+22,Cross-sweep range + M* nondecreasing,0.0,0.26,137,0.8102189781021898,0.021897810218978103,0.1678832116788321,1.4925541106724078,40.64039585062073,0.3300075401959853,0.9753939404607269,1.7057162222752518,11.820575456324049
Meta Llama 3 (digitized),1.00000000000001e+22,Anchor's own slope persists (95% CI),-0.09461318961302115,0.2361872407870739,137,0.8394160583941606,0.021897810218978103,0.1386861313868613,1.5146851546424587,49.05840909154663,0.33979679081488723,0.979616134756145,1.7395215976241025,13.401157363823526
Meta Llama 3 (digitized),1.00000000000001e+22,Parametric extrapolation (point),0.0735582541891916,0.0735582541891916,137,0.8978102189781022,0.10218978102189781,0.0,1.9865694585695466,15.57453243264833,0.49661966477625097,0.9357926150062947,2.4973054933047436,6.236534726890053
