technology,tau,R,q25_unres,q50_unres,q75_unres,q90_unres,q75_restricted,share_split
Hoffmann (alpha != beta),0.001,100,0.00026175261837826924,0.011325295018181358,0.04208611227221615,0.11067600993981923,0.00045594062815998426,0.59
Hoffmann (alpha != beta),0.0001,100,2.435449707413606e-05,0.0035073287402965225,0.01548220093716457,0.02203292928109084,3.926831302314415e-05,0.63
Hoffmann (alpha != beta),1e-05,100,2.5615407140133772e-06,0.0011395916649628024,0.004834369999994453,0.0065355360579190565,4.30113915020347e-06,0.6
Hoffmann (alpha != beta),1e-06,100,2.0295983019225083e-07,0.00041771255474076785,0.00167563895333811,0.002290907081576821,4.145782424580524e-07,0.6
Hoffmann (alpha != beta),1e-07,100,2.760475811824925e-08,2.2358852970694176e-05,0.0005033613336367926,0.0006340487276180418,4.8647620459751906e-08,0.6
equal exponents (alpha = beta),0.001,100,0.00028118919533684505,0.0184602519319762,0.043033788572794246,0.10900321194380314,0.0004407394314718538,0.6
equal exponents (alpha = beta),0.0001,100,2.4131884118872016e-05,4.552630862197926e-05,0.008011411908558724,0.015195817911933618,4.543950385585416e-05,0.53
equal exponents (alpha = beta),1e-05,100,3.2488741438518876e-06,0.0013652486817565257,0.003941556959111608,0.00515672921525926,4.523272882667184e-06,0.57
equal exponents (alpha = beta),1e-06,100,2.6310019746178526e-07,0.0005077091118990129,0.0012588892297787369,0.0016018806742995274,5.065991182662266e-07,0.57
equal exponents (alpha = beta),1e-07,100,2.6035020833647948e-08,0.00010101684584645776,0.00040653735554382897,0.000511314208385716,4.4391823744716064e-08,0.58
