case,label,N,D,M,C,w_tech,w_general,w_closed,m_N,m_D,xi,s,relerr_general,relerr_closed
base,Lifetime compute (lambda=p=1),470462387.592804,289858838659.85376,616.1147974930851,8.18206087804753e+20,3.299969942996468,3.2999701179781766,3.2999701156223593,2.2999701179781766,0.0,0.0,0.6969669368891369,5.3025243085258467e-08,5.231135258298991e-08
a,"(a) internalized serving, p, phi, eta, R_n",290270849.024906,339801585725.9207,1170.6362759725998,5.918069687320343e+20,4.137190600369896,4.137190856122327,4.13719085275286,3.1371908561223267,0.0,0.0,0.7582900821850962,6.181789902193202e-08,6.100346539028578e-08
adopt,(a') adoption-maximizing open release,220040140.8205242,499569797566.9626,2270.3575615979853,6.595524516378912e+20,5.245303510476511,5.24530299871271,5.245302997580654,4.24530299871271,0.0,0.0,0.8093532627801828,9.756609875566369e-08,9.778192155973642e-08
b,(b) binding memory/tier cap N <= Nbar,233624707.6652046,427532955167.3221,1829.9988877032529,5.992935700092399e+20,4.852707984242612,4.852707123589754,4.852707120458076,1.559333986573956,0.0,0.1374403774645483,0.7939294918946014,1.7735517177097648e-07,1.7800051832495e-07
c,(c) latency SLO (tau ~ N^0.6),241543443.65109184,419855891403.62396,1738.2210216813148,6.084806270809811e+20,4.7650847684314135,4.765083842385814,4.765083839888483,1.5878464036966653,0.0,0.22080113366629295,0.7901401446990033,1.943397954784487e-07,1.948638850279849e-07
c_soft,(c') latency cost per token,374876387.58873034,329466528859.6465,878.8671139807767,7.410553330218146e+20,3.742513756628362,3.7425137853569574,,2.7425137853569574,0.0,0.0,0.7327999133660094,7.676283164670394e-09,
d,(d) per-token data cost c_D,519375525.11608535,55807805152.69475,107.45174243669102,1.7391124864054205e+20,1.7451905767228295,1.7451905501324312,1.745190548499478,11.945760373815535,6.417963827980369,0.0,0.42699667684555714,1.523638659683968e-08,1.6172074124298774e-08
d_cap,(d') binding data cap D <= Dbar,519690410.1819852,130241971715.25285,250.61453735435433,4.0611302222166163e+20,2.3789548653739567,2.37895500482692,,5.118677631780598,0.0,0.06384105858334155,0.5796473423875546,5.861942375950946e-08,
e,(e) logit distillation (teacher 70B),448545308.1387557,12169740451.22391,27.131574515231023,3.2752079883977445e+19,1.052068399333926,1.0520683855623083,1.0520683844907672,54.780680823067065,52.02001427716457,0.0,0.049491458318575966,1.3090040162921923e-08,1.4108549106772728e-08
f0,"(f) MFU: training price ~ N^delta, serving price flat",459012510.7381513,316102964979.23004,688.6587131816858,8.705712936413418e+20,3.4355876256805695,3.435587674383428,3.4355876720800906,2.315587674383428,0.0,0.0,0.7089289784009203,1.417599082564891e-08,1.3505556006876418e-08
f1,(f) MFU: training and serving price ~ N^delta,453086099.88333654,318819716383.50006,703.6625411055245,8.667166911726693e+20,3.4619713602082607,3.4619714310071177,3.4619714286694885,2.3419714310071176,0.0,0.0,0.7111472349269108,2.0450445559205832e-08,1.977521502105617e-08
gen,"Deadline, time ~ N^0.3 D",484049027.2154051,174313078882.33157,360.1145113029244,5.0625645758348866e+20,2.712815736684181,2.712815533816595,,3.8245361257869477,0.0,0.04430807789959634,0.6313793132067719,7.478118901893538e-08,
