design,param,est,se,lo,hi,p_zero,n,umax
"Marin, Comma",lin|b1,0.502368,0.00824646,0.485007,0.512681,0.001,95,4.15546
"Marin, Comma",lin|b2,0.0324141,0.00530061,0.0242837,0.0421217,0.001,95,4.15546
"Marin, Comma",lin|b2_Mlt1024,0.0282266,0.00556344,0.0192399,0.0390463,0.001,95,4.15546
"Marin, Comma",lin|b1_only,0.471532,0.0142857,0.442705,0.495934,0.001,95,4.15546
"Marin, Comma",sigma_slope,0.665616,0.00367134,0.660975,0.673285,0.001,95,4.15546
"Marin, Comma",lin|convexity_at_umax,0.559722,0.0828344,0.446094,0.721739,0.001,95,4.15546
"Marin, DCLM",lin|b1,0.500176,0.0103596,0.482152,0.513855,0.001,96,4.6278
"Marin, DCLM",lin|b2,0.0274102,0.00521789,0.0190295,0.0377696,0.001,96,4.6278
"Marin, DCLM",lin|b2_Mlt1024,0.02463,0.00589009,0.0152342,0.0362449,0.001,96,4.6278
"Marin, DCLM",lin|b1_only,0.504232,0.00997409,0.487309,0.517242,0.001,96,4.6278
"Marin, DCLM",sigma_slope,0.666589,0.00455806,0.660501,0.674443,0.001,96,4.6278
"Marin, DCLM",lin|convexity_at_umax,0.58703,0.108709,0.416429,0.805516,0.001,96,4.6278
"Marin, Nemotron-CC",lin|b1,0.479831,0.00895965,0.45922,0.493428,0.001,95,4.59261
"Marin, Nemotron-CC",lin|b2,0.0274779,0.00312225,0.022332,0.0334397,0.001,95,4.59261
"Marin, Nemotron-CC",lin|b2_Mlt1024,0.0229828,0.00306381,0.0180671,0.0291799,0.001,95,4.59261
"Marin, Nemotron-CC",lin|b1_only,0.486084,0.00850345,0.466498,0.499155,0.001,95,4.59261
"Marin, Nemotron-CC",sigma_slope,0.675753,0.00405132,0.669519,0.684987,0.001,95,4.59261
"Marin, Nemotron-CC",lin|convexity_at_umax,0.579566,0.0654883,0.47379,0.703445,0.001,95,4.59261
Llama 3,lin|b1,0.589608,0.0145946,0.556095,0.613239,0.001,126,3.05641
Llama 3,lin|b2,-0.0292437,0.00816987,-0.0404318,-0.0143183,0.002,126,3.05641
Llama 3,lin|b2_Mlt1024,-0.0292437,0.00816987,-0.0404318,-0.0143183,0.002,126,3.05641
Llama 3,lin|b1_only,0.60864,0.0190131,0.566442,0.638983,0.001,126,3.05641
Llama 3,sigma_slope,0.629086,0.0058494,0.619415,0.642314,0.001,126,3.05641
Llama 3,lin|convexity_at_umax,-0.273184,0.0754686,-0.375071,-0.133695,0.001,126,3.05641
