design,spec,M_bin,delta,lo,hi,se_cluster,se_run,boot_bias,delta_bc,lo_run,hi_run,ratio,n_points,M_max_evaluated,lnw_local,n_draws
"Marin, Comma",chin_full,M<16,-0.0899389,-0.138189,-0.0495596,0.0226556,0.0234567,0.000587106,-0.090526,-0.141777,-0.0507481,0.913987,54,14.6852,-0.651435,999
"Marin, Comma",chin_full,16-64,0.0236508,-0.0245036,0.0426529,0.0181097,0.0217332,0.0141435,0.00950731,-0.0407113,0.0452855,1.02393,20,62.1272,0.438278,999
"Marin, Comma",chin_full,64-256,-0.180537,-0.266417,-0.148762,0.0302022,0.034044,0.0249357,-0.205473,-0.278693,-0.1454,0.834822,13,255.57,1.20605,999
"Marin, Comma",chin_full,"256-1,024",-0.555657,-0.683545,-0.504373,0.0467963,0.0630137,0.0311338,-0.58679,-0.721512,-0.479442,0.573695,6,876.107,2.05959,999
"Marin, Comma",chin_full,">=1,024",-1.06723,-1.31582,-0.838126,0.136121,0.122813,0.0242679,-1.0915,-1.3324,-0.875673,0.343959,2,1111.94,2.95456,999
"Marin, Comma",chin_full,M>=256,-0.683551,-0.809151,-0.601413,0.0567623,0.0706794,0.0294173,-0.712968,-0.86048,-0.584263,0.504821,,1111.94,,999
"Marin, Comma",chin_M100,M<16,-0.0538128,-0.0756428,-0.00680452,0.018516,0.0231055,-0.0153155,-0.0384974,-0.091528,-0.00109509,0.947609,54,14.6852,-0.651435,999
"Marin, Comma",chin_M100,16-64,-0.215516,-0.276975,-0.192095,0.0207175,0.0346208,0.0143424,-0.229858,-0.297498,-0.163579,0.806126,20,62.1272,0.438278,999
"Marin, Comma",chin_M100,64-256,-0.57564,-0.692155,-0.525392,0.0438795,0.053783,0.0328021,-0.608443,-0.720189,-0.503246,0.562345,13,255.57,1.20605,999
"Marin, Comma",chin_M100,"256-1,024",-1.09304,-1.25524,-1.02103,0.0647691,0.0730986,0.0455555,-1.1386,-1.29256,-1.00186,0.335195,6,876.107,2.05959,999
"Marin, Comma",chin_M100,">=1,024",-1.69614,-1.96452,-1.4652,0.132774,0.125796,0.0438376,-1.73997,-1.97582,-1.49669,0.183391,2,1111.94,2.95456,999
"Marin, Comma",chin_M100,M>=256,-1.24382,-1.40479,-1.16237,0.0685567,0.0790487,0.045126,-1.28894,-1.45278,-1.13363,0.288282,,1111.94,,999
"Marin, Comma",kappa_full,M<16,-0.0967852,-0.116997,-0.0324525,0.0215396,0.0234973,-0.0236793,-0.0731059,-0.126135,-0.0321165,0.907751,54,14.6852,-0.651435,999
"Marin, Comma",kappa_full,16-64,0.079873,0.0131078,0.068749,0.0152867,0.0196306,0.037851,0.042022,0.00474437,0.0807928,1.08315,20,62.1272,0.438278,999
"Marin, Comma",kappa_full,64-256,-0.089781,-0.204201,-0.121756,0.022144,0.026785,0.0694432,-0.159224,-0.203433,-0.0997435,0.914131,13,255.57,1.20605,999
"Marin, Comma",kappa_full,"256-1,024",-0.433752,-0.620519,-0.439192,0.0523714,0.0548457,0.0926856,-0.526438,-0.637789,-0.415387,0.648073,6,876.107,2.05959,999
"Marin, Comma",kappa_full,">=1,024",-0.924531,-1.28591,-0.744142,0.150949,0.121735,0.10087,-1.0254,-1.25517,-0.779632,0.396717,2,1111.94,2.95456,999
"Marin, Comma",kappa_full,M>=256,-0.556447,-0.777804,-0.51785,0.0682817,0.0647788,0.0947317,-0.651179,-0.772622,-0.511312,0.573242,,1111.94,,999
"Marin, Comma",kappa_M100,M<16,-0.0583954,-0.0965918,-0.0199483,0.019106,0.022697,-0.00612839,-0.0522671,-0.1047,-0.0140634,0.943277,54,14.6852,-0.651435,999
"Marin, Comma",kappa_M100,16-64,-0.0515771,-0.100509,-0.025567,0.0199174,0.0278648,0.0156819,-0.067259,-0.118054,-0.0131255,0.94973,20,62.1272,0.438278,999
"Marin, Comma",kappa_M100,64-256,-0.305807,-0.428207,-0.234195,0.0541645,0.0543955,0.0300576,-0.335865,-0.431241,-0.21354,0.736529,13,255.57,1.20605,999
"Marin, Comma",kappa_M100,"256-1,024",-0.723419,-0.88511,-0.643571,0.0628757,0.0828046,0.0391942,-0.762614,-0.918509,-0.588011,0.485091,6,876.107,2.05959,999
"Marin, Comma",kappa_M100,">=1,024",-1.26902,-1.48937,-1.10309,0.113472,0.12893,0.0349183,-1.30394,-1.56048,-1.04344,0.281107,2,1111.94,2.95456,999
"Marin, Comma",kappa_M100,M>=256,-0.85982,-0.997914,-0.789778,0.058206,0.0871736,0.0381253,-0.897945,-1.0693,-0.721847,0.423238,,1111.94,,999
"Marin, DCLM",chin_full,M<16,-0.0839631,-0.124904,-0.0488391,0.0222363,0.0238072,-0.000949527,-0.0830136,-0.133549,-0.0422177,0.919465,55,14.6852,-0.581896,999
"Marin, DCLM",chin_full,16-64,-0.00582262,-0.0375599,0.00417891,0.0118183,0.0191308,0.010321,-0.0161436,-0.056079,0.0176633,0.994194,20,62.1272,0.580112,999
"Marin, DCLM",chin_full,64-256,-0.188585,-0.264113,-0.137719,0.0346372,0.0337899,0.016015,-0.2046,-0.269352,-0.141746,0.828131,13,222.389,1.35982,999
"Marin, DCLM",chin_full,"256-1,024",-0.567929,-0.698347,-0.442824,0.0707881,0.0637144,0.0145983,-0.582527,-0.702562,-0.457106,0.566698,7,876.107,2.27831,999
"Marin, DCLM",chin_full,">=1,024",-1.29811,-1.54136,-1.08733,0.123298,0.13208,0.0220455,-1.32015,-1.55116,-1.05733,0.273048,1,1111.94,3.45728,999
"Marin, DCLM",chin_full,M>=256,-0.659201,-0.783858,-0.536895,0.0647799,0.0649112,0.0155292,-0.67473,-0.793666,-0.54492,0.517264,,1111.94,,999
"Marin, DCLM",chin_M100,M<16,-0.0653519,-0.0910897,-0.0237385,0.0195475,0.024202,-0.0115061,-0.0538459,-0.102413,-0.00825364,0.936738,55,14.6852,-0.581896,999
"Marin, DCLM",chin_M100,16-64,-0.163581,-0.23765,-0.143946,0.0247279,0.0367562,0.0186716,-0.182252,-0.254986,-0.103072,0.849098,20,62.1272,0.580112,999
"Marin, DCLM",chin_M100,64-256,-0.458228,-0.589337,-0.403528,0.0482324,0.0647125,0.0355953,-0.493823,-0.616191,-0.361335,0.632403,13,222.389,1.35982,999
"Marin, DCLM",chin_M100,"256-1,024",-0.948561,-1.17758,-0.81546,0.100308,0.0921464,0.0451048,-0.993666,-1.15774,-0.808072,0.387298,7,876.107,2.27831,999
"Marin, DCLM",chin_M100,">=1,024",-1.73618,-2.0616,-1.52171,0.142205,0.148561,0.0588906,-1.79507,-2.04012,-1.47359,0.176192,1,1111.94,3.45728,999
"Marin, DCLM",chin_M100,M>=256,-1.04701,-1.26921,-0.914,0.0963722,0.0932267,0.046828,-1.09384,-1.25451,-0.888866,0.350984,,1111.94,,999
"Marin, DCLM",kappa_full,M<16,-0.0913716,-0.117473,-0.0422102,0.0194915,0.0265801,-0.0160228,-0.0753488,-0.127471,-0.0262789,0.912679,55,14.6852,-0.581896,999
"Marin, DCLM",kappa_full,16-64,0.0617369,0.0210527,0.0487177,0.00693906,0.0165477,0.0269834,0.0347536,0.00752443,0.0695554,1.06368,20,62.1272,0.580112,999
"Marin, DCLM",kappa_full,64-256,-0.0949633,-0.179122,-0.0950939,0.0235248,0.0315879,0.0442774,-0.139241,-0.192665,-0.0718141,0.909406,13,222.389,1.35982,999
"Marin, DCLM",kappa_full,"256-1,024",-0.454461,-0.620865,-0.387968,0.0636297,0.0689577,0.0519839,-0.506445,-0.623848,-0.35774,0.63479,7,876.107,2.27831,999
"Marin, DCLM",kappa_full,">=1,024",-1.15514,-1.44913,-0.967721,0.13148,0.150282,0.0717851,-1.22692,-1.47315,-0.894215,0.315014,1,1111.94,3.45728,999
"Marin, DCLM",kappa_full,M>=256,-0.542045,-0.709962,-0.474859,0.0599705,0.0734195,0.054459,-0.596504,-0.72557,-0.439804,0.581558,,1111.94,,999
"Marin, DCLM",kappa_M100,M<16,-0.051708,-0.100265,-0.0302047,0.0193804,0.0250094,0.0086902,-0.0603982,-0.111463,-0.0144146,0.949606,55,14.6852,-0.581896,999
"Marin, DCLM",kappa_M100,16-64,-0.0520319,-0.07734,-0.0316145,0.0117864,0.0276366,0.00307669,-0.0551086,-0.106115,0.000627034,0.949299,20,62.1272,0.580112,999
"Marin, DCLM",kappa_M100,64-256,-0.279567,-0.353962,-0.198996,0.0405355,0.0598878,-0.000343024,-0.279224,-0.385089,-0.149469,0.756111,13,222.389,1.35982,999
"Marin, DCLM",kappa_M100,"256-1,024",-0.701928,-0.831843,-0.550658,0.081907,0.0887764,-0.0103542,-0.691573,-0.856724,-0.522993,0.495629,7,876.107,2.27831,999
"Marin, DCLM",kappa_M100,">=1,024",-1.45884,-1.62619,-1.24475,0.10506,0.14454,-0.00878374,-1.45006,-1.6963,-1.14181,0.232505,1,1111.94,3.45728,999
"Marin, DCLM",kappa_M100,M>=256,-0.796542,-0.910763,-0.659911,0.072643,0.0894413,-0.0101579,-0.786384,-0.955651,-0.617279,0.450885,,1111.94,,999
"Marin, Nemotron-CC",chin_full,M<16,-0.0923222,-0.124551,-0.0515087,0.0192762,0.0190837,-0.00466773,-0.0876545,-0.123661,-0.0503749,0.911811,64,14.8196,-0.445509,999
"Marin, Nemotron-CC",chin_full,16-64,0.0095954,-0.0310243,0.0161939,0.0139198,0.0236544,0.0140983,-0.00450286,-0.051255,0.0404749,1.00964,24,62.1272,0.52984,999
"Marin, Nemotron-CC",chin_full,64-256,-0.144438,-0.210061,-0.130528,0.0211417,0.0263076,0.0239196,-0.168358,-0.221177,-0.119776,0.865508,13,255.57,1.3099,999
"Marin, Nemotron-CC",chin_full,"256-1,024",-0.471409,-0.586121,-0.417957,0.0438543,0.0568191,0.0290518,-0.500461,-0.613493,-0.388722,0.624122,6,876.107,2.16821,999
"Marin, Nemotron-CC",chin_full,">=1,024",-1.09147,-1.4157,-0.761416,0.164721,0.150392,0.0227961,-1.11427,-1.38157,-0.823253,0.335722,2,1111.94,3.18162,999
"Marin, Nemotron-CC",chin_full,M>=256,-0.626425,-0.787682,-0.510656,0.0702335,0.0745959,0.0274879,-0.653913,-0.801105,-0.503843,0.534499,,1111.94,,999
"Marin, Nemotron-CC",chin_M100,M<16,-0.0898858,-0.115253,-0.0495373,0.0172225,0.0185516,-0.00917459,-0.0807113,-0.11979,-0.047239,0.914036,64,14.8196,-0.445509,999
