design,variant,spec,M_bin,delta
"Marin, Comma",h x 0.75,kappa_full,"256-1,024",-0.453819
"Marin, Comma",h x 0.75,kappa_full,">=1,024",
"Marin, Comma",h x 0.75,kappa_full,M>=256,-0.453819
"Marin, Comma",h x 0.75,chin_M100,"256-1,024",-1.09551
"Marin, Comma",h x 0.75,chin_M100,">=1,024",
"Marin, Comma",h x 0.75,chin_M100,M>=256,-1.09551
"Marin, Comma",h x 0.75,chin_full,"256-1,024",-0.57263
"Marin, Comma",h x 0.75,chin_full,">=1,024",
"Marin, Comma",h x 0.75,chin_full,M>=256,-0.57263
"Marin, Comma",h x 0.75,kappa_M100,"256-1,024",-0.736786
"Marin, Comma",h x 0.75,kappa_M100,">=1,024",
"Marin, Comma",h x 0.75,kappa_M100,M>=256,-0.736786
"Marin, Comma",h x 0.75,convexity b2,,0.0340328
"Marin, Comma",h x 0.75,"convexity b2, M < 1,024",,0.0340328
"Marin, Comma",h x 1.5,kappa_full,"256-1,024",-0.409797
"Marin, Comma",h x 1.5,kappa_full,">=1,024",-2.25012
"Marin, Comma",h x 1.5,kappa_full,M>=256,-1.14593
"Marin, Comma",h x 1.5,chin_M100,"256-1,024",-1.06909
"Marin, Comma",h x 1.5,chin_M100,">=1,024",-3.06309
"Marin, Comma",h x 1.5,chin_M100,M>=256,-1.86669
"Marin, Comma",h x 1.5,chin_full,"256-1,024",-0.531701
"Marin, Comma",h x 1.5,chin_full,">=1,024",-2.4002
"Marin, Comma",h x 1.5,chin_full,M>=256,-1.2791
"Marin, Comma",h x 1.5,kappa_M100,"256-1,024",-0.699464
"Marin, Comma",h x 1.5,kappa_M100,">=1,024",-2.61155
"Marin, Comma",h x 1.5,kappa_M100,M>=256,-1.4643
"Marin, Comma",h x 1.5,convexity b2,,0.0442257
"Marin, Comma",h x 1.5,"convexity b2, M < 1,024",,0.0166594
"Marin, Comma",h_x x 0.75,kappa_full,"256-1,024",-0.449619
"Marin, Comma",h_x x 0.75,kappa_full,">=1,024",
"Marin, Comma",h_x x 0.75,kappa_full,M>=256,-0.449619
"Marin, Comma",h_x x 0.75,chin_M100,"256-1,024",-1.09131
"Marin, Comma",h_x x 0.75,chin_M100,">=1,024",
"Marin, Comma",h_x x 0.75,chin_M100,M>=256,-1.09131
"Marin, Comma",h_x x 0.75,chin_full,"256-1,024",-0.56843
"Marin, Comma",h_x x 0.75,chin_full,">=1,024",
"Marin, Comma",h_x x 0.75,chin_full,M>=256,-0.56843
"Marin, Comma",h_x x 0.75,kappa_M100,"256-1,024",-0.732586
"Marin, Comma",h_x x 0.75,kappa_M100,">=1,024",
"Marin, Comma",h_x x 0.75,kappa_M100,M>=256,-0.732586
"Marin, Comma",h_x x 0.75,convexity b2,,0.0334044
"Marin, Comma",h_x x 0.75,"convexity b2, M < 1,024",,0.0334044
"Marin, Comma",h_c x 1.5,kappa_full,"256-1,024",-0.442552
"Marin, Comma",h_c x 1.5,kappa_full,">=1,024",-0.946469
"Marin, Comma",h_c x 1.5,kappa_full,M>=256,-0.568531
"Marin, Comma",h_c x 1.5,chin_M100,"256-1,024",-1.10184
"Marin, Comma",h_c x 1.5,chin_M100,">=1,024",-1.71807
"Marin, Comma",h_c x 1.5,chin_M100,M>=256,-1.2559
"Marin, Comma",h_c x 1.5,chin_full,"256-1,024",-0.564456
"Marin, Comma",h_c x 1.5,chin_full,">=1,024",-1.08917
"Marin, Comma",h_c x 1.5,chin_full,M>=256,-0.695635
"Marin, Comma",h_c x 1.5,kappa_M100,"256-1,024",-0.732219
"Marin, Comma",h_c x 1.5,kappa_M100,">=1,024",-1.29096
"Marin, Comma",h_c x 1.5,kappa_M100,M>=256,-0.871904
"Marin, Comma",h_c x 1.5,convexity b2,,0.0320954
"Marin, Comma",h_c x 1.5,"convexity b2, M < 1,024",,0.0277394
"Marin, Comma",n_eff >= 10,kappa_full,"256-1,024",-0.413397
"Marin, Comma",n_eff >= 10,kappa_full,">=1,024",
"Marin, Comma",n_eff >= 10,kappa_full,M>=256,-0.413397
"Marin, Comma",n_eff >= 10,chin_M100,"256-1,024",-1.05508
"Marin, Comma",n_eff >= 10,chin_M100,">=1,024",
