pi_set,curvature,n,share_w_gt1_identified,median_s_lo,median_s_hi,median_w_lo,median_w_hi
"PI-1 IsoFLOP anchors, e from A2/published paths","ra2: k in [0.40, 0.52] (in-design sigma* 0.66-0.71)",77,0.857143,0.588907,0.932938,2.43254,14.9115
"PI-1 IsoFLOP anchors, e from A2/published paths","k in [0.40, k(0.60)]: adds the top-budget value",77,0.857143,0.588907,0.969475,2.43254,32.7603
"PI-1 IsoFLOP anchors, e from A2/published paths","drift-agnostic: k in [0.40, k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.588907,0.997669,2.43254,428.967
"PI-1 IsoFLOP anchors, e from A2/published paths","drift maintained: k in [k(sigma_top), k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.7786,0.997669,4.5167,428.967
"PI-1 IsoFLOP anchors, e from A2/published paths","drift maintained, sigma_top at its 95% upper limit: k in [k(sigma_top_hi), k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.737442,0.997669,3.80869,428.967
"PI-1 IsoFLOP anchors, e from A2/published paths","drift-agnostic: k in [0.40, k(sigma_lin(C_i))], pooled drift (primary three-level meta-regression)",77,0.857143,0.588907,0.992013,2.43254,125.209
"PI-1 IsoFLOP anchors, e from A2/published paths","drift maintained: k in [k(sigma_top), k(sigma_lin(C_i))], pooled drift (primary three-level meta-regression)",77,0.857143,0.7786,0.992013,4.5167,125.209
"PI-1 IsoFLOP anchors, e from A2/published paths","drift maintained, sigma_top at its 95% upper limit: k in [k(sigma_top_hi), k(sigma_lin(C_i))], pooled drift (primary three-level meta-regression)",77,0.857143,0.737442,0.992013,3.80869,125.209
PI-2 PI-1 + M* nondecreasing in C,"ra2: k in [0.40, 0.52] (in-design sigma* 0.66-0.71)",77,0.857143,0.588907,0.887293,2.43254,8.87253
PI-2 PI-1 + M* nondecreasing in C,"k in [0.40, k(0.60)]: adds the top-budget value",77,0.857143,0.588907,0.940324,2.43254,16.757
PI-2 PI-1 + M* nondecreasing in C,"drift-agnostic: k in [0.40, k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.588907,0.992481,2.43254,132.993
PI-2 PI-1 + M* nondecreasing in C,"drift maintained: k in [k(sigma_top), k(sigma_lin(C_i))], drift of Chinchilla and Llama 3 (design FE, inverse variance)",77,0.857143,0.7786,0.992481,4.5167,132.993
