sample,design,slope,se,se_unscaled,n_budgets,t,resid_var_scale,wald_equal_slopes,df,p_equal_slopes,wald_unscaled,p_unscaled
all budgets,Chinchilla,-0.0574257,0.0316324,0.0203508,9,-1.81541,2.41603,11.3736,5,0.0444556,27.479,4.60088e-05
all budgets,Farseer (local path),0.00138703,0.011296,0.00726731,8,0.122789,2.41603,11.3736,5,0.0444556,27.479,4.60088e-05
all budgets,Llama 3,-0.0576213,0.01537,0.00988831,8,-3.74895,2.41603,11.3736,5,0.0444556,27.479,4.60088e-05
all budgets,"Marin, Comma",-0.01482,0.0849569,0.0546572,5,-0.174441,2.41603,11.3736,5,0.0444556,27.479,4.60088e-05
all budgets,"Marin, DCLM",0.0178054,0.0631723,0.0406421,7,0.281855,2.41603,11.3736,5,0.0444556,27.479,4.60088e-05
all budgets,"Marin, Nemotron-CC",-0.0083329,0.0516288,0.0332155,7,-0.1614,2.41603,11.3736,5,0.0444556,27.479,4.60088e-05
budgets <= 3e20 (common window),Chinchilla,0.0108579,0.052811,0.0431487,6,0.205598,1.49801,13.947,5,0.0159495,20.8927,0.000848737
budgets <= 3e20 (common window),Farseer (local path),0.0382095,0.0166469,0.0136011,6,2.2953,1.49801,13.947,5,0.0159495,20.8927,0.000848737
budgets <= 3e20 (common window),Llama 3,-0.0501406,0.0171813,0.0140378,6,-2.91833,1.49801,13.947,5,0.0159495,20.8927,0.000848737
budgets <= 3e20 (common window),"Marin, Comma",-0.01482,0.0668967,0.0546572,5,-0.221535,1.49801,13.947,5,0.0159495,20.8927,0.000848737
budgets <= 3e20 (common window),"Marin, DCLM",0.0178054,0.0497431,0.0406421,7,0.357948,1.49801,13.947,5,0.0159495,20.8927,0.000848737
budgets <= 3e20 (common window),"Marin, Nemotron-CC",-0.0083329,0.0406535,0.0332155,7,-0.204974,1.49801,13.947,5,0.0159495,20.8927,0.000848737
