variant,k,members,mean_re,lo_hksj,hi_hksj,se_hksj,tau,Q,p_Q,I2,mean_fixed,pi_lo,pi_hi,note
PRIMARY: one estimate per study; Marin = mean of 3 corpora (rho = 1); Farseer first-derivative path,4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.687259,0.640215,0.734302,0.0147821,0.0229547,8.2512,0.0410957,0.636416,0.703867,0.569785,0.804732,"FLOP-implied N (Llama 3, Marin), FLOP-effective N_F = F_T4/6 rebuilt from the architecture table (Chinchilla; rb4_chinflop), non-embedding N (Farseer)"
Marin corpora independent (rho = 0),4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.015); Farseer 0.708 (0.005),0.690741,0.64933,0.732152,0.0130125,0.018804,8.26212,0.0408939,0.636897,0.703983,0.59424,0.787242,
Marin corpora rho = 0.5,4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.021); Farseer 0.708 (0.005),0.68845,0.644217,0.732683,0.0138991,0.021605,8.25407,0.0410426,0.636543,0.703897,0.577916,0.798984,
Marin by inverse variance (ra1's 'one per study'); Farseer RE path 0.703,4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.015); Farseer 0.703 (0.013),0.687677,0.64804,0.727313,0.0124547,0.0162266,5.59241,0.133215,0.463559,0.691946,0.600786,0.774567,
"Farseer Hessian-based path, RE over levels (ra1 Table 1 input)",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.703 (0.013),0.684724,0.64362,0.725827,0.0129158,0.0159886,4.85564,0.182678,0.382161,0.688118,0.596288,0.773159,
Farseer Hessian-based path at the extended-grid CV bandwidth,4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.664 (0.005),0.664819,0.650306,0.679332,0.0045603,0,2.70494,0.439389,0,0.664819,0.645197,0.68444,bandwidth sensitivity (R4 R2-M4)
IsoFLOP studies only (k = 3),3,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026),0.672949,0.609158,0.736739,0.0148258,0.00967814,2.33437,0.311241,0.143239,0.672635,0.448922,0.896975,
Six designs (ra1 Panel C; Marin x3 separate),6,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0 0.700 (0.027); Marin 1 0.713 (0.027); Marin 2 0.705 (0.023); Farseer 0.703 (0.013),0.691229,0.667533,0.714925,0.00921811,0.00806034,5.70454,0.336038,0.123506,0.691946,0.657232,0.725227,"as in the paper's Table 1, Panel C (not one per study)"
Marin in configuration N (0.64-0.66),4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin cfg 0.652 (0.021); Farseer 0.708 (0.005),0.673459,0.615403,0.731516,0.0182427,0.0315591,14.3084,0.00251409,0.790333,0.701308,0.516617,0.830301,FLOP accounting (R4)
"Marin config N + Farseer at the CV bandwidth (R4's 'both', one per study)",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin cfg 0.652 (0.021); Farseer 0.664 (0.005),0.662912,0.648521,0.677303,0.00452208,0,0.378037,0.944741,0,0.662912,0.643455,0.682369,
Farseer incl. embeddings (total-N convention),4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer emb 0.670 (0.005),0.670339,0.655826,0.684852,0.0045603,0,2.36635,0.499929,0,0.670339,0.650717,0.68996,convention
"Lowest-convention set: Marin config N, Farseer incl. embeddings",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin cfg 0.652 (0.021); Farseer emb 0.670 (0.005),0.66834,0.653949,0.682731,0.00452208,0,1.07612,0.782843,0,0.66834,0.648883,0.687797,"convention range, lower end"
"FLOP-accounting elasticity eta = -0.1 for Meta only (unobserved; Chinchilla's accounting rebuilt, rb4)",4,Hoffmann 0.660 (0.023); Meta 0.611 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.67287,0.59798,0.74776,0.0235322,0.0426034,21.0885,0.000100914,0.857742,0.701897,0.463458,0.882282,sigma*_eff = 2/(2 + S/(1+eta)^2) applied to Llama 3 only
"FLOP-accounting elasticity eta = +0.1 for Meta only (unobserved; Chinchilla's accounting rebuilt, rb4)",4,Hoffmann 0.660 (0.023); Meta 0.701 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.699742,0.669113,0.730371,0.0096244,0.0114753,4.31232,0.229655,0.304318,0.70554,0.635301,0.764183,sigma*_eff = 2/(2 + S/(1+eta)^2) applied to Llama 3 only
"[rb4] Chinchilla accounting variant NF_A|corr: N_F (A), runs moved to exact A-isocosts (budgets in T4)",4,Hoffmann NF_A|corr 0.663 (0.019); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.686816,0.640105,0.733527,0.0146778,0.0233839,9.3119,0.025419,0.677831,0.7032,0.568025,0.805607,other studies at their primary values
"[rb4] Chinchilla accounting variant NF_X|corr: N_F (X), runs moved to exact X-isocosts (budgets in T4)",4,Hoffmann NF_X|corr 0.666 (0.020); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.688211,0.643579,0.732842,0.0140243,0.0217195,8.23286,0.0414365,0.635607,0.703591,0.576971,0.799451,other studies at their primary values
"[rb4] Chinchilla accounting variant NF_A: N_F, Appendix F as printed (A); runs at nominal budgets",4,Hoffmann NF_A 0.648 (0.017); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.681594,0.62468,0.738507,0.0178836,0.0308889,14.8904,0.00191272,0.798528,0.701734,0.528022,0.835166,other studies at their primary values
"[rb4] Chinchilla accounting variant NF_X: N_F, executed FLOPs (X); runs at nominal budgets",4,Hoffmann NF_X 0.658 (0.019); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.685448,0.636246,0.734649,0.0154603,0.0251403,10.2295,0.016713,0.70673,0.703007,0.558461,0.812435,other studies at their primary values
"[rb4] Chinchilla accounting variant P: P, non-embedding parameters (T - Vd)",4,Hoffmann P 0.690 (0.029); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.697183,0.662387,0.731978,0.0109335,0.0136524,4.6267,0.201264,0.35159,0.705306,0.621925,0.77244,other studies at their primary values
"[rb4] Chinchilla accounting variant T: T, total parameters (architecture count)",4,Hoffmann T 0.674 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.693011,0.6531,0.732922,0.012541,0.0172266,5.65338,0.129747,0.469344,0.704814,0.60133,0.784692,other studies at their primary values
"[rb4] Chinchilla accounting variant P|corr: P, runs moved to exact 6PD isocosts (budgets in T4)",4,Hoffmann P|corr 0.669 (0.027); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.691615,0.649849,0.733381,0.0131239,0.0185657,6.10143,0.106778,0.508312,0.704661,0.59379,0.789439,other studies at their primary values
"[rb4] Chinchilla accounting variant T|corr: T, runs moved to exact 6TD isocosts (budgets in T4)",4,Hoffmann T|corr 0.660 (0.026); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.688313,0.642128,0.734497,0.0145123,0.0219131,7.45065,0.05884,0.597351,0.704242,0.575226,0.801399,other studies at their primary values
[rb4] Chinchilla accounting variant NF_T4|6ND: N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),4,Hoffmann NF_T4|6ND 0.671 (0.024); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.691538,0.650425,0.73265,0.0129185,0.0184452,6.25033,0.100047,0.520025,0.7045,0.594645,0.78843,other studies at their primary values
"[rb4] Chinchilla windows variant R11: R11 count-free N_F = C_b/(6 D_dig) (RE sigma* (137 runs, ra1's estimator and seed))",4,Hoffmann R11 0.676 (0.021); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.692128,0.653018,0.731237,0.0122893,0.0175593,6.28743,0.0984333,0.522858,0.704282,0.599911,0.784345,other studies at their primary values
