uid,model,dev,gen,fam_class,year,Cmp,M,Mstar_ref,M_over_Mstar,w_ref,w_sig060,sigma_meta_line,w_meta_line,sigma_pi_lower,w_pi_upper,s_ref,s_sig060,s_meta_line,s_pi_upper
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,Llama-2,common-D,2023,8.0861e+22,296.806,21.9615,13.5148,3.04338,5.67379,0.584897,6.34658,0.483926,16.0669,0.671418,0.823751,0.842435,0.93776
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,Llama-2,common-D,2023,1.5619e+23,153.659,21.8575,7.03003,2.30158,3.66976,0.575524,4.21376,0.467461,9.22286,0.565516,0.727503,0.762682,0.891574
B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,Llama-2,common-D,2023,8.2772e+23,28.9953,21.5961,1.34262,1.13421,1.21703,0.551784,1.27039,0.425757,1.48791,0.118328,0.178329,0.21284,0.327918
B:huggyllama/llama-7b,llama-7b,Meta,Llama,size-specific-D,2023,4.04305e+22,148.403,22.0716,6.72369,2.25816,3.56237,0.594764,3.66337,0.50126,6.65958,0.557162,0.719288,0.727027,0.84984
B:huggyllama/llama-13b,llama-13b,Meta,Llama,size-specific-D,2023,7.80952e+22,76.8293,21.967,3.49748,1.70775,2.30411,0.585392,2.42727,0.484796,3.78322,0.414434,0.565993,0.588015,0.735675
B:huggyllama/llama-30b,llama-30b,Meta,Llama,size-specific-D,2023,2.73243e+23,43.0386,21.7694,1.97702,1.33822,1.57522,0.567562,1.68088,0.453475,2.27379,0.252739,0.365167,0.405074,0.560206
B:huggyllama/llama-65b,llama-65b,Meta,Llama,size-specific-D,2023,5.484e+23,21.4442,21.6603,0.990024,0.995724,0.993338,0.557645,0.992079,0.436053,0.987117,-0.00429464,-0.00670623,-0.0079847,-0.0130507
B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,Llama-3 herd,common-D,2024,6.34983e+24,212.604,21.2809,9.99036,2.67463,4.63861,0.522778,8.17474,0.374803,46.4913,0.626117,0.784418,0.877672,0.978491
B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,Llama-3 herd,common-D,2024,7.22724e+23,1867.93,21.6172,86.4096,6.7262,19.5453,0.553716,36.3775,0.42915,376.697,0.851328,0.948837,0.97251,0.997345
B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,Llama-3 herd,common-D,2024,3.79879e+25,38.4375,21.008,1.82966,1.29464,1.49594,0.497312,1.84165,0.330067,3.40824,0.227583,0.331523,0.457007,0.706593
