scenario,n,median_w,median_s,share_w_gt1,n_decision_units,median_s_decision,median_s_family_level,median_s_members_sizespecific_singletons,w|OLMo-2-1124-7B,w|SmolLM2-1.7B,w|Meta-Llama-3-8B,w|Qwen3-0.6B-Base,w|Llama-3.1-405B,s_f|Llama-3 herd,sigma_min,sigma_max,sigma_median
"Reference (kappa-free Chinchilla, sigma* = 0.701)",77,3.98623,0.749137,0.974026,56,0.73571,0.629086,0.749137,3.98623,11.3419,6.7262,29.5632,1.29464,0.293748,0.701,0.701,
Constant sigma* = 0.7,77,4.00082,0.750051,0.974026,56,0.736637,0.630031,0.750051,4.00082,11.4149,6.76013,29.8287,1.29552,0.29434,0.7,0.7,
Constant sigma* = 0.65,77,5.70881,0.824832,0.974026,56,0.81294,0.710986,0.824832,5.70881,21.3117,11.0348,71.2437,1.38445,0.348801,0.65,0.65,
Constant sigma* = 0.622,77,7.1425,0.859993,0.974026,56,0.849219,0.752316,0.859993,7.1425,31.5864,15.0273,123.322,1.4436,0.380152,0.622,0.622,
Constant sigma* = 0.594,77,9.12702,0.890435,0.974026,56,0.880908,0.790582,0.890435,9.12702,48.5841,21.069,224.803,1.51123,0.412162,0.594,0.594,
Constant sigma* = 0.6,77,8.64322,0.884302,0.974026,56,0.8745,0.782647,0.884302,8.64322,44.1524,19.5453,196.733,1.49594,0.405245,0.6,0.6,
Constant sigma* = 0.55,77,14.1109,0.929133,0.974026,56,0.921694,0.844216,0.929133,14.1109,104.426,38.4114,653.45,1.63933,0.463887,0.55,0.55,
"sigma*(C_i): primary meta-regression line (linear drift, pooled)",77,11.0652,0.909627,0.974026,56,0.88979,0.819818,0.909627,11.0652,61.0582,36.3775,323.086,1.84165,0.524555,0.497312,0.657755,0.573505
"sigma*(C_i) = PI lower bound, top-budget value + drift (drift of Chinchilla and Llama 3 (design FE, inverse variance))",77,45.4979,0.978021,0.974026,56,0.962959,0.919148,0.972948,41.8008,525.975,376.697,6990.56,3.40824,0.749572,0.330067,0.593781,0.463913
"sigma*(C_i) = PI lower bound, top-budget value + drift (pooled drift (primary three-level meta-regression))",77,19.7971,0.949488,0.974026,56,0.934707,0.88069,0.949488,19.7971,165.638,86.3104,1311.64,2.13307,0.59417,0.443661,0.593781,0.519854
