stat,n_units,median_s,median_w,share_w_gt1,median_s_lo,median_s_hi,share_w_gt1_lo,share_w_gt1_hi,median_w_lo,median_w_hi,B,tech,n_family_units,n_dropped_models,n_point,n_lower,n_lower_point_if_choice,n_upper,n_lower_bound,n_models
models (77),77,0.7491366913433287,3.986234596660721,0.974025974025974,0.6885318220514781,0.7940343685979551,0.922077922077922,1.0,3.210605948529178,4.8551791713437655,1197.0,reference,,,,,,,,
decision units (primary: budget level),49,0.7345318547777187,3.766930300291516,0.9795918367346939,0.6574848932547619,0.7822352622030433,0.9367346938775512,1.0,2.9195927534192903,4.592112447732451,1197.0,reference,17.0,0.0,29.0,20.0,6.0,,,
"decision units (family label, version 3)",56,0.7357100432996362,3.7837982422820735,0.9642857142857143,0.6657419188570318,0.7844178271382749,0.9446428571428571,1.0,2.9927039879997084,4.639396268660349,1197.0,reference,11.0,0.0,,3.0,,1.0,,
"decision units (reading-consistent, version 3)",66,0.7520153417129352,4.03251996969461,0.9696969696969697,0.7029411307843072,0.8035235834446991,0.9393939393939394,1.0,3.367074124127635,5.092305214355327,1197.0,reference,6.0,4.0,,15.0,,1.0,,
decision units (members of cap-type budgets split),66,0.7509790414479696,4.01574961054595,0.9696969696969697,0.6942445186840722,0.7977870640116007,0.9242424242424242,1.0,3.2716479177008755,4.946986055373602,1197.0,reference,9.0,0.0,29.0,37.0,0.0,,,
"decision units (primary, OLMo 2 1B separate)",50,0.7357100432996362,3.7837982422820735,0.98,0.6657419188570318,0.7844178271382749,0.938,1.0,2.9927039879997084,4.639396268660349,1197.0,reference,17.0,0.0,30.0,20.0,6.0,,,
models (77),77,0.738139568932785,3.8188282052560947,0.987012987012987,0.6936064020210183,0.7886143211089747,0.935064935064935,1.0,3.2637765693963967,4.730696592726005,1197.0,lab-own (one rule) where available,,,,,,,,
decision units (primary: budget level),49,0.7165413911661895,3.5278519291198953,0.9795918367346939,0.6315094639413172,0.7753563847680662,0.9183673469387755,1.0,2.713773902298398,4.451496003374062,1197.0,lab-own (one rule) where available,17.0,0.0,29.0,20.0,6.0,,,
"decision units (family label, version 3)",56,0.7255366229719541,3.6473911147057057,0.9821428571428571,0.6494360986690618,0.7772958484007741,0.9285714285714286,1.0,2.85603103623801,4.490515749252303,1197.0,lab-own (one rule) where available,11.0,0.0,,3.0,,1.0,,
"decision units (reading-consistent, version 3)",66,0.7520153417129352,4.03251996969461,0.9848484848484849,0.7045349906506999,0.7996750584866175,0.9393939393939394,1.0,3.3851380349945797,4.993795026704883,1197.0,lab-own (one rule) where available,6.0,4.0,,15.0,,1.0,,
