model,M,lnratio_L_bpb_kappa_=_1,lnratio_L_bpb_kappa_free,lnratio_knowledge_(MMLU)_kappa_=_1,lnratio_knowledge_(MMLU)_kappa_free,"lnratio_science_QA_(ARC,_OBQA)_kappa_=_1","lnratio_science_QA_(ARC,_OBQA)_kappa_free","lnratio_commonsense_(HS,_PIQA,_SIQA,_WG,_CSQA)_kappa_=_1","lnratio_commonsense_(HS,_PIQA,_SIQA,_WG,_CSQA)_kappa_free",lnratio_reading_comprehension_(BoolQ)_kappa_=_1,lnratio_reading_comprehension_(BoolQ)_kappa_free
Llama-2-7b-hf,296.80558548411165,-0.15482606606872285,-0.41031478182815206,-0.02301798376527131,0.03936240126428103,0.06713183708367065,-0.3658534389436596,-0.13192991785131447,-0.44305134725673767,-1.7293209895036155,-0.3853046610710109
Llama-2-13b-hf,153.6586090222828,-0.24468098869010557,-0.5316532542244481,-0.0671299423944074,-0.09062079741568141,-0.06219953349158924,-0.314400549887317,-0.2692893188920156,-0.6717085923189039,-1.6741029338545932,-1.952513758705713
Llama-2-70b-hf,28.99531803831451,-0.47109562751254597,-0.8373995127642857,-0.17828237444145678,-0.41814986453331215,-0.38808613717378204,-0.1847505880132232,-0.6154047933501268,-1.247874550115455,-1.5349655804239921,-5.901535931874463
llama-7b,148.40279274205582,-0.19810368619488017,-0.4460008772439572,-0.05412525671629176,-0.06287441885696055,-0.04442088824538448,-0.3058088328093511,-0.19682456830889006,-0.5350257732842465,-1.7095735799212615,-1.7314489245705253
llama-13b,76.8293045111414,-0.2879586088162629,-0.5673393496402532,-0.09823721534542784,-0.192857617536923,-0.17375225882064438,-0.2543559437530085,-0.33418396934959116,-0.7636830183464127,-1.6543555242722392,-3.2986580222052275
llama-30b,43.03858899503889,-0.39147951328309105,-0.7181781149050437,-0.14427122481864796,-0.3233715137916455,-0.2988406028352033,-0.21219517138540667,-0.4930473602856331,-1.0359299121146996,-1.5874153055974571,-4.817182613398913
llama-65b,21.444217241505925,-0.48590855197634575,-0.845693391426618,-0.19062872785471097,-0.45997158131762816,-0.43475566057514126,-0.15812304367290153,-0.637399119959488,-1.276227084618526,-1.529386343339946,-6.464171383780997
Meta-Llama-3-70B,212.60399694026586,-0.3468333043944174,-0.7357448544673098,-0.08861344154257189,-0.12318778481187209,-0.06603256156599713,-0.35841128794315225,-0.42911881500769855,-0.9844363563153529,-1.5914221672378925,-2.015318977961339
Meta-Llama-3-8B,1867.9342473118006,-0.04622575359568515,-0.329809821187002,0.05896208862970198,0.31166797890417186,0.3666425264076505,-0.5305457298803908,0.030413861905423722,-0.2194688686669295,-1.776152886315609,3.2277425559578568
Llama-3.1-405B,38.437525546170825,-0.5820049091720092,-1.054603933343234,-0.20350689656147125,-0.4611420773168504,-0.4017359746634259,-0.22574219542616802,-0.788692349400379,-1.5839138172679732,-1.4465159733924122,-6.0836174904923865
Qwen-72B,41.50070986532617,-0.4502790554812943,-0.8226001413272712,-0.16229455887226063,-0.36485367321072815,-0.3293078523279718,-0.21729808352775848,-0.5843217119492614,-1.2055222782562645,-1.5437521977680841,-5.192565261874474
Qwen-14B,211.75537549208562,-0.22489048700418657,-0.5182394697385071,-0.05164584961861696,-0.03880890880758514,-0.0048981080119343545,-0.3463604951363557,-0.23977477045460738,-0.6319674007607006,-1.6822590057841955,-1.2614393456174824
Qwen-7B,310.8274993912754,-0.15313563947935815,-0.41401746720845267,-0.019594266820134543,0.05223229860571621,0.08252245380422618,-0.3760967691604584,-0.1296780018392205,-0.44352524984624964,-1.7285586041975516,-0.20028468007357247
Qwen2-72B,96.27789168981808,-0.39816966963695766,-0.7800483777976481,-0.12465849295827525,-0.24102708626577396,-0.19408782195151986,-0.29024215236699646,-0.5062069952765667,-1.0951110300101696,-1.5674040564027787,-3.5608772315739756
Qwen2-7B,919.1639296661056,-0.08576020849438226,-0.35817625692433097,0.02871088095282559,0.21090119849056066,0.2555741733127501,-0.4691346256491933,-0.028632976958061995,-0.3001107714576392,-1.75938733909214,1.8880279080236235
Qwen2-1.5B,4534.517806735306,0.14189722216195255,-0.0507517546307632,0.14047342962300435,0.5402280753792112,0.5832495712705161,-0.5994962372413433,0.3193823282154056,0.2792177660689248,-1.8992884186118886,5.85872629671541
Qwen2-0.5B,24289.886779332013,0.35082418166169704,0.2136848207487283,0.2507089116409307,0.8732776847905122,0.9222718219302819,-0.7465530680976062,0.6377826453296316,0.7967640857252221,-2.022354301265563,9.962547657532738
Yi-6B,494.9649263893441,-0.11188350898985533,-0.36563687788987664,0.00383201395906152,0.12466581296534684,0.15775683536546659,-0.41107075621870237,-0.06702329106293448,-0.344394238248082,-1.7517045677932632,0.709577476538449
Yi-34B,87.23740786501426,-0.35047727533168604,-0.6878296113162357,-0.11329944687796445,-0.22048145364450988,-0.18565961763984973,-0.2744467602151843,-0.4317567511856826,-0.9515528858673079,-1.6050828415369667,-3.451867554419298
gemma-7b,702.7669542921273,-0.10779720544242455,-0.3828740319314221,0.01569932002672303,0.17020888119447974,0.21290011155245026,-0.448673559443737,-0.06203961280588821,-0.3521514487054276,-1.7473679512959195,1.3721644445821646
gemma-2b,1197.044537258206,0.03311437348945345,-0.16983434367735128,0.07501498765312009,0.3344182451820785,0.366457419868524,-0.4940997071427198,0.15463203630794764,0.024587397708238257,-1.8408093258872564,3.2385652484923497
gemma-2-27b,477.464969761453,-0.2232180771996939,-0.5641192374571418,-0.029963593197441796,0.047450687066600494,0.10172108608204589,-0.4219160079880737,-0.239889978342811,-0.6661197006531445,-1.6688004828378271,0.018644545197826545
falcon-180B,19.49615636151623,-0.5651260090788082,-0.9827479926945237,-0.21648264585973198,-0.5221762583906333,-0.48365570564302995,-0.15937641325597696,-0.7601667999969512,-1.5018154052326196,-1.4716530378189439,-7.064170023397299
falcon-40b,23.902875602367764,-0.44562765649076397,-0.7802527975724942,-0.17564077104620068,-0.4209400258420395,-0.40069089988945006,-0.1640712071916326,-0.5752094504184848,-1.1649094511456255,-1.5574640241225635,-6.0486505515190885
falcon-7b,207.83712911547445,-0.17906559350317153,-0.43360313233949555,-0.0390105397460383,-0.012150957292480058,0.011797568337127196,-0.33733793225300346,-0.1684602122679273,-0.49719926556035077,-1.717267278054289,-1.0534976903407234
phi-2,503.65440121420426,-0.05363526720077161,-0.26195931763068714,0.02158470128426071,0.16535046693319444,0.18743057866591872,-0.40565215743437477,0.0234082988267037,-0.17620478726211886,-1.7950288879882792,1.0753445915351953
phi-1_5,105.76260081009076,-0.09836408455838663,-0.24903404433488063,-0.032150546030804694,-0.027063194062009188,-0.03568976795985135,-0.2664085698064582,-0.04089794973254479,-0.23152285611594436,-1.7896080705320436,-1.6102458901364827
mpt-30b,35.0,-0.397760851461328,-0.7172160494371305,-0.15144767058069863,-0.3489067421144192,-0.3283270141489121,-0.1939629156563818,-0.5021253343613488,-1.044378942012024,-1.5863973422716198,-5.172156992445398
mpt-7b,142.85714285714286,-0.20185471685883982,-0.45106620162907163,-0.05596672855376106,-0.06830062089268907,-0.049819879449059634,-0.3036609108149939,-0.2025586929428611,-0.5445711639288824,-1.7072684795004816,-1.7968727122781267
deepseek-llm-67b-base,29.850746268656717,-0.46598147449590055,-0.8304934524557659,-0.17577171281367043,-0.41075178384669897,-0.3807251557196958,-0.18767906360594466,-0.6075868911728932,-1.2348603700850553,-1.5381083529915083,-5.812337177921339
deepseek-llm-7b-base,285.7142857142857,-0.154277646694708,-0.40957420616313556,-0.022748751406798107,0.04015573904002778,0.06792119650018247,-0.3661674758420759,-0.1310915602573619,-0.44165576358093617,-1.729658006671177,-0.3757393773091593
stablelm-base-alpha-3b,219.8692576482137,-0.12352652492887373,-0.3379676729679453,-0.020688131719819758,0.032249518328441695,0.04706192963522948,-0.3371612252560219,-0.08241338581692048,-0.33940157306263075,-1.757607559408831,-0.6210687336740399
stablelm-base-alpha-7b-v2,159.66523353939925,-0.19368733391524007,-0.44316603811571653,-0.05060120703977766,-0.05103624853407851,-0.03129061671243871,-0.31318650502494805,-0.19024704298761996,-0.5262837974844956,-1.7113459470059147,-1.573112931715393
stablelm-2-1_6b,1216.1637936402378,0.0510302682672088,-0.132330088138378,0.07804187849775657,0.3371520384360096,0.3634281454500763,-0.4837312671485918,0.18275849275434508,0.08079910984274363,-1.8558247601758313,3.205148822890102
stablelm-base-alpha-7b,101.6601343930711,-0.23021759129763453,-0.4820413712567557,-0.07306536124109986,-0.12208867119538169,-0.10650229855680582,-0.276067592976073,-0.24550985894569521,-0.6109023945748824,-1.6920432801447176,-2.4819262690371424
