output,form,n_models,median_lnratio,median_lnratio_lo,median_lnratio_hi,q10_lnratio,q90_lnratio,min_lnratio,max_lnratio,share_models_ci_excludes_0,median_s_C4,median_s_output,share_w_gt1_C4,share_w_gt1_output,B_ok
L_bpb,kappa = 1,77,-0.11188350898985533,-0.7803279065392003,0.5965886510133334,-0.3979243787315799,0.21423970704579523,-0.5820049091720092,0.4030307089640117,0.03896103896103896,0.21969244331958312,0.12631414490550855,0.7532467532467533,0.6103896103896104,399
L_bpb,kappa free,77,-0.36563687788987664,-1.1705490613059664,1.2578659747488299,-0.753502609631159,0.04533946237713486,-1.054603933343234,0.3430049798906012,0.0,0.7532379987326547,0.6385987545554107,0.8441558441558441,0.7272727272727273,399
knowledge (MMLU),kappa = 1,77,0.005892799310282193,-0.80618155449073,0.7682033427219426,-0.14714180312346822,0.18336676276920524,-0.21648264585973198,0.2862492761750457,0.0,0.21969244331958312,0.22427711760174815,0.7532467532467533,0.7142857142857143,399
knowledge (MMLU),kappa free,77,0.13531640760216135,-0.6589787524527682,0.9773941553940031,-0.33358560512075497,0.6637040389919499,-0.5221762583906333,0.994762786546076,0.0,0.7532379987326547,0.7844683197448594,0.8441558441558441,0.8441558441558441,399
"science QA (ARC, OBQA)",kappa = 1,77,0.17260940226541344,-0.9238749287325602,1.001532252519749,-0.3106351673606868,0.6837111756304051,-0.48365570564302995,1.0587256628253834,0.1038961038961039,0.21969244331958312,0.3433975455786557,0.7532467532467533,0.7272727272727273,399
"science QA (ARC, OBQA)",kappa free,77,-0.4219160079880737,-1.5122434831572211,1.9364551405144477,-0.6432786825206097,-0.22236455066680416,-0.8256675561965299,-0.15812304367290153,0.0,0.7532379987326547,0.6230222474203674,0.8441558441558441,0.7532467532467533,399
"commonsense (HS, PIQA, SIQA, WG, CSQA)",kappa = 1,77,-0.06702329106293448,-0.9559920091865386,0.6218118550043419,-0.5037579987274359,0.4277447449078274,-0.788692349400379,0.7208544399725967,0.1038961038961039,0.21969244331958312,0.16464176267095368,0.7532467532467533,0.6493506493506493,399
"commonsense (HS, PIQA, SIQA, WG, CSQA)",kappa free,77,-0.33940157306263075,-1.1042018230926722,1.1005107289474523,-1.0646717772112821,0.4547070470702197,-1.5839138172679732,0.9765480424810278,0.0,0.7532379987326547,0.6449962420185389,0.8441558441558441,0.7012987012987013,399
reading comprehension (BoolQ),kappa = 1,77,-1.7517045677932632,-57.96002535695219,-0.20071393884999061,-1.943016436885386,-1.5788000279240832,-2.0721376716539956,-1.4465159733924122,0.6363636363636364,0.21969244331958312,-3.472322331349816,0.7532467532467533,0.0,391
reading comprehension (BoolQ),kappa free,77,0.8871212994448925,-169.00865760010706,5.588934893127669,-4.959172365017507,7.089881746704303,-7.064170023397299,11.607146506178257,0.012987012987012988,0.7532379987326547,0.8983736334218594,0.8441558441558441,0.6753246753246753,399
