output,form,alpha,beta,lnG,S2,sigma_star,a,Mstar_1e21,Mstar_1e23,n_draws_ok
L,kappa = 1,0.2672694726677936,0.15705713380869069,4.108135130133488,0.21216330323824215,0.8249713527282528,0.37013265586350785,48.309745036628364,159.77326933705916,399
L,kappa free,0.9535114648947094,0.7216632897588338,1.2234637779132675,0.8375873773267716,0.5441918095098961,0.43079880935054266,54.45840107573452,103.00769016450329,399
L_bpb,kappa = 1,0.4023247648754407,0.219493541746174,4.621448599920162,0.3109091533108074,0.7628293672940026,0.352986619095695,85.43296025522741,330.88644669194406,399
L_bpb,kappa free,1.1358877039190562,0.7731474426439042,2.2549327424018575,0.9545175732814802,0.5116352053673681,0.40499382320743754,76.52289302062013,183.57607824893194,399
knowledge (MMLU),kappa = 1,0.33357138789632906,0.2019354422307067,3.6380760861503165,0.2677534150635179,0.7887969285808608,0.3770921879424068,64.69245512373095,200.6711231730874,399
knowledge (MMLU),kappa free,1.1488810491942463,0.8691598431440076,1.1539657144911828,1.009020446169127,0.4977550138460941,0.4306948617562123,63.18793490245489,119.63402514534563,399
"science QA (ARC, OBQA)",kappa = 1,0.4616593350713992,0.3179936974385645,2.1129460534607607,0.3898265162549819,0.7195142618911847,0.4078656584132514,77.79860634494607,181.76454917328243,399
"science QA (ARC, OBQA)",kappa free,0.8761758580775727,0.6350372342567357,1.5805865776623687,0.7556065461671542,0.5696037088624459,0.4202168691351264,71.42409603753356,148.9283150511116,399
"commonsense (HS, PIQA, SIQA, WG, CSQA)",kappa = 1,0.4737257635845091,0.2506803242040569,5.00787864078577,0.362203043894283,0.7341049518882204,0.34604944440668967,75.25607793750612,310.7018242403667,399
"commonsense (HS, PIQA, SIQA, WG, CSQA)",kappa free,1.2971918125745974,0.8543543380773303,2.6117083096005023,1.0757730753259638,0.4817482276298277,0.3970885485391319,78.274192804485,201.9595542736232,399
reading comprehension (BoolQ),kappa = 1,0.1842746803597521,0.1285676439338251,-3.3749310138150004,0.1564211621467886,0.8647368560288129,0.4109662726235686,3406284.900989402,7734208.55844774,391
reading comprehension (BoolQ),kappa free,3.309085054595502,2.663738943030698,-0.013483957145293893,2.9864119988131,0.2508521448103549,0.4459764667583302,157.26187618355937,258.6530390910896,399
