set,tau,rationale,level,year,n,share_identified,share_identified_cw
PI-1 (bootstrap-t anchors; e from paths and published laws),1.0,none,model,all,77,0.8701298701298701,0.48465869666740674
PI-1 (bootstrap-t anchors; e from paths and published laws),1.0,none,model,2023,24,0.7083333333333334,0.1973461477169958
PI-1 (bootstrap-t anchors; e from paths and published laws),1.0,none,model,2024,40,0.925,0.39682083140205643
PI-1 (bootstrap-t anchors; e from paths and published laws),1.0,none,model,2025,13,1.0,1.0
PI-1 (bootstrap-t anchors; e from paths and published laws),1.0,none,decision,all,49,0.8163265306122449,0.3997397997565774
PI-1 (bootstrap-t anchors; e from paths and published laws),1.0,none,decision,2023,16,0.625,0.13748086488482097
PI-1 (bootstrap-t anchors; e from paths and published laws),1.0,none,decision,2024,27,0.8888888888888888,0.28848817211870986
PI-1 (bootstrap-t anchors; e from paths and published laws),1.0,none,decision,2025,6,1.0,1.0
PI-1 (bootstrap-t anchors; e from paths and published laws),1.3,tokenizer,model,all,77,0.8571428571428571,0.4781493701090291
PI-1 (bootstrap-t anchors; e from paths and published laws),1.3,tokenizer,model,2023,24,0.6666666666666666,0.12795983020040147
PI-1 (bootstrap-t anchors; e from paths and published laws),1.3,tokenizer,model,2024,40,0.925,0.39682083140205643
PI-1 (bootstrap-t anchors; e from paths and published laws),1.3,tokenizer,model,2025,13,1.0,1.0
PI-1 (bootstrap-t anchors; e from paths and published laws),1.3,tokenizer,decision,all,49,0.7959183673469388,0.39208320650186607
PI-1 (bootstrap-t anchors; e from paths and published laws),1.3,tokenizer,decision,2023,16,0.5625,0.05586523139304761
PI-1 (bootstrap-t anchors; e from paths and published laws),1.3,tokenizer,decision,2024,27,0.8888888888888888,0.28848817211870986
PI-1 (bootstrap-t anchors; e from paths and published laws),1.3,tokenizer,decision,2025,6,1.0,1.0
PI-1 (bootstrap-t anchors; e from paths and published laws),1.84,DataDecide tilt (0.26 x reference),model,all,77,0.8181818181818182,0.3437364452179669
PI-1 (bootstrap-t anchors; e from paths and published laws),1.84,DataDecide tilt (0.26 x reference),model,2023,24,0.625,0.11920581733460503
PI-1 (bootstrap-t anchors; e from paths and published laws),1.84,DataDecide tilt (0.26 x reference),model,2024,40,0.9,0.3052916612987132
PI-1 (bootstrap-t anchors; e from paths and published laws),1.84,DataDecide tilt (0.26 x reference),model,2025,13,0.9230769230769231,0.6217493998083929
PI-1 (bootstrap-t anchors; e from paths and published laws),1.84,DataDecide tilt (0.26 x reference),decision,all,49,0.7551020408163265,0.31639721589655917
PI-1 (bootstrap-t anchors; e from paths and published laws),1.84,DataDecide tilt (0.26 x reference),decision,2023,16,0.5,0.04257919653673691
PI-1 (bootstrap-t anchors; e from paths and published laws),1.84,DataDecide tilt (0.26 x reference),decision,2024,27,0.8888888888888888,0.28848817211870986
PI-1 (bootstrap-t anchors; e from paths and published laws),1.84,DataDecide tilt (0.26 x reference),decision,2025,6,0.8333333333333334,0.5776951653774789
PI-1 (bootstrap-t anchors; e from paths and published laws),3.4,DataDecide M* factor,model,all,77,0.6883116883116883,0.23118604486418648
PI-1 (bootstrap-t anchors; e from paths and published laws),3.4,DataDecide M* factor,model,2023,24,0.3333333333333333,0.0543984176093201
PI-1 (bootstrap-t anchors; e from paths and published laws),3.4,DataDecide M* factor,model,2024,40,0.875,0.19210574132196373
PI-1 (bootstrap-t anchors; e from paths and published laws),3.4,DataDecide M* factor,model,2025,13,0.7692307692307693,0.48646881457147517
PI-1 (bootstrap-t anchors; e from paths and published laws),3.4,DataDecide M* factor,decision,all,49,0.6326530612244898,0.13762439151920589
PI-1 (bootstrap-t anchors; e from paths and published laws),3.4,DataDecide M* factor,decision,2023,16,0.3125,0.031147342302149033
PI-1 (bootstrap-t anchors; e from paths and published laws),3.4,DataDecide M* factor,decision,2024,27,0.8518518518518519,0.08157910141232513
PI-1 (bootstrap-t anchors; e from paths and published laws),3.4,DataDecide M* factor,decision,2025,6,0.5,0.42637120327361794
PI-1 (bootstrap-t anchors; e from paths and published laws),4.4,both (3.4 x 1.3),model,all,77,0.6753246753246753,0.23050298984615808
PI-1 (bootstrap-t anchors; e from paths and published laws),4.4,both (3.4 x 1.3),model,2023,24,0.2916666666666667,0.047117376792398226
PI-1 (bootstrap-t anchors; e from paths and published laws),4.4,both (3.4 x 1.3),model,2024,40,0.875,0.19210574132196373
PI-1 (bootstrap-t anchors; e from paths and published laws),4.4,both (3.4 x 1.3),model,2025,13,0.7692307692307693,0.48646881457147517
PI-1 (bootstrap-t anchors; e from paths and published laws),4.4,both (3.4 x 1.3),decision,all,49,0.6122448979591837,0.13694133650117749
PI-1 (bootstrap-t anchors; e from paths and published laws),4.4,both (3.4 x 1.3),decision,2023,16,0.25,0.02386630148522716
PI-1 (bootstrap-t anchors; e from paths and published laws),4.4,both (3.4 x 1.3),decision,2024,27,0.8518518518518519,0.08157910141232513
PI-1 (bootstrap-t anchors; e from paths and published laws),4.4,both (3.4 x 1.3),decision,2025,6,0.5,0.42637120327361794
"normal inputs only (e in [-1, 1])",1.0,none,model,all,77,0.14285714285714285,0.003286721294373417
"normal inputs only (e in [-1, 1])",1.0,none,model,2023,24,0.0,0.0
"normal inputs only (e in [-1, 1])",1.0,none,model,2024,40,0.225,0.0021292770286514516
"normal inputs only (e in [-1, 1])",1.0,none,model,2025,13,0.15384615384615385,0.009812285840115176
"normal inputs only (e in [-1, 1])",1.0,none,decision,all,49,0.14285714285714285,0.0009923086277536972
"normal inputs only (e in [-1, 1])",1.0,none,decision,2023,16,0.0,0.0
"normal inputs only (e in [-1, 1])",1.0,none,decision,2024,27,0.25925925925925924,0.001359480768755231
"normal inputs only (e in [-1, 1])",1.0,none,decision,2025,6,0.0,0.0
"normal inputs only (e in [-1, 1])",1.3,tokenizer,model,all,77,0.12987012987012986,0.0029072722807903665
"normal inputs only (e in [-1, 1])",1.3,tokenizer,model,2023,24,0.0,0.0
"normal inputs only (e in [-1, 1])",1.3,tokenizer,model,2024,40,0.225,0.0021292770286514516
"normal inputs only (e in [-1, 1])",1.3,tokenizer,model,2025,13,0.07692307692307693,0.007664249498882077
"normal inputs only (e in [-1, 1])",1.3,tokenizer,decision,all,49,0.14285714285714285,0.0009923086277536972
"normal inputs only (e in [-1, 1])",1.3,tokenizer,decision,2023,16,0.0,0.0
"normal inputs only (e in [-1, 1])",1.3,tokenizer,decision,2024,27,0.25925925925925924,0.001359480768755231
"normal inputs only (e in [-1, 1])",1.3,tokenizer,decision,2025,6,0.0,0.0
"normal inputs only (e in [-1, 1])",1.84,DataDecide tilt (0.26 x reference),model,all,77,0.1038961038961039,0.0025457182975937615
"normal inputs only (e in [-1, 1])",1.84,DataDecide tilt (0.26 x reference),model,2023,24,0.0,0.0
"normal inputs only (e in [-1, 1])",1.84,DataDecide tilt (0.26 x reference),model,2024,40,0.175,0.0016336838968500614
"normal inputs only (e in [-1, 1])",1.84,DataDecide tilt (0.26 x reference),model,2025,13,0.07692307692307693,0.007664249498882077
"normal inputs only (e in [-1, 1])",1.84,DataDecide tilt (0.26 x reference),decision,all,49,0.10204081632653061,0.0006307546445570919
"normal inputs only (e in [-1, 1])",1.84,DataDecide tilt (0.26 x reference),decision,2023,16,0.0,0.0
"normal inputs only (e in [-1, 1])",1.84,DataDecide tilt (0.26 x reference),decision,2024,27,0.18518518518518517,0.0008641452720405544
"normal inputs only (e in [-1, 1])",1.84,DataDecide tilt (0.26 x reference),decision,2025,6,0.0,0.0
"normal inputs only (e in [-1, 1])",3.4,DataDecide M* factor,model,all,77,0.1038961038961039,0.0025457182975937615
"normal inputs only (e in [-1, 1])",3.4,DataDecide M* factor,model,2023,24,0.0,0.0
"normal inputs only (e in [-1, 1])",3.4,DataDecide M* factor,model,2024,40,0.175,0.0016336838968500614
"normal inputs only (e in [-1, 1])",3.4,DataDecide M* factor,model,2025,13,0.07692307692307693,0.007664249498882077
"normal inputs only (e in [-1, 1])",3.4,DataDecide M* factor,decision,all,49,0.10204081632653061,0.0006307546445570919
"normal inputs only (e in [-1, 1])",3.4,DataDecide M* factor,decision,2023,16,0.0,0.0
"normal inputs only (e in [-1, 1])",3.4,DataDecide M* factor,decision,2024,27,0.18518518518518517,0.0008641452720405544
"normal inputs only (e in [-1, 1])",3.4,DataDecide M* factor,decision,2025,6,0.0,0.0
"normal inputs only (e in [-1, 1])",4.4,both (3.4 x 1.3),model,all,77,0.1038961038961039,0.0025457182975937615
"normal inputs only (e in [-1, 1])",4.4,both (3.4 x 1.3),model,2023,24,0.0,0.0
"normal inputs only (e in [-1, 1])",4.4,both (3.4 x 1.3),model,2024,40,0.175,0.0016336838968500614
"normal inputs only (e in [-1, 1])",4.4,both (3.4 x 1.3),model,2025,13,0.07692307692307693,0.007664249498882077
"normal inputs only (e in [-1, 1])",4.4,both (3.4 x 1.3),decision,all,49,0.10204081632653061,0.0006307546445570919
"normal inputs only (e in [-1, 1])",4.4,both (3.4 x 1.3),decision,2023,16,0.0,0.0
"normal inputs only (e in [-1, 1])",4.4,both (3.4 x 1.3),decision,2024,27,0.18518518518518517,0.0008641452720405544
"normal inputs only (e in [-1, 1])",4.4,both (3.4 x 1.3),decision,2025,6,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),1.0,none,model,all,77,0.07792207792207792,0.0024024003451793546
PI-1 + Marin Comma anchor (5 budgets),1.0,none,model,2023,24,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),1.0,none,model,2024,40,0.125,0.0014372335846381905
PI-1 + Marin Comma anchor (5 budgets),1.0,none,model,2025,13,0.07692307692307693,0.007664249498882077
PI-1 + Marin Comma anchor (5 budgets),1.0,none,decision,all,49,0.061224489795918366,0.00048234434155915065
PI-1 + Marin Comma anchor (5 budgets),1.0,none,decision,2023,16,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),1.0,none,decision,2024,27,0.1111111111111111,0.000660820472509619
PI-1 + Marin Comma anchor (5 budgets),1.0,none,decision,2025,6,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),1.3,tokenizer,model,all,77,0.05194805194805195,0.002305991294748869
PI-1 + Marin Comma anchor (5 budgets),1.3,tokenizer,model,2023,24,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),1.3,tokenizer,model,2024,40,0.075,0.0013050827428346835
PI-1 + Marin Comma anchor (5 budgets),1.3,tokenizer,model,2025,13,0.07692307692307693,0.007664249498882077
PI-1 + Marin Comma anchor (5 budgets),1.3,tokenizer,decision,all,49,0.04081632653061224,0.00039102764171219934
PI-1 + Marin Comma anchor (5 budgets),1.3,tokenizer,decision,2023,16,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),1.3,tokenizer,decision,2024,27,0.07407407407407407,0.0005357149419962455
PI-1 + Marin Comma anchor (5 budgets),1.3,tokenizer,decision,2025,6,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),1.84,DataDecide tilt (0.26 x reference),model,all,77,0.03896103896103896,0.001931938154981783
PI-1 + Marin Comma anchor (5 budgets),1.84,DataDecide tilt (0.26 x reference),model,2023,24,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),1.84,DataDecide tilt (0.26 x reference),model,2024,40,0.05,0.0007923566338361593
PI-1 + Marin Comma anchor (5 budgets),1.84,DataDecide tilt (0.26 x reference),model,2025,13,0.07692307692307693,0.007664249498882077
PI-1 + Marin Comma anchor (5 budgets),1.84,DataDecide tilt (0.26 x reference),decision,all,49,0.02040816326530612,1.6974501945113444e-05
PI-1 + Marin Comma anchor (5 budgets),1.84,DataDecide tilt (0.26 x reference),decision,2023,16,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),1.84,DataDecide tilt (0.26 x reference),decision,2024,27,0.037037037037037035,2.325537469710266e-05
PI-1 + Marin Comma anchor (5 budgets),1.84,DataDecide tilt (0.26 x reference),decision,2025,6,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),3.4,DataDecide M* factor,model,all,77,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),3.4,DataDecide M* factor,model,2023,24,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),3.4,DataDecide M* factor,model,2024,40,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),3.4,DataDecide M* factor,model,2025,13,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),3.4,DataDecide M* factor,decision,all,49,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),3.4,DataDecide M* factor,decision,2023,16,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),3.4,DataDecide M* factor,decision,2024,27,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),3.4,DataDecide M* factor,decision,2025,6,0.0,0.0
PI-1 + Marin Comma anchor (5 budgets),4.4,both (3.4 x 1.3),model,all,77,0.0,0.0
