curvature,tau,k_lo,k_hi,sigma_lo,sigma_hi,median_s_lower_bound,median_s_upper_bound
"k in [0.40, 0.52] (ra2; sigma* 0.66-0.71)",1.0,0.4,0.52,0.6578947368421053,0.7142857142857143,0.5714645279013282,0.9279468963769884
"k in [0.40, 0.667] (sigma* 0.60-0.714; top-budget drift)",1.0,0.4,0.6666666666666667,0.6,0.7142857142857143,0.5714645279013282,0.9656875151734851
"k in [0.40, 0.52] (ra2; sigma* 0.66-0.71)",1.3,0.4,0.52,0.6578947368421053,0.7142857142857143,0.5240469464242191,0.9371359800633149
"k in [0.40, 0.667] (sigma* 0.60-0.714; top-budget drift)",1.3,0.4,0.6666666666666667,0.6,0.7142857142857143,0.5240469464242191,0.9711935371232303
"k in [0.40, 0.52] (ra2; sigma* 0.66-0.71)",1.84,0.4,0.52,0.6578947368421053,0.7142857142857143,0.45309246643645623,0.9475256068945536
"k in [0.40, 0.667] (sigma* 0.60-0.714; top-budget drift)",1.84,0.4,0.6666666666666667,0.6,0.7142857142857143,0.45309246643645623,0.977148908232124
"k in [0.40, 0.52] (ra2; sigma* 0.66-0.71)",3.4,0.4,0.52,0.6578947368421053,0.7142857142857143,0.30083715104249137,0.9618685205590957
"k in [0.40, 0.667] (sigma* 0.60-0.714; top-budget drift)",3.4,0.4,0.6666666666666667,0.6,0.7142857142857143,0.30083715104249137,0.9848248535247072
"k in [0.40, 0.52] (ra2; sigma* 0.66-0.71)",4.4,0.4,0.52,0.6578947368421053,0.7142857142857143,0.2248819556781809,0.9666529592197438
"k in [0.40, 0.667] (sigma* 0.60-0.714; top-budget drift)",4.4,0.4,0.6666666666666667,0.6,0.7142857142857143,0.2248819556781809,0.9872213869702157
