panel,unit,label,reading,id_class,served,tier,emb_share,M_over_Mstar,s_ref,s_ref_lo,s_ref_hi,s_lab1,s_band_lo,s_band_hi,sign_id,synthetic,w_ref,C_total,year,w_ref_lo,w_ref_hi,w_lab1,N,D,M,Mstar_ref,sign_source
A,Llama#1,"LLaMA (7B, 13B)",choice,point,0/2,2/2,0.03--0.04,4.371001093180301,0.4631204505599863,0.36625496856825196,0.5461783416216976,0.5587777495234764,-0.34845265138804404,0.6308063809754778,N/N,0,1.862615182573147,1.18525707264e+23,2023,,,,,,,,S1 (rb5_sign)
A,StableLM-alpha,"StableLM-Alpha (3B, 7B)",choice,point,0/2,1/2,0.08--0.11,5.8649308082221445,0.5252893045020336,0.44450254514823595,0.5937730163408047,,-0.19935240258753442,0.6491288161663515,Y/N,0,2.1065461753521495,5.52378433536e+22,2023,,,,,,,,S1 (rb5_sign)
A,MPT,"MPT (7B, 30B)",menu,point,2/2,2/2,0.01--0.03,2.0666636644639347,0.24952677891803957,0.11105873188509202,0.36490787813190584,,-1.2720100244611414,0.562527851568688,N/N,0,1.3324925818915907,2.31e+23,2023,,,,,,,,S1 (rb5_sign)
A,Llama-2,"Llama 2 (7B, 13B, 70B)",choice,point,0/3,3/3,0.01--0.04,2.0397764651205055,0.22592818437161366,0.05937780469769885,0.36056463786764237,0.3363638143908934,-2.0005672376800363,0.575874229990768,N/N,0,1.2918697978794211,1.064771254272e+24,2023,,,,,,,,S1 (rb5_sign)
A,Yi,"Yi (6B, 34B)",menu,point,0/2,0/2,0.03--0.09,5.218711643958996,0.4919591934588733,0.3766268095362594,0.586044492749211,,-0.3869093250593472,0.6671706986541539,N/N,0,1.9683458240456289,7.280991498239999e+23,2023,,,,,,,,S1 (rb5_sign)
A,Qwen2#1,"Qwen2 (1.5B, 7B, 72B)",menu,point,3/3,2/3,0.03--0.15,5.957409851779338,0.5123680170386364,0.38351522217848116,0.6138005023798384,,-0.682938376820159,0.6922724676091649,N/N,1,2.0507268492256236,3.438352447488e+24,2024,,,,,,,,S1 (rb5_sign)
A,OLMo-2#1,"OLMo 2 (1B, 7B)",choice,point,0/2,1/2,0.11--0.28,33.195481118963954,0.7699689468342392,0.7139786004792981,0.8148699277974343,0.5784437592853359,0.20272283137284697,0.8612217926215244,Y/Y,1,4.347239149835123,2.13439878144e+23,2024,,,,,,,,S1 (rb5_sign)
A,Apertus,"Apertus (8B, 70B)",choice,point,0/2,2/2,0.03--0.13,12.449136349583949,0.6490643671488323,0.5423248020120909,0.7301842867277142,,-0.27991813874739063,0.7527129816256479,N/N,1,2.849525401212539,7.07878823904e+24,2025,,,,,,,,S1 (rb5_sign)
A,Olmo-3,"Olmo 3 (7B, 32B)",choice,point,0/2,2/2,0.03--0.11,10.920068578290401,0.6290861932537593,0.5334036808677582,0.7040197811308002,0.19130300893718724,-0.16103522876093218,0.7291290430749823,N/N,1,2.6960441531478128,1.34708838801408e+24,2025,,,,,,,,S1 (rb5_sign)
A,Llama#2,"LLaMA (30B, 65B)",cap or choice,lower bound (point if choice),0/2,2/2,0.01,1.2460469466512243,0.08118377622173398,-0.10642788794984774,0.23251829004573327,0.20738518955219662,-2.7863097374657304,0.5211293602213019,N/N,0,1.0883569250528664,8.216427512832e+23,2023,,,,,,,,S1 (rb5_sign)
A,Qwen#2,"Qwen (14B, 72B)",cap or choice,lower bound (point if choice),2/2,2/2,0.03--0.11,2.513300237879936,0.3064608351730406,0.14779481484511656,0.43366746851939786,,-1.4657218561386713,0.6080766017994329,N/N,0,1.4418796381160446,1.556193798144e+24,2023,,,,,,,,S1 (rb5_sign)
A,Llama-3 herd,"Llama 3 herd (8B, 70B, 3.1 405B)",cap or choice,lower bound (point if choice),1/3,2/3,0.01--0.13,2.472343513918705,0.2937479048727276,0.07920549095799953,0.45744169145723496,0.38179715063414754,-2.93769286471962,0.6445484401594195,N/N,0,1.4159250031248287,4.506043428864e+25,2024,,,,,,,,S1 (rb5_sign)
A,Qwen2.5,Qwen2.5 (0.5B--72B),cap or choice,lower bound (point if choice),7/7,5/7,0.03--0.28,21.9776401582905,0.7165413911661895,0.6276087811908718,0.7822065768075043,,-0.033324035340100304,0.7829430882340113,N/N,1,3.5278519291198953,1.4361776921088e+25,2024,,,,,,,,S1 (rb5_sign)
A,Granite-3.0,"Granite 3.0 (2B, 8B)",cap or choice,lower bound (point if choice),2/2,2/2,0.02--0.04,89.32323878934291,0.8504073131525657,0.8061670049205911,0.885374628577768,,0.31952718651113343,0.9401251155319288,Y/Y,1,6.684818764034058,7.70714025984e+23,2024,,,,,,,,S1 (rb5_sign)
A,Qwen3,Qwen3 (0.6B--14B),cap or choice,lower bound (point if choice),5/5,2/5,0.10--0.26,193.8472173490471,0.89042713253864,0.8522215919172202,0.9194570475222521,,0.35267901780888256,0.963140221259929,Y/Y,1,9.12634690657012,6.328397279232e+24,2025,,,,,,,,S1 (rb5_sign)
A,DeepSeek-LLM,"DeepSeek LLM (7B, 67B)",cap+menu,lower bound,1/2,2/2,0.03--0.12,1.708501081706658,0.17992952344075946,0.0025567105249911315,0.3227808738700026,0.3126927825711552,-2.2517135352097597,0.5609134812742811,N/N,0,1.2194073906863316,8.880000000000001e+23,2024,,,,,,,,S1 (rb5_sign)
A,SmolLM#1,"SmolLM (135M, 360M)",cap or choice,lower bound,0/2,0/2,0.13--0.21,95.64915207487084,0.8553108365853535,0.8263905236033429,0.8813741513239272,,0.40540417916283467,0.9725020873774428,Y/Y,1,6.911367626988243,1.7868100608e+21,2024,,,,,,,,S1 (rb5_sign)
B,B:HuggingFaceTB/SmolLM2-135M,SmolLM2 135M,size-specific,point,N,N,0.21,658.1630988051202,0.9375800546853913,0.9195614319157419,0.9529035499093589,,0.5108475712683548,0.9958216248604013,Y/Y,1,16.020520283377447,1.614180096e+21,2024,12.431847356513307,21.23302283028582,,134515008.0,2000000000000.0,14868.229424630446,22.59049383294714,S1 (rb5_sign)
B,B:HuggingFaceTB/SmolLM2-360M,SmolLM2 360M,size-specific,point,N,N,0.13,495.35038050154446,0.929517901794075,0.9088278590849087,0.9468439305652685,,0.4779405205821321,0.993358420826179,Y/Y,1,14.187999867403722,8.68370688e+21,2024,10.968262782501744,18.812527160757526,,361821120.0,4000000000000.0,11055.186607127853,22.31791281947624,S1 (rb5_sign)
B,B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2 1.7B,size-specific,lower bound,N,N,0.06,293.38104664541015,0.9118314450194397,0.8849394365682042,0.9336028028355109,,0.4179179615657315,0.9853179059481414,Y/Y,1,11.341912093495042,1.12950841344e+23,2024,8.691075118824426,15.06087670421764,,1711376384.0,11000000000000.0,6427.574964128989,21.908623742479058,S1 (rb5_sign)
B,B:allenai/OLMo-2-1124-13B,OLMo 2 13B,size-specific,lower bound,N,Y,0.07,17.30221812230226,0.704347060435072,0.6320451861946031,0.7622520424905342,0.4039193157993746,0.01553421000710737,0.7742024571093271,Y/Y,1,3.3823441819031577,4.2383053056e+23,2024,2.7177250099216748,4.206134977879613,1.6776252385045005,13716198400.0,5150000000000.0,375.46846799766325,21.700597307445275,S1 (rb5_sign)
B,B:allenai/OLMo-2-0325-32B,OLMo 2 32B,size-specific,lower bound,N,Y,0.03,8.857654316697532,0.6063816380736409,0.5031661585052124,0.687314753080353,0.12441496045223596,-0.22692178222238552,0.7201006143729447,N/N,1,2.540531887552256,1.1894449296384e+24,2025,2.012745341564039,3.1981041953571188,1.1420935201411113,32234279936.0,6150000000000.0,190.79067415839916,21.539638750491804,S1 (rb5_sign)
C,B:google/gemma-2-27b,Gemma 2 27B,singleton,point,Y,Y,0.04,22.25970522744511,0.7345318547777187,0.6576084131008311,0.793416853760608,,0.019852436838086147,0.802715655861798,Y/N,0,3.766930300291516,2.12371600896e+24,2024,2.9206325104433435,4.840665941069479,,27227128320.0,13000000000000.0,477.464969761453,21.4497436009513,S1 (rb5_sign)
C,B:tiiuae/Falcon3-7B-Base,Falcon3 7B,singleton,point,N,Y,0.11,86.7760751004931,0.8515963066870987,0.8067376588817872,0.8868511649592803,,0.3139026237029342,0.942705991521432,Y/Y,0,6.7383767726828285,6.26266238976e+23,2024,5.1743138068907575,8.837916887435235,,7455550464.0,14000000000000.0,1877.7956191968176,21.639554647086673,S1 (rb5_sign)
C,B:marin-community/marin-8b-base,Marin 8B,singleton,point,N,Y,0.13,73.07234501808237,0.8402826776970129,0.7928497226696707,0.8774497828410502,0.8084692732956695,0.30166780622311595,0.9326287211950255,Y/Y,1,6.261061640533761,6.119059070976e+23,2025,4.827413281254575,8.159920261120241,5.221094375858128,8030261248.0,12700000000000.0,1581.5176627239912,21.64317653050044,S1 (rb5_sign)
C,B:tiiuae/falcon-11B,Falcon 2 11B,singleton,point,N,N,0.05,22.80348987538509,0.7372564893585437,0.6717816870633605,0.7896646435724637,,0.08034181160581749,0.8092176265998092,Y/Y,0,3.805993143498089,3.663931392e+23,2024,3.0467526051571774,4.754312432225415,,11102822400.0,5500000000000.0,495.3695377492483,21.723409024509362,S1 (rb5_sign)
C,B:m-a-p/neo_7b,MAP-Neo 7B,singleton,point,N,Y,0.05,25.99895675361823,0.7515796565249915,0.6906433833613915,0.7999473384443403,,0.12795640495114693,0.8397286538558469,Y/Y,0,4.025435220045099,2.0668935426048e+23,2024,3.232515311506021,4.998683807672185,,7793716224.0,4420000000000.0,567.1235483772215,21.81331942476099,S1 (rb5_sign)
