key,label,group,form,n_conv,in_set,sensitivity,a,sigma_star,S2,Mstar_1e21,Mstar_1e24,share_M_extrap,share_C_extrap,n,med_w,share_gt1,med_s,med_w_lo,med_w_hi,share_gt1_lo,share_gt1_hi,med_s_lo,med_s_hi,B
chin,Chinchilla refit (Besiroglu sample),Chinchilla,kappa = 1,total,True,False,0.5138995166400605,0.7367885708471132,0.3572414659612088,21.38452464385309,17.64828469179426,0.5974025974025974,0.8831168831168831,77,3.336123407238904,1.0,0.7002508966454464,2.641064584922029,4.8056231572013175,0.922077922077922,1.0,0.6213646401793983,0.7919081828397314,400
chin_cl,"Chinchilla refit, 9-cluster bootstrap",Chinchilla,kappa = 1,total,False,True,0.5138995166400605,0.7367885708471132,0.3572414659612088,21.38452464385309,17.64828469179426,0.5974025974025974,0.8831168831168831,77,3.336123407238904,1.0,0.7002508966454464,1.7578472789712303,6.477089493476759,0.8435064935064935,1.0,0.4311044456188737,0.8456096074173267,400
chin_nls,"Chinchilla, NLS in levels",Chinchilla,kappa = 1,total,False,True,0.5445761265805437,0.7180720802198791,0.3926178548729987,18.271806593570943,9.870172210427755,0.5974025974025974,0.8831168831168831,77,4.578734927201664,1.0,0.7815990626452012,3.2065548085106075,6.001531764956203,0.974025974025974,1.0,0.6881388053617835,0.8333754590279979,400
chin245,"Chinchilla, all 245 points",Chinchilla,kappa = 1,total,False,True,0.5646443737941063,0.713683621859235,0.40118109673705993,15.50306893984586,6.346750640508776,0.5974025974025974,0.8831168831168831,77,5.495377445604793,1.0,0.8180288779254279,3.1218781047700737,11.928351006665974,0.9737012987012987,1.0,0.6796786509158524,0.9161581633651055,400
besi,Besiroglu et al. (published),Chinchilla,kappa = 1,total,True,False,0.5126121076233184,0.7370283018867925,0.3568,21.58940233164001,18.13710528255443,0.5974025974025974,0.8831168831168831,77,3.3127505226244915,1.0,0.6981360373591428,,,,,,,0
hoff,Hoffmann et al. A3 (TeX),Chinchilla,kappa = 1,total,True,False,0.4564973561929178,0.7621660759879578,0.31205,33.983146558812905,61.98397891716081,0.5974025974025974,0.8831168831168831,77,2.0825403789527934,0.8831168831168831,0.519817233746579,,,,,,,0
farseer,Farseer (non-emb. N),Farseer,kappa = 1,nonemb,True,False,0.5262862914401026,0.7715456830138219,0.29609953372273046,24.83750105926499,17.273890012425067,0.2597402597402597,0.948051948051948,77,2.73735338561897,1.0,0.6346836308188685,2.3673339349947744,3.201099938960966,0.9090909090909091,1.0,0.5775830769570688,0.6876072713549292,400
farseer_emb,Farseer (N incl. emb.),Farseer,kappa = 1,total,True,False,0.41107534815931157,0.7243633846088833,0.38052256815817026,19.819241516746818,67.70721355117544,0.37662337662337664,0.948051948051948,77,2.50306661064968,0.8831168831168831,0.6004900565788593,2.13561888219555,2.919641557773088,0.8564935064935064,0.922077922077922,0.5317515725337272,0.6574917112669952,200
farseer_q,"Farseer, q-family (inner)",Farseer,kappa free,nonemb,True,False,0.5206724642363436,0.7100137965003706,0.40842333617876125,24.328946130881675,18.284728300013487,0.2597402597402597,0.948051948051948,77,3.9059880629700987,1.0,0.7439828325436295,3.768670208571479,4.062215721776141,0.987012987012987,1.0,0.7346544132022859,0.7538289184599093,200
gadre_rw,Gadre et al. RefinedWeb,Gadre et al.,kappa = 1,total,True,False,0.5655649742397674,0.796064243465083,0.2561800234202607,3.351168155397674,1.354585352135306,0.45454545454545453,0.948051948051948,77,4.405684207000529,1.0,0.7730204996511044,2.1820376926862357,7.673372937317779,0.9477272727272728,1.0,0.5417124576344676,0.86967474909793,400
gadre_c4,Gadre et al. C4,Gadre et al.,kappa = 1,total,True,False,0.5093775244848627,0.7952908342556049,0.25740164091794604,6.858823767816794,6.025380772234392,0.45454545454545453,0.948051948051948,77,3.1752099778739957,1.0,0.6850601985480144,1.106118864204349,7.6561512797434235,0.5844155844155844,1.0,0.09593691490418332,0.8693852247393382,400
gadre_rp,Gadre et al. RedPajama,Gadre et al.,kappa = 1,total,True,False,0.5289881222161921,0.7948841498996213,0.25804496180516473,5.76845750587666,3.8648350615686304,0.45454545454545453,0.948051948051948,77,3.5048924222660043,1.0,0.7146845382051772,2.5179423275302923,6.935113196351125,1.0,1.0,0.6028460578698336,0.8557748219555764,400
olmo,OLMo ladder (AI2),OLMo ladder,kappa = 1,olmo,True,False,0.3701326547720303,0.8249713524417156,0.21216330365926278,48.30974429028038,290.5619959128822,0.7402597402597403,0.8831168831168831,77,1.2815459658661288,0.7532467532467533,0.2196924444109555,0.4505417129503865,2.6587911563813558,0.1814935064935065,1.0,-1.2195578669008802,0.6238887230260755,400
meta_a2,Meta Llama 3 law (A2/A1),Meta Llama 3,A2/A1 path (kappa=1),total,True,False,0.4632208729054042,0.7847208002675895,0.27433859234902436,18.847252160905857,31.327288287638048,0.45454545454545453,0.935064935064935,77,2.284901551704711,0.922077922077922,0.5623443822978177,1.932720036094818,2.653522884801428,0.8961038961038961,1.0,0.4825790034364334,0.6231301762928302,200
meta_a3,"Meta Llama 3 IsoFLOPs, primal (A3)",Meta Llama 3,kappa = 1,total,True,False,0.5268194506631989,0.7694753765641237,0.29958674501739035,13.94859842914485,9.629724610826644,0.45454545454545453,0.935064935064935,77,3.25952239251754,1.0,0.69320658686206,2.321455705220405,4.041380414509123,0.9214285714285714,1.0,0.5692357931417846,0.7525596789525147,200
chin_q,"Chinchilla, kappa free (reference)",Chinchilla,kappa free,total,True,False,0.5036073384721135,0.7005534232668366,0.42744288556435484,22.668669527435366,21.566615737528085,0.5974025974025974,0.8831168831168831,77,3.986234596660721,0.974025974025974,0.7491366913433287,3.211278471656321,4.855010167100583,0.922077922077922,1.0,0.6885972844458034,0.7940272031178597,399
chin_q_pairs,"Chinchilla, kappa free (m2 pairs draws)",Chinchilla,kappa free,total,False,True,0.5036073384721135,0.7005534232668366,0.42744288556435484,22.668669527435366,21.566615737528085,0.5974025974025974,0.8831168831168831,77,3.986234596660721,0.974025974025974,0.7491366913433287,3.249129707228462,6.039440556308021,0.922077922077922,1.0,0.6922251506722289,0.834419027877737,200
