key,label,median_s_models,median_s_units,share_gt1_units,share_gt1_models,median_s_units_family56,median_s_point_units,in_version1,added_after_round1
chin,Chinchilla refit (Besiroglu sample),0.7002508966454464,0.6864804574872775,1.0,1.0,0.6898013051867316,0.6931234088325686,True,False
besi,Besiroglu et al. (published),0.6981360373591428,0.6840476009597469,1.0,1.0,0.686999150858437,0.6907805147223695,True,False
hoff,Hoffmann et al. A3 (TeX),0.519817233746579,0.46024363590407463,0.8367346938775511,0.8831168831168831,0.47575568346607156,0.4912677310280684,True,False
farseer,Farseer (non-emb. N),0.6346836308188685,0.624192401396379,1.0,1.0,0.625521995360649,0.6291304360496471,True,False
farseer_emb,Farseer (N incl. emb.),0.6004900565788593,0.5473053369604693,0.8367346938775511,0.8831168831168831,0.5545859824307625,0.5618666279010557,True,False
farseer_q,"Farseer, q-family (inner)",0.7439828325436295,0.7354166469498111,1.0,1.0,0.7378056996179154,0.7407030486536778,True,False
gadre_rw,Gadre et al. RefinedWeb,0.7730204996511044,0.7535072835061368,1.0,1.0,0.7549372990601628,0.7719514202223963,True,False
gadre_c4,Gadre et al. C4,0.6850601985480144,0.6740783571638609,1.0,1.0,0.6753815261350828,0.6770054862239069,True,False
gadre_rp,Gadre et al. RedPajama,0.7146845382051772,0.7018201541142085,1.0,1.0,0.7042527032064052,0.7098538473881251,True,False
olmo,OLMo ladder (AI2),0.2196924444109555,0.16505998127993807,0.7142857142857143,0.7532467532467533,0.1686026620102159,0.1721453427404937,True,False
meta_a2,Meta Llama 3 law (A2/A1),0.5623443822978177,0.5191018844862108,0.9387755102040817,0.922077922077922,0.5298108634759282,0.5405198424656458,True,False
meta_a3,"Meta Llama 3 IsoFLOPs, primal (A3)",0.69320658686206,0.6792906228430341,1.0,1.0,0.682337990230766,0.6878813420241944,True,False
chin_q,"Chinchilla, kappa free (reference)",0.7491366913433287,0.7345318547777187,0.9795918367346939,0.974025974025974,0.7357100432996362,0.7372564893585437,False,True
gadre_rw_q,"Gadre et al. RefinedWeb, kappa free",0.7900914971655283,0.7485304390204504,0.8367346938775511,0.8831168831168831,0.7582445883211427,0.7679587376218351,False,True
gadre_c4_q,"Gadre et al. C4, kappa free",0.7426361038015932,0.6783508959085889,0.8367346938775511,0.8831168831168831,0.6948014676577553,0.7112520394069217,False,True
gadre_rp_q,"Gadre et al. RedPajama, kappa free",0.8226957983250117,0.802715655861798,0.9387755102040817,0.935064935064935,0.8059666412308036,0.8092176265998092,False,True
olmo_q,"OLMo ladder (AI2), kappa free",0.7532380142434666,0.660427458027992,0.7755102040816326,0.8441558441558441,0.6778064430887578,0.6951854281495236,False,True
muen,"Muennighoff et al., single epoch",0.6085288881654631,0.5773872109763755,0.9183673469387755,0.922077922077922,0.5821369787894991,0.5995999135582072,False,True
muen_q,"Muennighoff et al., kappa free",0.8397286538558469,0.7717481486750012,0.8163265306122449,0.8571428571428571,0.7889042070832705,0.8060602654915398,False,True
chin_ne,"Chinchilla, non-embedding N (m8)",0.7258272811596762,0.6965333163172228,1.0,1.0,0.6970050178060854,0.7191200231180639,False,True
marin_comma_a3,"Marin comma, primal",0.5243849025193271,0.4841392512584606,0.7142857142857143,0.7792207792207793,0.4845758642125547,0.4850124771666488,False,True
marin_comma_a2,"Marin comma, A2/A1 law",0.23912511883307874,0.2128123493330033,0.8571428571428571,0.8831168831168831,0.2157272736121128,0.2186421978912223,False,True
marin_dclm_a3,"Marin dclm, primal",0.6840512212059277,0.6286619412622274,0.8163265306122449,0.8571428571428571,0.6305340777184951,0.6324062141747628,False,True
marin_dclm_a2,"Marin dclm, A2/A1 law",0.381884102520142,0.34820676318440397,0.9183673469387755,0.922077922077922,0.35409756100403156,0.35998835882365915,False,True
marin_nemotron_a3,"Marin nemotron, primal",0.6992423660992328,0.6484160171667,0.8367346938775511,0.8701298701298701,0.6502513363311614,0.6520866554956227,False,True
marin_nemotron_a2,"Marin nemotron, A2/A1 law",0.3708707506079103,0.33720741445857194,0.9183673469387755,0.922077922077922,0.34296425429773014,0.3487210941368884,False,True
meta_mf,Meta Llama 3: own path + model-free curvature,0.7888255985707342,0.7478549934361082,0.9387755102040817,0.922077922077922,0.7582139563143575,0.7685729191926068,False,True
marin_comma_mf,Marin comma: own path + model-free curvature,0.6700351502738656,0.6212332089409578,0.8571428571428571,0.8831168831168831,0.626859533657456,0.6324858583739541,False,True
marin_dclm_mf,Marin dclm: own path + model-free curvature,0.7136948241946294,0.6713544138105828,0.9183673469387755,0.922077922077922,0.6789651294266627,0.6865758450427425,False,True
marin_nemotron_mf,Marin nemotron: own path + model-free curvature,0.7185264033357929,0.6753876898744503,0.9183673469387755,0.922077922077922,0.6829848603430682,0.6905820308116861,False,True
deepseek,DeepSeek LLM law + reference curvature,0.7810482826329103,0.7548832969031982,1.0,1.0,0.758576103644816,0.7667072749708532,False,True
minicpm,MiniCPM law (published),0.1439461484382696,0.04351257801088449,0.5714285714285714,0.6233766233766234,0.06192719480835099,0.08034181160581749,False,True
