tech,year,n_models,n_units,median_s_models,median_s_units,s_agg_models,s_agg_units,median_lnM,median_M,top_model,top_share_C
reference,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
reference,2024,40,27,0.8206948197148135,0.7736156415553738,0.5847245285923777,0.5384500202871144,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
reference,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
lab-own (one rule) where available,2023,24,16,0.5604481612504122,0.5086242489804534,0.29873560304408786,0.2677702980677264,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
lab-own (one rule) where available,2024,40,27,0.8190189431984048,0.7736156415553738,0.6094290447894126,0.5612706768332735,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
lab-own (one rule) where available,2025,13,6,0.8511464610367326,0.7287668202222509,0.8210711772779237,0.8050611170646937,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
chin,2023,24,16,0.514305505370052,0.45361342355883827,0.26652384534654217,0.24730257331150474,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
chin,2024,40,27,0.7760632390473542,0.7286917612956557,0.5456324525162752,0.5125880393680508,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
chin,2025,13,6,0.8292708247710473,0.7082845672059712,0.7816498266706636,0.7693116528259051,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
besi,2023,24,16,0.5105458792140827,0.4497479591968912,0.259181353531821,0.23970702313029954,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
besi,2024,40,27,0.7737322248336296,0.7258893003317424,0.5399435511928057,0.5063898787884661,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
besi,2025,13,6,0.8277478562942653,0.7047374794876129,0.7789446451783175,0.7664175952395139,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
hoff,2023,24,16,0.2932912888467483,0.22999626480685648,0.08382829289329025,0.05314147788550746,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
hoff,2024,40,27,0.6339782681637087,0.5615112912519086,0.2689666568739062,0.21214571492725395,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
hoff,2025,13,6,0.6718639044330031,0.4862531454013381,0.5934004013206565,0.5716600989978616,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
farseer,2023,24,16,0.44638923320296886,0.39876905358133363,0.23007547835024303,0.21641859792116358,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
farseer,2024,40,27,0.7228690334737564,0.6691330434525061,0.48655239963634594,0.46111546026737593,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414
farseer,2025,13,6,0.7801609243716642,0.6548529434851005,0.7219983318198809,0.7110554439953027,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706
farseer_emb,2023,24,16,0.397793079884443,0.32249912919007406,0.1147478074224224,0.07284190902481644,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904
