tech,year,n_models,n_units,median_s_models,median_s_units,s_agg_models,s_agg_units,median_lnM,median_M,top_model,top_share_C,dropped
without 01.AI,2023,22,15,0.5535544164609436,0.4826863286820712,0.23402910672704796,0.20696283399551732,4.980887639749788,145.62996779959934,falcon-180B,0.46014710029349526,01.AI
without 01.AI,2024,40,27,0.8206948197148135,0.7736156415553738,0.5847245285923777,0.5384500202871144,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414,01.AI
without 01.AI,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,01.AI
without AI2,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,AI2
without AI2,2024,35,22,0.8351264568229678,0.8190189431984048,0.582318435377034,0.5344085669887906,7.292090703468103,1468.6379762115425,Llama-3.1-405B,0.5540453888830374,AI2
without AI2,2025,9,4,0.887811120034247,0.86404689886563,0.8438854947421524,0.8298345889692617,8.2003320836935,3642.1596083417194,Apertus-70B-2509,0.4466543513996189,AI2
without Alibaba,2023,21,14,0.5499468303402214,0.48732276107047223,0.23570180900213156,0.2094046616561092,4.961845129926823,142.85714285714286,falcon-180B,0.5197316072379383,Alibaba
without Alibaba,2024,29,24,0.8186367544863087,0.7961261980208412,0.48091642031215087,0.43915389444170055,7.087610912266134,1197.044537258206,Llama-3.1-405B,0.7370666240747037,Alibaba
without Alibaba,2025,8,5,0.8144668871271099,0.6490643671488323,0.6985225140599505,0.6789374972517197,7.041520318415178,1203.885085051505,Apertus-70B-2509,0.6068780854103398,Alibaba
without Cerebras,2023,23,15,0.5499468303402214,0.4826863286820712,0.2699040674518593,0.24074447035592683,4.961845129926823,142.85714285714286,falcon-180B,0.4231271989852798,Cerebras
without Cerebras,2024,40,27,0.8206948197148135,0.7736156415553738,0.5847245285923777,0.5384500202871144,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414,Cerebras
without Cerebras,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,Cerebras
without DeepSeek,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,DeepSeek
without DeepSeek,2024,38,26,0.8285574821710469,0.7961261980208412,0.5871367519777324,0.5410502052363299,7.198808682295545,1343.660862656559,Llama-3.1-405B,0.5546730459066833,DeepSeek
without DeepSeek,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,DeepSeek
without Google,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,Google
without Google,2024,37,24,0.8351264568229678,0.7946850393723701,0.57511472747743,0.524544666668189,7.292090703468103,1468.6379762115425,Llama-3.1-405B,0.5678410370476682,Google
without Google,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,Google
without H2O.ai,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,H2O.ai
without H2O.ai,2024,37,24,0.819401131910501,0.7717922941948065,0.5830559794851494,0.5362646673899463,7.103456752172356,1216.1637936402378,Llama-3.1-405B,0.5488861214632895,H2O.ai
without H2O.ai,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,H2O.ai
without Hugging Face,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,Hugging Face
without Hugging Face,2024,34,22,0.8084091128257047,0.7607743016796154,0.5818186578324376,0.5347588668580199,6.9555376985117245,1058.1042334621557,Llama-3.1-405B,0.5486432611251567,Hugging Face
without Hugging Face,2025,12,5,0.8595350594338195,0.6490643671488323,0.8280267129032752,0.8127427939280266,7.664254766261074,2150.1170479866005,Apertus-70B-2509,0.3829616407822927,Hugging Face
without IBM,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,IBM
without IBM,2024,38,26,0.8190189431984048,0.7717922941948065,0.5756552349138594,0.5273835938074918,7.095533832219245,1206.604165449222,Llama-3.1-405B,0.5537247757749796,IBM
without IBM,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,IBM
without M-A-P,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,M-A-P
without M-A-P,2024,39,26,0.821988507519126,0.7961261980208412,0.5838893634972419,0.5372643217412554,7.105526661122987,1218.6837491015756,Llama-3.1-405B,0.5492094918277785,M-A-P
without M-A-P,2025,13,6,0.8679236578309063,0.7446735224229226,0.8291467257178425,0.814274844512894,7.798790738160626,2437.6524345322396,Apertus-70B-2509,0.37825060019160706,M-A-P
without Marin,2023,24,16,0.5535544164609436,0.48732276107047223,0.27073534599212346,0.24168170584229384,4.980887639749788,145.62996779959934,falcon-180B,0.42259190320363904,Marin
without Marin,2024,40,27,0.8206948197148135,0.7736156415553738,0.5847245285923777,0.5384500202871144,7.104491706647671,1217.4237713709067,Llama-3.1-405B,0.5475732280217414,Marin
