tech,rise_median_s_models,rise_median_s_units,rise_s_agg_models,rise_s_agg_units,median_s_units_2023,median_s_units_2024,median_s_units_2025,s_agg_units_2023,s_agg_units_2024,s_agg_units_2025
besi,True,False,True,True,0.4497479591968912,0.7258893003317424,0.7047374794876129,0.23970702313029954,0.5063898787884661,0.7664175952395139
chin,True,False,True,True,0.45361342355883827,0.7286917612956557,0.7082845672059712,0.24730257331150474,0.5125880393680508,0.7693116528259051
chin_ne,True,False,True,True,0.5029253766615698,0.7514606800188688,0.7488741047021203,0.3693276218613679,0.6024533520421927,0.7962972518439474
chin_q,True,False,True,True,0.48732276107047223,0.7736156415553738,0.7446735224229226,0.24168170584229384,0.5384500202871144,0.814274844512894
deepseek,True,False,True,True,0.5370396084881106,0.8091216000067422,0.7896583828626264,0.3461359854393972,0.6247920807060648,0.8467699064112884
farseer,True,False,True,True,0.39876905358133363,0.6691330434525061,0.6548529434851005,0.21641859792116358,0.46111546026737593,0.7110554439953027
farseer_emb,True,False,True,True,0.32249912919007406,0.6769645742892335,0.5372303508095633,0.07284190902481644,0.23863828895112565,0.6286142115184828
farseer_q,True,False,True,True,0.49986141237105686,0.7786997589352354,0.7576046375134333,0.27843071084087373,0.5698974526247076,0.8211962234064779
gadre_c4,True,False,True,True,0.5145405942497876,0.7045603169717609,0.6910042548018194,0.3780709050383881,0.5400250134847806,0.730771971006252
gadre_c4_q,True,False,True,True,0.2934937761461198,0.7813365272554671,0.6691769124402419,0.10539279990788648,0.40869490190735713,0.8292655412505868
gadre_rp,True,False,True,True,0.5582593838606847,0.7341932654754681,0.7276130401859543,0.4458849867655101,0.5997496591270134,0.7628317206689033
gadre_rp_q,True,False,True,True,0.5192297760886639,0.8457551788474419,0.802671380874165,0.2406028107624057,0.5939757747254601,0.8892586330816128
gadre_rw,True,True,True,True,0.6399675985709147,0.7902598714393598,0.7931105288818459,0.5744383966744413,0.7046449227422162,0.8197022897664705
gadre_rw_q,True,False,True,True,0.37796372247518883,0.8182151326671425,0.738714619274857,0.1436892325674107,0.49548895519482145,0.8728953963740613
hoff,True,False,True,True,0.22999626480685648,0.5615112912519086,0.4862531454013381,0.05314147788550746,0.21214571492725395,0.5716600989978616
lab-own (one rule) where available,True,False,True,True,0.5086242489804534,0.7736156415553738,0.7287668202222509,0.2677702980677264,0.5612706768332735,0.8050611170646937
marin_comma_a2,True,False,True,True,0.12301241002908747,0.28536154352240806,0.22016910703961373,0.019890395737599306,0.06790823417952196,0.2349536560843364
marin_comma_a3,False,False,True,True,0.09706126743365903,0.6851350482807799,0.3180388614066209,0.04090707967000506,0.09971623977006805,0.5256464085691083
marin_comma_mf,True,False,True,True,0.4048289811590462,0.7441392520057636,0.6024664099012311,0.10042420297838005,0.29514473449837597,0.6966214047116817
marin_dclm_a2,True,False,True,True,0.2318143330151362,0.4268765944996385,0.3613982592216584,0.06279628434892563,0.13586362956289644,0.3898248384271779
marin_dclm_a3,True,False,True,True,0.3545814037036552,0.7929320989032771,0.5563148325670003,0.08669821619354162,0.2575159744642717,0.7001314617410375
marin_dclm_mf,True,False,True,True,0.49161284828217494,0.7647660232120451,0.6686912200808339,0.17287479596396094,0.3678684669239615,0.7435631407756703
marin_nemotron_a2,True,False,True,True,0.22087384993586343,0.4166742223348763,0.35009465327865935,0.05665866206853466,0.12937720002083708,0.37809080382227384
marin_nemotron_a3,True,False,True,True,0.39870387002388125,0.791664302567521,0.5992704991109443,0.10143099199767937,0.2932969581721233,0.7232451288834473
marin_nemotron_mf,True,False,True,True,0.4896191304749855,0.7711071426404289,0.6707091386817876,0.16611902212549706,0.37003904284317224,0.7494688148604297
meta_a2,True,False,True,True,0.33393457606285026,0.5914346493630747,0.5406371913610338,0.110132746914837,0.27588200741094787,0.6046153614925486
meta_a3,True,False,True,True,0.4914198845583893,0.7181331069121464,0.707630308028534,0.33950167582440954,0.5471576052124146,0.754715383253322
meta_mf,True,False,True,True,0.530189955066952,0.8144646852897686,0.7514894984217972,0.2206960479528617,0.5017808897262948,0.8407933564203935
minicpm,True,False,True,True,-0.2739025269877892,0.21120953608763796,0.08317828272562544,0.0049269007177008125,0.019479872249381934,0.2500411950729464
muen,True,False,True,True,0.27047054976407076,0.6455557380870619,0.6306892778743229,0.10200657046231897,0.39105355189216,0.7088153008355478
muen_q,True,False,True,True,0.30856729501201496,0.8869439292911867,0.716266201772384,0.16991285720449287,0.5577628179165729,0.9188153413607711
olmo,True,False,True,True,-0.027235658442260426,0.34080934829995113,0.14615809342486516,0.009406766430942872,0.025746032928542193,0.22798732747932512
olmo_q,True,False,True,True,0.1227540561827327,0.8305878424188793,0.586361005556709,0.10111732568713537,0.391990531470299,0.8493104835034049
reference,True,False,True,True,0.48732276107047223,0.7736156415553738,0.7446735224229226,0.24168170584229384,0.5384500202871144,0.814274844512894
