model,date,C_2026,C_2024,change
AmoebaNet-A (F=448),2018-02-05,3.85296912e+20,3.85296912e+20,entered the running top 10 (revised compute or ranking)
FTW,2018-07-03,,7.26e+21,left the running top 10 (compute withdrawn)
Big Transformer for Back-Translation,2018-08-28,4.7808e+20,1.080843264e+20,entered the running top 10 (revised compute or ranking)
GPT-2 (124M),2019-02-14,7.936e+20,,added after May 2024
GPT-2 (355M),2019-02-14,2.272000000071e+21,,added after May 2024
GPT-2 (774M),2019-02-14,4.9536e+21,,added after May 2024
Sparse Transformer (ImageNet),2019-04-23,1.45152e+21,,added after May 2024
MnasNet-A3,2019-05-29,1.5e+21,1.5e+21,entered the running top 10 (revised compute or ranking)
MnasNet-A1 + SSDLite,2019-05-29,1.5e+21,1.5e+21,entered the running top 10 (revised compute or ranking)
Grover-Mega,2019-05-29,4.6386183e+21,,entered the running top 10 (revised compute or ranking)
Megatron-LM (2.5B),2019-09-17,2.359e+21,,added after May 2024
T5-3B,2019-10-23,9.0000000001e+21,8.658654068736e+20,entered the running top 10 (revised compute or ranking)
XLM-RoBERTa,2019-11-05,2.076e+22,,entered the running top 10 (revised compute or ranking)
Noisy Student (L2),2019-11-11,2.612e+22,8.4934656e+20,entered the running top 10 (revised compute or ranking)
GPT3-6.7B (rerun of original),2020-05-28,1.2e+22,1.2e+22,entered the running top 10 (revised compute or ranking)
GPT-3 13B,2020-06-22,2.31e+22,,added after May 2024
GShard (dense),2020-06-30,4.765e+22,1.28e+22,entered the running top 10 (revised compute or ranking)
PLUG,2021-04-19,3.5997696e+22,3.5997696e+22,entered the running top 10 (revised compute or ranking)
Wu Dao 2.0,2021-05-31,1.54350000000001e+24,,entered the running top 10 (revised compute or ranking)
ViT-G/14,2021-06-08,5.85e+22,3.4e+21,entered the running top 10 (revised compute or ranking)
Codex,2021-07-07,7.344e+22,,entered the running top 10 (revised compute or ranking)
GOAT,2021-07-27,2.412e+22,7.8e+22,left the running top 10
FLAN 137B,2021-09-03,2.047e+24,4.896e+22,entered the running top 10 (revised compute or ranking)
HyperCLOVA 82B,2021-09-10,1.476e+23,,added after May 2024
HyperCLOVA 204B,2021-09-10,2.0000000001e+23,,entered the running top 10 (revised compute or ranking)
EXAONE 1.0,2021-12-14,1.6956e+24,,added after May 2024
InstructGPT 175B,2022-01-27,3.19181e+23,,added after May 2024
AlphaCode,2022-02-02,2.38010000000001e+23,1.568160000001e+23,left the running top 10
ST-MoE,2022-02-17,2.9e+23,2.9e+23,left the running top 10
GPT-3.5 (davinci-002),2022-03-15,2.578e+24,,added after May 2024
Parti,2022-06-22,5.09607936e+23,3.962895376192635e+23,left the running top 10
GLM-130B,2022-08-04,3.5490054945e+23,3.778e+23,left the running top 10
BlenderBot 3,2022-08-10,4.3e+23,4.3e+23,left the running top 10
BLOOM-176B,2022-11-08,3.65664e+23,5.7700000000001e+23,left the running top 10
GPT-3.5 (text-davinci-003),2022-11-28,,2.578e+24,left the running top 10 (compute withdrawn)
SenseChat,2023-04-10,3.89e+24,,added after May 2024
GPT-4 (Jun 2023),2023-06-13,2.1e+25,,added after May 2024
Inflection-1,2023-06-23,1.0001e+24,1.0001e+24,left the running top 10
Mistral Large,2024-02-26,,2.0000000001e+25,left the running top 10 (compute withdrawn)
Aramco Metabrain AI,2024-03-04,1.05e+25,,added after May 2024
Grok-1.5,2024-03-28,9.26e+24,,entered the running top 10 (revised compute or ranking)
Reka Core,2024-04-15,8.400010000000001e+24,,entered the running top 10 (revised compute or ranking)
