gC,sigma,scenario,spec,stock,year,C,m_D,w_sigma,D_w,U,r_obs,r_opt,life_penalty,train_penalty,N_ratio,ratio_proc,ratio_proc_vs_w,w_hat_proc,shadow_usd_per_Mtok,epochs,s_true_c,s_hat_proc,extra_life_usd_bn
hat,0.6,baseline,D15,100T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.3478041702819772,70929895287991.31,114237868999435.28,0.6208965197726328,0.49636268907049996,0.0,0.0,1.0,1.0,1.0,1.3478041702819772,0.0,0.6208965197726328,,,
hat,0.6,baseline,D15,100T,2027.0,1.4602242200599083e+27,1.2508928117367921,1.3478041702819772,88273454684138.53,115762500000000.02,0.762539291084233,0.609596029275675,0.0,0.0,1.0,1.0,1.0,1.3478041702819772,0.0,0.762539291084233,,,
hat,0.6,baseline,D15,100T,2027.5,3.285282740472747e+27,1.2508928117367921,1.3478041702819772,132018985276366.69,118621263804439.83,1.1129453610780482,0.8897208063197583,0.00026511642887738773,-0.0008761238514950476,1.0035463889893732,0.9935704611130127,0.9947053580549027,1.3406680297882252,0.1883122266438936,1.1080407396230212,0.25889896750207486,0.25410319498857437,0.001192010502667645
hat,0.6,baseline,D15,100T,2028.0,7.3913872517505e+27,1.2508928117367921,1.3478041702819772,197443416435509.75,121550625000000.02,1.62437187332858,1.2985699958362011,0.005629310867677262,0.001392557076691281,1.0178107455743148,0.9735304504126792,0.977649323473277,1.3176798352506365,1.9893024262569392,1.5981693167899398,0.2611783041913945,0.24109030642501292,0.056944512279543016
hat,0.6,baseline,D15,100T,2028.5,1.6629498835000692e+28,1.2508928117367921,1.3478041702819772,295290125220382.2,124552326994661.81,2.3708117892734193,1.8952957176096368,0.018955379446397247,0.01278937373814637,1.0366837629308494,0.9554505414441955,0.9612674601888617,1.2956002915989122,8.727790803663627,2.3161672567542717,0.26254219944249524,0.22815701224805157,0.43140217686862403
hat,0.6,baseline,D15,100T,2029.0,3.741384696598062e+28,1.2508928117367921,1.3478041702819772,441626566369460.3,127628156250000.03,3.4602597055809166,2.766231984958445,0.04301662442200427,0.03581512673774334,1.0637222349338682,0.9364437719021207,0.9429543909119364,1.2709178604568097,32.81773941343523,3.369478636219946,0.26317522080810796,0.21316708883092797,2.2026190035581403
hat,0.6,baseline,D15,100T,2030.0,1.893820330496557e+29,1.2508928117367921,1.3478041702819772,987797049120557.8,134009564062500.05,7.371093668059871,5.892666101282919,0.15010658986202463,0.14295997431563556,1.1706544042847067,0.8810917271244763,0.8866009522735308,1.194964460850237,439.7075330645606,7.196714076065528,0.26266281886110254,0.16315502865375306,38.90534061337039
hat,0.6,baseline,D15,100T,2031.0,9.586171257564732e+29,1.2508928117367921,1.3478041702819772,2209430058233835.0,140710042265625.05,15.702006926150933,12.552639825589537,0.4806187383835001,0.47661401675133086,1.4921330385971012,0.7598697311932813,0.7619305722225675,1.0269332027069098,7381.525401051086,15.538697233110103,0.26005924320069845,0.02622683017348756,630.54570412431
hat,0.6,trend,D15,100T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.3478041702819772,70929895287991.31,114237868999435.28,0.6208965197726328,0.49636268907049996,0.0,0.0,1.0,1.0,1.0,1.3478041702819772,0.0,0.6208965197726328,,,
hat,0.6,trend,D15,100T,2027.0,1.4602242200599083e+27,1.4191528803337325,1.5947976143075453,100147291835556.55,115762500000000.02,0.8651099607865805,0.609596029275675,0.0,0.0,1.0,1.0,1.0,1.5947976143075453,0.0,0.8651099607865805,,,
hat,0.6,trend,D15,100T,2027.5,3.285282740472747e+27,1.7901138910656336,2.1735729309504057,188928273637998.0,118621263804439.83,1.5927015745631155,0.8897208063197583,0.0031961809492786486,-0.005271744847129667,1.0104116897370885,0.9744944342403874,0.9827901135029536,2.136165987515697,0.8601731849647248,1.567979937619919,0.5438114641204929,0.5318715840228442,0.023175132211397644
hat,0.6,trend,D15,100T,2028.0,7.3913872517505e+27,2.258042658682806,2.9623942522711024,356413957138692.0,121550625000000.02,2.932226445883696,1.2985699958362011,0.013774775727164013,-0.006455353137010289,1.0240836771320485,0.9453153538721242,0.9645634586115511,2.8574172457415945,5.229659683071834,2.844785005124329,0.6691713976035784,0.650033609375635,0.3062649112152267
hat,0.6,trend,D15,100T,2028.5,1.6629498835000692e+28,2.8482861754656774,4.037490337189473,672376380714000.1,124552326994661.81,5.398344590886829,1.8952957176096368,0.029098434589898137,-0.007223249134408971,1.0410562285883196,0.909874905118241,0.9431635457955879,3.8080137025390473,24.112863610244602,5.147993793054567,0.7610631220912968,0.7373959029261802,1.9838287312417144
hat,0.6,trend,D15,100T,2029.0,3.741384696598062e+28,3.5928170383111064,5.502754473143148,1268440778726683.8,127628156250000.03,9.938565407479851,2.766231984958445,0.04941389025942633,-0.016540572748599325,1.064061471734591,0.8530807465963254,0.9102915282362922,5.009110778866569,105.89950281983232,9.185724794082846,0.8296941744240371,0.8003637683121326,10.330121754638228
hat,0.6,trend,D15,100T,2030.0,1.893820330496557e+29,5.7166033693572755,10.221565468027325,4514250850481297.0,134009564062500.05,33.68603488909134,5.892666101282919,0.1144882412052195,-0.12520574542863305,1.1404810064753799,0.6021493430605183,0.7671385114654374,7.8413565179889995,1996.8391250130983,25.838527439697312,0.9232085237191912,0.8724710453215739,225.04064589825836
hat,0.6,trend,D15,100T,2031.0,9.586171257564732e+29,9.095802467555876,18.9869275700193,1.6065756543658252e+16,140710042265625.05,114.17633229993747,12.552639825589537,0.22792638510845675,-0.40620171222251655,1.2631813276139205,0.24956454880099516,0.5160791140160127,9.798756758221765,33170.457016520624,53.67219190334451,0.9745309986808689,0.8979462369896122,4212.485051019411
hat,0.6,catchup,D15,100T,2026.7282683093772,9.398037560015233e+26,1.2508928117367921,1.3478041702819772,70929895287991.31,114237868999435.28,0.6208965197726328,0.49636268907049996,0.0,0.0,1.0,1.0,1.0,1.3478041702819772,0.0,0.6208965197726328,,,
hat,0.6,catchup,D15,100T,2027.0,1.4602242200599083e+27,1.4191528803337325,1.5947976143075453,100147291835556.55,115762500000000.02,0.8651099607865805,0.609596029275675,0.0,0.0,1.0,1.0,1.0,1.5947976143075453,0.0,0.8651099607865805,,,
hat,0.6,catchup,D15,100T,2027.5,3.285282740472747e+27,1.7901138910656336,2.1735729309504057,188928273637998.0,118621263804439.83,1.5927015745631155,0.8897208063197583,0.0031961809492786486,-0.005271744847129667,1.0104116897370885,0.9744944342403874,0.9827901135029536,2.136165987515697,0.8601731849647248,1.567979937619919,0.5438114641204929,0.5318715840228442,0.023175132211397644
hat,0.6,catchup,D15,100T,2028.0,7.3913872517505e+27,2.258042658682806,2.9623942522711024,356413957138692.0,121550625000000.02,2.932226445883696,1.2985699958362011,0.013774775727164013,-0.006455353137010289,1.0240836771320485,0.9453153538721242,0.9645634586115511,2.8574172457415945,5.229659683071834,2.844785005124329,0.6691713976035784,0.650033609375635,0.3062649112152267
hat,0.6,catchup,D15,100T,2028.5,1.6629498835000692e+28,2.8482861754656774,4.037490337189473,672376380714000.1,124552326994661.81,5.398344590886829,1.8952957176096368,0.029098434589898137,-0.007223249134408971,1.0410562285883196,0.909874905118241,0.9431635457955879,3.8080137025390473,24.112863610244602,5.147993793054567,0.7610631220912968,0.7373959029261802,1.9838287312417144
