dropped,n_units,w_target,cap,sigma,catchup_multiple,catchup_years,gD5_epoch,gD5_hat
(none),6,5.384300243966818,4.446488689347983,0.6,3.062054342914079,2.4095476615159663,107.86853180416814,171.42555418258237
(none),6,5.384300243966818,4.446488689347983,0.7,5.701906050816606,2.4095476615159663,200.8639185683284,319.2145844570609
(none),6,5.384300243966818,4.446488689347983,0.74,8.359461685565968,2.4095476615159663,294.48297048740517,467.99474850352806
AI2,4,5.876634939749077,4.853070892601298,0.6,3.269734401193431,2.5508424780717838,115.18458190087486,183.05228091445602
AI2,4,5.876634939749077,4.853070892601298,0.7,6.314700269182324,2.5508424780717838,222.45112938519648,353.5211566857084
AI2,4,5.876634939749077,4.853070892601298,0.74,9.467917015014384,2.5508424780717838,333.53108510849216,530.0503320620147
Alibaba,5,3.1146583342497047,2.5721621059195323,0.6,2.0310646702678348,1.5256283440362592,71.54933892277293,113.70679540258483
Alibaba,5,3.1146583342497047,2.5721621059195323,0.7,3.010796425153572,1.5256283440362592,106.06284329803184,168.5559392201066
Alibaba,5,3.1146583342497047,2.5721621059195323,0.74,3.836066198967895,1.5256283440362592,135.13503760761756,214.7577085171267
Hugging Face,5,5.340248426090712,4.41010960551981,0.6,3.043245842769301,2.396281338933238,107.20595528891111,170.37258215805807
Hugging Face,5,5.340248426090712,4.41010960551981,0.7,5.647517869569876,2.396281338933238,198.9479586925149,316.16972533077563
Hugging Face,5,5.340248426090712,4.41010960551981,0.74,8.262301625069878,2.396281338933238,291.06026406158014,462.55535541976434
Marin,5,5.35108146146382,4.419055794824874,0.6,3.0478747337895036,2.399553855697267,107.3690195661295,170.6317252429041
Marin,5,5.35108146146382,4.419055794824874,0.7,5.660885870669259,2.399553855697267,199.41888000554903,316.9181173382781
Marin,5,5.35108146146382,4.419055794824874,0.74,8.286163489478747,2.399553855697267,291.9008579869791,463.8912341704423
Swiss AI,5,7.2372630778780485,5.976711357001144,0.6,3.822493113660618,2.8871500629433853,134.65689168981672,213.9978351085597
Swiss AI,5,7.2372630778780485,5.976711357001144,0.7,8.051423347224187,2.8871500629433853,283.63154867210795,450.74958008190305
Swiss AI,5,7.2372630778780485,5.976711357001144,0.74,12.734020817624348,2.8871500629433853,448.5877700830191,712.8993581336474
