tech,sigma_star,spec,w,r,r_obs,life_penalty,train_penalty,ratio_proc,ratio_eff,N_ratio,shadow_life_rel,C,U,N_w,D_w,Phi,loss,D_ratio,epochs,N_c,D_c,mN_c,w_true_c,s_true_c,w_hat_proc,w_hat_eff,s_hat_proc,ratio_proc_vs_w,mu_eff,mu_eta,shadow_life,elas_life_U
kq,0.7005534249155089,D15,1.0,0.25,0.25,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.0,0.2973,0.2973,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.0,0.3536,0.3536,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.0,0.4204,0.4204,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.0,0.5946,0.5946,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.0,0.7071,0.7071,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.0,0.8409,0.8409,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
kq,0.7005534249155089,D15,1.0,1.1892,1.1892,0.0009153865574558218,0.0009153865574558218,0.9898534758904015,0.9894914380265282,1.0124673517206115,0.012485249432904345,1e+26,15679990907928.764,893815831152.9764,18646645187708.887,0.0,1.837981334979805,0.9885902837819668,1.175631565473515,904959347493.4113,18433892257698.773,0.0,1.0,0.0,0.9898534758904015,0.9894914380265282,-0.010250531373314014,0.9898534758904015,0.010620164631672147,0.010620024446628573,67791859080.56159,0.010620037340203226
