key,stock,U,Dstar,D_obs,m_D,r_opt,r_obs,life_penalty_D15,life_penalty_D3,life_penalty_DN
chin_q,100T,114237868999435.28,56703415850243.23,70929895287991.33,1.2508928117367921,0.4963626890705002,0.620896519772633,0.0,0.0,0.0
chin_q,22T,25132331179875.76,56703415850243.23,70929895287991.33,1.2508928117367921,2.2561940412295463,2.822256908057423,0.030801121904675988,0.14581324450892086,0.07435492894902351
chin_q,490T,559765558097232.94,56703415850243.23,70929895287991.33,1.2508928117367921,0.10129850797357146,0.12671357546380263,0.0,0.0,0.0
chin,100T,114237868999435.28,47804682019931.95,68211505497764.53,1.4268791803556824,0.41846615696383715,0.5971006470551523,0.0,0.0,0.0
chin,22T,25132331179875.76,47804682019931.95,68211505497764.53,1.4268791803556824,1.902118895290169,2.714093850250692,0.02827686368114457,0.1328569824573722,0.06582925850837862
chin,490T,559765558097232.94,47804682019931.95,68211505497764.53,1.4268791803556824,0.08540125652323206,0.12185727490921475,0.0,0.0,0.0
meta_a2,100T,114237868999435.28,90105246064724.86,82719673400526.92,0.9180339326869748,0.7887511107649451,0.7241002841267622,0.0,0.0,0.0
meta_a2,22T,25132331179875.76,90105246064724.86,82719673400526.92,0.9180339326869748,3.5852323216588413,3.2913649278489188,0.0421568078651553,0.2062580121421813,0.11560761222209814
meta_a2,490T,559765558097232.94,90105246064724.86,82719673400526.92,0.9180339326869748,0.1609696144418255,0.14777556818913512,0.0,0.0,0.0
deepseek,100T,114237868999435.28,39524056558379.234,65573222649655.17,1.6590711672725158,0.3459803382587136,0.5740060036482239,0.0,0.0,0.0
deepseek,22T,25132331179875.76,39524056558379.234,65573222649655.17,1.6590711672725158,1.572637901175971,2.609118198401018,0.025866400126258515,0.12064608571027846,0.0579280316148274
deepseek,490T,559765558097232.94,39524056558379.234,65573222649655.17,1.6590711672725158,0.07060823229769665,0.11714408237718854,0.0,0.0,0.0
farseer,100T,114237868999435.28,43449813465566.5,65081418014942.625,1.4978526447879674,0.3803450978745173,0.5697009107834842,0.0,0.0,0.0
farseer,22T,25132331179875.76,43449813465566.5,65081418014942.625,1.4978526447879674,1.7288413539750787,2.5895495944703826,0.025421626628968852,0.11841015003727073,0.05649692784388338
farseer,490T,559765558097232.94,43449813465566.5,65081418014942.625,1.4978526447879674,0.07762144854581986,0.1162654919966294,0.0,0.0,0.0
farseer_eq3,100T,114237868999435.28,419223608859579.5,124218303808069.47,0.29630560202938583,3.669742901643691,1.087365379764599,0.00017679461985964373,0.0007386091289183216,0.00017679461985964373
farseer_eq3,22T,25132331179875.76,419223608859579.5,124218303808069.47,0.29630560202938583,16.680649552925868,4.942569908020905,0.08588519755777257,0.47446095982586955,0.31632921208531695
farseer_eq3,490T,559765558097232.94,419223608859579.5,124218303808069.47,0.29630560202938583,0.7489271227844266,0.2219113019927753,0.0,0.0,0.0
gadre_rw,100T,114237868999435.28,9298631659480.768,56309712643169.68,6.055698806582687,0.08139710361304739,0.49291634320881844,0.0,0.0,0.0
gadre_rw,22T,25132331179875.76,9298631659480.768,56309712643169.68,6.055698806582687,0.36998683460476084,2.2405288327673567,0.017766304821946077,0.08076632802091899,0.03334522959638475
gadre_rw,490T,559765558097232.94,9298631659480.768,56309712643169.68,6.055698806582687,0.016611653798581098,0.10059517208343233,0.0,0.0,0.0
olmo,100T,114237868999435.28,518994569226290.1,118207230954433.4,0.22776198049751292,4.543104434387302,1.0347464635830852,2.9343753219279733e-05,0.00012205811385901377,2.9343753219279733e-05
olmo,22T,25132331179875.76,518994569226290.1,118207230954433.4,0.22776198049751292,20.650474701760462,4.703393016286751,0.07925787068799006,0.4299263495331811,0.2813776625263462
olmo,490T,559765558097232.94,518994569226290.1,118207230954433.4,0.22776198049751292,0.9271641702831228,0.21117274767001734,0.0,0.0,0.0
marin_dclm,100T,114237868999435.28,120450068980140.77,96258891187813.36,0.7991601167425156,1.0543795156117293,0.8426180567871867,0.0,0.0,0.0
marin_dclm,22T,25132331179875.76,120450068980140.77,96258891187813.36,0.7991601167425156,4.792634161871497,3.8300820763053944,0.0558621119100684,0.2840503362537834,0.17127577678215
marin_dclm,490T,559765558097232.94,120450068980140.77,96258891187813.36,0.7991601167425156,0.21517949298198555,0.17196286873207892,0.0,0.0,0.0
