tech,label,sigma_star,k,a,n,g_M_over_Mstar,g_DDstar_Mbased,g_w
chin,Chinchilla refit (Besiroglu sample),0.7367885708471132,0.3572414659612088,0.5138995166400605,77,5.114665407434506,2.2615626030323606,1.791508634610681
besi,Besiroglu et al. (published),0.7370283018867925,0.3568,0.5126121076233184,77,5.103863592612021,2.2591732099624457,1.788868366081622
hoff,Hoffmann et al. A3 (TeX),0.7621660759879578,0.31205,0.4564973561929178,77,4.654558413168707,2.157442563121602,1.6158888388115407
farseer,Farseer (non-emb. N),0.7715456830138219,0.29609953372273046,0.5262862914401026,77,5.413273200920368,2.3266441930214357,1.6488348113402107
farseer_emb,Farseer (N incl. emb.),0.7243633846088833,0.38052256815817026,0.41107534815931157,77,4.3200013914395115,2.078461303810949,1.7450824888793357
farseer_q,"Farseer, q-family (inner)",0.7100137965003706,0.40842333617876125,0.5206724642363436,77,5.365912090067384,2.316443845653804,1.9861107143382812
gadre_rw,Gadre et al. RefinedWeb,0.796064243465083,0.2561800234202607,0.5655649742397674,77,5.5675561117568755,2.3595669330953246,1.5524741422870802
gadre_c4,Gadre et al. C4,0.7952908342556049,0.25740164091794604,0.5093775244848627,77,5.076824855352344,2.253181052501628,1.51921970653047
gadre_rp,Gadre et al. RedPajama,0.7948841498996213,0.25804496180516473,0.5289881222161921,77,5.242981148085609,2.2897556961574765,1.5334992006719341
olmo,OLMo ladder (AI2),0.8249713524417156,0.21216330365926278,0.3701326547720303,77,4.205869779411983,2.050821732723735,1.3563110881443692
meta_a2,Meta Llama 3 law (A2/A1),0.7847208002675895,0.27433859234902436,0.4632208729054042,77,4.70623534427857,2.169385937144096,1.5294678057366902
meta_a3,"Meta Llama 3 IsoFLOPs, primal (A3)",0.7694753765641237,0.29958674501739035,0.5268194506631989,77,5.224342220283333,2.285682003316151,1.6410157720680234
chin_q,"Chinchilla, kappa free (reference)",0.7005534232668366,0.42744288556435484,0.5036073384721135,77,5.028945537743415,2.2425310561380005,1.9945334496672302
gadre_rw_q,"Gadre et al. RefinedWeb, kappa free",0.594477159190701,0.6821504149316059,0.47693532478942063,77,4.813430151650378,2.1939530878417566,2.9210348544341453
gadre_c4_q,"Gadre et al. C4, kappa free",0.6067287961698127,0.6481828558539647,0.4631055657789476,77,4.705344276725055,2.169180554201299,2.7287403805585173
gadre_rp_q,"Gadre et al. RedPajama, kappa free",0.6231797839540552,0.6046733635276693,0.4947048151901647,77,4.955959250456691,2.2261983852425846,2.6322384010693
olmo_q,"OLMo ladder (AI2), kappa free",0.5441918103531439,0.8375873744793536,0.43079881341437265,77,4.62839023181581,2.1513693852557747,3.608741218516476
muen,"Muennighoff et al., single epoch",0.734547630504754,0.36138210576329405,0.5351989283763525,77,5.296729463638847,2.3014624619226027,1.8266000292022126
muen_q,"Muennighoff et al., kappa free",0.5107306168712504,0.9579793475590459,0.44430475206321374,77,4.562289301842602,2.135951615051849,4.280391853978679
chin_ne,"Chinchilla, non-embedding N (m8)",0.75261269880731,0.32870465989310665,0.5561105649981141,77,5.671985170237859,2.3815929900463386,1.7691156945495818
marin_comma_a3,"Marin comma, primal",0.6631971928477981,0.5078471543372425,0.3445042756857398,77,3.8726295202151872,1.9678997739252848,1.9889192414558798
marin_comma_a2,"Marin comma, A2/A1 law",0.904446351886696,0.10564877387583785,0.4049294587482616,77,4.276620264516366,2.067999096836448,1.1659368108915116
marin_dclm_a3,"Marin dclm, primal",0.6471160994354697,0.5453177580844901,0.37117687075037675,77,4.046025583663041,2.0114734856972487,2.143006501600415
marin_dclm_a2,"Marin dclm, A2/A1 law",0.8656940992796529,0.15514244677433245,0.423579071485716,77,4.409622766743066,2.0999101806370355,1.2588500915478427
marin_nemotron_a3,"Marin nemotron, primal",0.6579760219686652,0.5198122220441992,0.38511292695443444,77,4.139688890744428,2.03462254257256,2.092701825208435
marin_nemotron_a2,"Marin nemotron, A2/A1 law",0.8672896392049884,0.1530173482951582,0.4223734822719683,77,4.400901232070709,2.0978325081070484,1.2545068369068384
meta_mf,Meta Llama 3: own path + model-free curvature,0.6595077631182621,0.5162823789546223,0.46322087290540404,77,4.706235344278573,2.1693859371440976,2.2247926838199685
marin_comma_mf,Marin comma: own path + model-free curvature,0.6999688390497418,0.4286350251785096,0.40492945874824543,77,4.276620264516247,2.0679990968364197,1.864283088349958
marin_dclm_mf,Marin dclm: own path + model-free curvature,0.7125881529740448,0.40333514643264623,0.4235790714856966,77,4.409622766742926,2.0999101806370017,1.8193227423125884
marin_nemotron_mf,Marin nemotron: own path + model-free curvature,0.7049250317361109,0.4185905663431606,0.4223734822719467,77,4.400901232070539,2.097832508107008,1.8594326477670142
deepseek,DeepSeek LLM law + reference curvature,0.7005534232668366,0.42744288556435484,0.5243,77,5.215802648707745,2.2838131816564475,2.0258804920068845
minicpm,MiniCPM law (published),0.7936507936507936,0.26,0.4423076923076923,77,4.746457602469753,2.178636638466762,1.4991880007476999
