dropped,n_units,g_w_units_ols,g_w_models_ols,g_w_agg_units
01.AI,48,1.8437616790246643,1.987279562807474,2.0663857835343067
AI2,42,2.260272083763241,2.4003023833435924,2.111009185886716
Alibaba,43,1.80929801025353,1.7295480328234256,1.569214567735007
Cerebras,48,1.8576795642322261,1.9926626868442192,2.021895084690533
DeepSeek,48,1.8352307099009308,1.9726128808610355,2.0206467717633974
Google,46,1.8688201464784766,2.0025558518347073,2.0206467717633974
H2O.ai,46,1.8337731707225813,1.9869410917432735,2.0206467717633974
Hugging Face,43,1.6605316034677264,1.9172055955948357,2.012363803304831
IBM,48,1.8451172106255065,1.9806729990890481,2.0206467717633974
M-A-P,48,1.8587876442464348,1.9960791359661536,2.0206467717633974
Marin,48,1.8724943266488963,2.0125060430697057,2.0144038735457617
Meta,45,1.7473200012452919,1.8950777817050084,2.0038677481590264
Microsoft,47,1.8501736285965804,1.9862828797711745,2.025724112822028
MosaicML,48,1.8207308383787124,1.9656883202006994,2.0209275744112443
Stability AI,45,1.9241720953553996,2.0432659972970595,2.0566679809389323
Swiss AI,48,2.010788420548987,2.140246268381916,2.342679873902329
TII,44,1.7468289820742577,1.925764044100281,1.8552717668203125
TinyLlama,48,1.8630387536485455,1.9994000605431328,2.0206467717633974
