variant,label,budget_C,nwin,nleft,nright,Nstar,Mstar,curv,slope,S,sigma,se_sigma,lo_sigma,hi_sigma,weight,sigma_current,se_current,delta_vs_current
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",6e+18,9,3,6,1.82993e+08,29.8627,0.217275,-0.220771,0.984165,0.670204,0.0659524,0.58227,0.818118,0.058799,0.670204,0.0659524,0
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",1e+19,13,4,9,2.61766e+08,24.3232,0.169679,-0.201422,0.842407,0.703629,0.062629,0.614639,0.834792,0.0702005,0.703629,0.062629,0
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",3e+19,13,3,10,5.1084e+08,19.1602,0.0881951,-0.166912,0.528392,0.791017,0.0531528,0.707237,0.915104,0.208744,0.791017,0.0531528,0
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",6e+19,14,7,7,7.85547e+08,16.2052,0.144261,-0.148068,0.974293,0.672429,0.0447673,0.59483,0.779984,0.16671,0.672429,0.0447673,0
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",1e+20,14,7,7,1.05777e+09,14.896,0.0841671,-0.13632,0.617425,0.76411,0.0594352,0.679427,0.891168,0.11344,0.76411,0.0594352,0
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",3e+20,10,5,5,1.77068e+09,15.9474,0.0918062,-0.113272,0.810494,0.711619,0.0731896,0.585499,0.867571,0.100615,0.711619,0.0731896,0
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",6e+20,9,5,4,2.09903e+09,22.6967,0.156339,-0.101297,1.54338,0.564433,0.0539698,0.482238,0.685477,0.0740195,0.564433,0.0539698,0
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",1e+21,14,10,4,2.76699e+09,21.7687,0.116019,-0.0933712,1.24256,0.616797,0.0381329,0.553007,0.704119,0.163961,0.616797,0.0381329,0
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",3e+21,8,3,5,4.1892e+09,28.491,0.114191,-0.0784497,1.4556,0.578771,0.0542605,0.488756,0.698104,0.0435117,0.578771,0.0542605,0
NF_T4,"N_F, Hoffmann's implemented count (T4) -- primary; exact isocosts",6e+18,9,3,6,1.95797e+08,26.0848,0.215673,-0.221411,0.974084,0.672476,0.0639445,0.588158,0.813258,0.0561876,0.670204,0.0659524,0.0022718
NF_T4,"N_F, Hoffmann's implemented count (T4) -- primary; exact isocosts",1e+19,13,4,9,2.81256e+08,21.069,0.17486,-0.201801,0.866499,0.697715,0.0595169,0.601785,0.821654,0.0815574,0.703629,0.062629,-0.00591384
NF_T4,"N_F, Hoffmann's implemented count (T4) -- primary; exact isocosts",3e+19,14,3,11,5.64211e+08,15.7068,0.126471,-0.166758,0.758413,0.725055,0.0449228,0.642089,0.810038,0.198117,0.791017,0.0531528,-0.065962
NF_T4,"N_F, Hoffmann's implemented count (T4) -- primary; exact isocosts",6e+19,14,7,7,8.19912e+08,14.8753,0.150168,-0.147892,1.01539,0.663265,0.0427112,0.587175,0.768032,0.227757,0.672429,0.0447673,-0.00916348
