accounting,budget_C,Nstar_T,eta_window,eta_local_tableA9,r_at_Nstar,n_window,lnr_sd_window
T4,6e+18,1.82993e+08,-0.0025582,-0.0110086,1.09545,9,0.0179236
T4,1e+19,2.61766e+08,-0.0204965,-0.0266106,1.08764,13,0.0156114
T4,3e+19,5.1084e+08,-0.0357233,-0.0319147,1.06466,14,0.0119597
T4,6e+19,7.85547e+08,-0.0284838,-0.036169,1.04942,14,0.0110989
T4,1e+20,1.05777e+09,-0.0263636,-0.0347001,1.0382,14,0.00731322
T4,3e+20,1.77068e+09,-0.0296171,-0.0196349,1.02317,10,0.00730426
T4,6e+20,2.09903e+09,-0.0205646,-0.0165131,1.02019,9,0.00518163
T4,1e+21,2.76699e+09,-0.0186933,-0.0158871,1.01578,14,0.0048129
T4,3e+21,4.1892e+09,-0.024229,-0.0223801,1.00729,8,0.00210883
A,6e+18,1.82993e+08,-0.122262,-0.137495,1.40167,9,0.00542364
A,1e+19,2.61766e+08,-0.118102,-0.127288,1.33695,13,0.0060327
A,3e+19,5.1084e+08,-0.0977306,-0.107392,1.23375,14,0.00638852
A,6e+19,7.85547e+08,-0.091664,-0.0937213,1.18142,14,0.00449954
A,1e+20,1.05777e+09,-0.0832846,-0.0866855,1.14997,14,0.00465364
A,3e+20,1.77068e+09,-0.0702642,-0.0660472,1.10477,10,0.00607688
A,6e+20,2.09903e+09,-0.0613493,-0.0604102,1.09324,9,0.00324154
A,1e+21,2.76699e+09,-0.0549506,-0.0554179,1.07638,14,0.00211995
A,3e+21,4.1892e+09,-0.0460873,-0.0515782,1.05316,8,0.00208701
X,6e+18,1.82993e+08,-0.069092,-0.0823581,1.24886,9,0.00989111
X,1e+19,2.61766e+08,-0.0740003,-0.0821942,1.21252,13,0.00949783
X,3e+19,5.1084e+08,-0.0686954,-0.0725167,1.14931,14,0.00868601
X,6e+19,7.85547e+08,-0.0620017,-0.0666451,1.11548,14,0.0073588
X,1e+20,1.05777e+09,-0.0563705,-0.0620491,1.09414,14,0.00530458
X,3e+20,1.77068e+09,-0.0507165,-0.0437583,1.064,10,0.0065247
X,6e+20,2.09903e+09,-0.0416642,-0.0392497,1.05674,9,0.00398115
X,1e+21,2.76699e+09,-0.0373835,-0.0362799,1.0461,14,0.00303235
X,3e+21,4.1892e+09,-0.0353774,-0.0373553,1.03024,8,0.00192005
6P,6e+18,1.82993e+08,0.0937875,0.107899,0.845802,9,0.0114428
6P,1e+19,2.61766e+08,0.0747191,0.0807081,0.874308,13,0.00910042
6P,3e+19,5.1084e+08,0.0427406,0.0544618,0.914951,14,0.00444009
6P,6e+19,7.85547e+08,0.0420407,0.0387908,0.933661,14,0.0044142
6P,1e+20,1.05777e+09,0.0367445,0.0339405,0.943791,14,0.00393112
6P,3e+20,1.77068e+09,0.0249264,0.0277949,0.959072,10,0.00195377
6P,6e+20,2.09903e+09,0.0239588,0.0257112,0.963361,9,0.00178242
6P,1e+21,2.76699e+09,0.0207923,0.0226979,0.969601,14,0.00235709
6P,3e+21,4.1892e+09,0.0121194,0.0165083,0.977012,8,0.000980582
