budget_C,nwin,curv,S,sigma,accounting
6e+18,9,0.215673,0.979065,0.671352,T4
1e+19,13,0.17486,0.869355,0.697021,T4
3e+19,13,0.0978723,0.586507,0.773244,T4
6e+19,14,0.150168,1.01377,0.663622,T4
1e+20,14,0.0883262,0.647559,0.755413,T4
3e+20,10,0.0990627,0.874287,0.695825,T4
6e+20,9,0.165505,1.63444,0.550291,T4
1e+21,14,0.119649,1.28276,0.609243,T4
3e+21,8,0.11896,1.52276,0.567736,T4
6e+18,9,0.277822,1.25779,0.613914,A
1e+19,13,0.215222,1.06781,0.651932,A
3e+19,13,0.110548,0.661844,0.751359,A
6e+19,14,0.174093,1.17495,0.629932,A
1e+20,14,0.0993909,0.728657,0.732961,A
3e+20,10,0.107016,0.94477,0.67917,A
6e+20,9,0.178021,1.75838,0.532145,A
1e+21,14,0.129347,1.38681,0.590526,A
3e+21,8,0.124339,1.58956,0.557171,A
6e+18,9,0.247158,1.12019,0.640986,X
1e+19,13,0.195361,0.970081,0.673382,X
3e+19,13,0.104334,0.624879,0.76194,X
6e+19,14,0.162265,1.09524,0.646154,X
1e+20,14,0.0939272,0.688606,0.74388,X
3e+20,10,0.103077,0.909881,0.687313,X
6e+20,9,0.171806,1.69688,0.540997,X
1e+21,14,0.124517,1.33501,0.599698,X
3e+21,8,0.121659,1.55617,0.562402,X
6e+18,9,0.182413,0.828081,0.707193,6P
1e+19,13,0.147438,0.733249,0.73173,6P
3e+19,13,0.0813691,0.487896,0.803892,6P
6e+19,14,0.131796,0.890387,0.691949,6P
1e+20,14,0.078394,0.575129,0.77666,6P
3e+20,10,0.0877021,0.774085,0.720959,6P
6e+20,9,0.15008,1.48131,0.574497,6P
1e+21,14,0.111167,1.19045,0.62687,6P
3e+21,8,0.111547,1.42298,0.584286,6P
6e+18,9,0.217148,0.983593,0.670333,6T
1e+19,13,0.169584,0.841935,0.703746,6T
3e+19,13,0.0881479,0.52811,0.791105,6T
6e+19,14,0.144206,0.97392,0.672513,6T
1e+20,14,0.0841388,0.617218,0.76417,6T
3e+20,10,0.0917761,0.810228,0.711686,6T
6e+20,9,0.156298,1.54297,0.564497,6T
1e+21,14,0.115997,1.24232,0.616843,6T
3e+21,8,0.114173,1.45536,0.578811,6T
6e+18,9,0.217275,0.984165,0.670204,ra1
1e+19,13,0.169679,0.842407,0.703629,ra1
3e+19,13,0.0881951,0.528392,0.791017,ra1
6e+19,14,0.144261,0.974293,0.672429,ra1
1e+20,14,0.0841671,0.617425,0.76411,ra1
3e+20,10,0.0918062,0.810494,0.711619,ra1
6e+20,9,0.156339,1.54338,0.564433,ra1
1e+21,14,0.116019,1.24256,0.616797,ra1
3e+21,8,0.114191,1.4556,0.578771,ra1
