statistic,current,rebuilt,change,note
Chinchilla model-free sigma* (RE over budgets),0.673458,0.659649,-0.0138087,T -> N_F (T4)
  s.e.,0.027258,0.0227991,-0.00445898,
Chinchilla fixed-effect pooled sigma*,0.684317,0.665518,-0.0187985,
Chinchilla drift per decade,-0.072403,-0.0612978,0.0111052,
  s.e.,0.0256715,0.0249355,-0.000735978,
Chinchilla Q across budgets,15.6152,12.6949,-2.92033,
"Chinchilla sigma* RE, NF_A",0.673458,0.648181,-0.0252764,"N_F, Appendix F as printed (A); runs at nominal budgets"
"Chinchilla sigma* RE, NF_X",0.673458,0.658442,-0.0150154,"N_F, executed FLOPs (X); runs at nominal budgets"
"Chinchilla sigma* RE, P",0.673458,0.689936,0.0164779,"P, non-embedding parameters (T - Vd)"
"Chinchilla sigma* RE, T",0.673458,0.673785,0.000327221,"T, total parameters (architecture count)"
"Chinchilla sigma* RE, NF_A|corr",0.673458,0.662732,-0.0107259,"N_F (A), runs moved to exact A-isocosts (budgets in T4)"
"Chinchilla sigma* RE, NF_X|corr",0.673458,0.665838,-0.00761949,"N_F (X), runs moved to exact X-isocosts (budgets in T4)"
"Chinchilla sigma* RE, T|corr",0.673458,0.659683,-0.0137744,"T, runs moved to exact 6TD isocosts (budgets in T4)"
"Chinchilla sigma* RE, P|corr",0.673458,0.66919,-0.00426762,"P, runs moved to exact 6PD isocosts (budgets in T4)"
"Chinchilla sigma* RE, NF_T4|6ND",0.673458,0.671359,-0.00209887,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test)
"Chinchilla sigma* RE, NF_A|6ND",0.673458,0.682991,0.00953364,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test)
Chinchilla kappa-free sigma* (same runs),0.666932,0.655998,-0.010934,
Chinchilla kappa = 1 sigma* (same runs),0.691913,0.689623,-0.00229046,
Reference technology (240 runs) kappa-free sigma*,0.700553,0.700299,-0.000254592,N_F: tokens per FLOP-effective parameter
Reference technology kappa = 1 sigma*,0.736789,0.739824,0.00303574,N_F: tokens per FLOP-effective parameter
Reference technology a (kappa = 1),0.5139,0.519611,0.00571108,N_F: tokens per FLOP-effective parameter
"Reference technology M*(1e23), kappa free",21.9279,20.4395,-1.4884,N_F: tokens per FLOP-effective parameter
"Reference technology M*(1e23), kappa = 1",18.8149,14.9494,-3.86553,N_F: tokens per FLOP-effective parameter
Study-level mean,0.69289,0.687259,-0.00563107,
  HKSJ lower,0.652846,0.640215,-0.0126303,
  HKSJ upper,0.732934,0.734302,0.0013682,
  tau,0.0173337,0.0229547,0.00562107,
  Q,5.69327,8.2512,2.55793,
  p(Q),0.127525,0.0410957,-0.0864294,
"Variant means, min (rb1 rows)",0.663336,0.660289,-0.00304695,
"Variant means, max (rb1 rows)",0.707635,0.707196,-0.000438894,
"Variant means, min (eta for Meta only; Chinchilla accountings added)",,0.662912,,
"Variant means, max (eta for Meta only; Chinchilla accountings added)",,0.699742,,
"Drift slope, 3-level RE (44 budgets)",-0.0324815,-0.0327797,-0.000298203,
  CR2 s.e.,0.0139057,0.0140092,0.000103542,
  CR2 p,0.0964227,0.0970852,0.000662524,
  wild p,0.0421,0.0387,-0.0034,
"Drift slope, unweighted",-0.0305644,-0.0295944,0.000970034,
Drift slope on S scale,0.136932,0.136885,-4.66443e-05,
