run,spec,k,n_designs,slope,se_model,se_cr2_design,df_cr2_design,lo_cr2_design,hi_cr2_design,p_cr2_design,tau_design,tau_within,se_cr2_study,df_cr2_study,p_cr2_study,p_wcr_design,sample,spec_key
old,"3-level RE, inverse-variance (primary)",44,6,-0.0324815,0.0103384,0.0139057,3.189,-0.0752882,0.0103251,0.0964227,0.0127212,0.0339474,0.0143755,2.7885,0.11568,0.0421,all six designs (excl. Porian),weighted
old,"Design RE, unweighted (LMM)",44,6,-0.0305644,0.00879252,0.0108869,4.45245,-0.0596177,-0.00151116,0.0428897,0.00820414,0.0456077,0.0133175,2.69565,0.115377,0.0344,all six designs (excl. Porian),unweighted
old,Design-balanced weights (CE-RVE),44,6,-0.032728,0.0315139,0.0110306,3.2465,-0.0663715,0.000915534,0.0536316,0.0127212,0.0339474,0.011405,2.78943,0.0698599,0.0391,all six designs (excl. Porian),balanced
old,"Design FE, inverse-variance",44,6,-0.0210298,0.00931408,0.0238674,1.55897,-0.157265,0.115206,0.49287,,,0.0238816,1.54548,0.493904,0.362,all six designs (excl. Porian),fe_weighted
old,"Design FE, unweighted (OLS)",44,6,-0.0267479,0.00911087,0.0110916,4.47395,-0.0562982,0.0028024,0.0666831,,,0.0145138,2.71951,0.171974,0.0736,all six designs (excl. Porian),fe_unweighted
old,3-level RE on S = 2(1/sigma*-1) (slope in S units),44,6,0.136932,0.0452529,0.0655489,3.20848,-0.0642117,0.338075,0.12198,0.0537408,0.148761,0.0685024,2.71959,0.148846,0.0649,all six designs (excl. Porian),weighted_S
old,"3-level RE, hinge at 3e20 (slope above the knot)",44,6,-0.151257,0.0383109,0.0284122,2.17221,-0.264671,-0.0378429,0.0279794,0.0124102,0.0317266,0.0284946,2.16219,0.0284367,0.0532,all six designs (excl. Porian),weighted_hinge
old,"3-level RE, inverse-variance (primary)",17,2,-0.0534254,0.0147939,0.00249188,1.00496,-0.0847207,-0.0221302,0.029252,0,0.0332528,,,,0.1095,Chinchilla + Llama 3 (the two designs reaching 1e21),weighted
old,"Design RE, unweighted (LMM)",17,2,-0.0497346,0.0160668,0.00152966,1.00569,-0.068913,-0.0305563,0.0192114,0,0.0544356,,,,0.1495,Chinchilla + Llama 3 (the two designs reaching 1e21),unweighted
old,"Design FE, inverse-variance",17,2,-0.058056,0.0130794,0.000929221,1,-0.0698629,-0.0462492,0.0101886,,,,,,0.074,Chinchilla + Llama 3 (the two designs reaching 1e21),fe_weighted
old,"3-level RE, inverse-variance (primary)",19,3,0.000778277,0.0221076,0.00834811,1.80615,-0.0391002,0.0406567,0.935017,0,0,,,,0.887,Marin only (three corpora),weighted
old,"Design RE, unweighted (LMM)",19,3,-0.00255162,0.00943192,0.00677492,1.9983,-0.0317256,0.0266223,0.742681,0,0.0285792,,,,0.6345,Marin only (three corpora),unweighted
old,"Design FE, inverse-variance",19,3,-0.000939141,0.0232713,0.00947608,1.71381,-0.0489842,0.0471059,0.9314,,,,,,0.904,Marin only (three corpora),fe_weighted
old,"3-level RE, inverse-variance (primary)",36,5,-0.0461038,0.011244,0.00859641,2.32722,-0.0785283,-0.0136793,0.0235559,0,0.027901,0.0104997,1.82655,0.0565802,0.039,IsoFLOP designs only (excl. Farseer path),weighted
old,"Design RE, unweighted (LMM)",36,5,-0.034281,0.0101071,0.0118216,3.45681,-0.0692406,0.000678498,0.0526469,0.00729621,0.0477547,0.0161749,1.86634,0.177228,0.08,IsoFLOP designs only (excl. Farseer path),unweighted
old,"Design FE, inverse-variance",36,5,-0.0506868,0.00942618,0.010283,1.49341,-0.11294,0.0115663,0.0672505,,,0.0116565,1.37935,0.0910217,0.2235,IsoFLOP designs only (excl. Farseer path),fe_weighted
old,"3-level RE, inverse-variance (primary)",37,6,-0.00720926,0.0146659,0.0118823,3.66845,-0.0414098,0.0269913,0.579565,0,0.0301441,0.0119836,2.4613,0.598258,0.849,Budgets <= 3e20 (common window),weighted
old,"Design RE, unweighted (LMM)",37,6,-0.00344924,0.00949559,0.00641979,4.73586,-0.0202325,0.0133341,0.615341,0,0.0368969,0.00526237,1.86967,0.58355,0.594,Budgets <= 3e20 (common window),unweighted
old,"Design FE, inverse-variance",37,6,-0.00324232,0.0125481,0.0333005,1.92765,-0.151802,0.145317,0.931608,,,0.0332832,1.81864,0.932054,0.843,Budgets <= 3e20 (common window),fe_weighted
old,"3-level RE, inverse-variance (primary)",35,5,-0.0262165,0.011516,0.0178918,2.12277,-0.0990856,0.0466527,0.273599,0.0155996,0.0339812,0.0182641,1.83967,0.297662,0.1395,leave out Chinchilla,weighted
old,"Design RE, unweighted (LMM)",35,5,-0.0195656,0.00864854,0.0117382,3.79818,-0.0528506,0.0137193,0.174654,0.0151606,0.0375769,0.0143971,1.82048,0.318084,0.149,leave out Chinchilla,unweighted
old,"Design FE, inverse-variance",35,5,-0.0182138,0.0102413,0.0249113,1.25473,-0.216865,0.180438,0.576779,,,0.024922,1.24298,0.577753,0.741,leave out Chinchilla,fe_weighted
old,"3-level RE, inverse-variance (primary)",36,5,-0.0206188,0.011242,0.0158702,2.29447,-0.0811555,0.0399179,0.30904,0,0.0284708,0.0163583,1.81346,0.345562,0.1555,leave out Llama 3,weighted
old,"Design RE, unweighted (LMM)",36,5,-0.0260984,0.00937674,0.0151692,3.42952,-0.0711269,0.0189301,0.172246,0,0.0445279,0.0175196,1.86399,0.283314,0.1135,leave out Llama 3,unweighted
old,"Design FE, inverse-variance",36,5,-0.0047726,0.00976438,0.0133063,1.2694,-0.108739,0.0991936,0.770337,,,0.013295,1.2109,0.772113,0.7285,leave out Llama 3,fe_weighted
old,"3-level RE, inverse-variance (primary)",39,5,-0.0335858,0.0109051,0.0140875,2.81971,-0.0800845,0.012913,0.102786,0.0136565,0.0350427,0.0143254,2.66028,0.11192,0.051,"leave out Marin, Comma",weighted
old,"Design RE, unweighted (LMM)",39,5,-0.033105,0.00952935,0.0111701,3.63233,-0.0653962,-0.000813839,0.0467176,0.00944071,0.0462133,0.0122864,2.86695,0.0778636,0.05,"leave out Marin, Comma",unweighted
old,"Design FE, inverse-variance",39,5,-0.021093,0.00986656,0.0242685,1.50865,-0.165941,0.123755,0.500862,,,0.0242797,1.5018,0.501457,0.377,"leave out Marin, Comma",fe_weighted
old,"3-level RE, inverse-variance (primary)",37,5,-0.0345576,0.0108804,0.0140921,2.83203,-0.0809481,0.0118329,0.0965511,0.0134605,0.0351103,0.0142259,2.66823,0.104041,0.03,"leave out Marin, DCLM",weighted
old,"Design RE, unweighted (LMM)",37,5,-0.0352242,0.00961823,0.00997208,3.62511,-0.0640778,-0.00637069,0.0284211,0.00385463,0.0468519,0.0107724,2.86152,0.0500551,0.0195,"leave out Marin, DCLM",unweighted
old,"Design FE, inverse-variance",37,5,-0.0217501,0.0101996,0.0249095,1.46927,-0.176093,0.132593,0.501756,,,0.0249107,1.46557,0.502016,0.323,"leave out Marin, DCLM",fe_weighted
old,"3-level RE, inverse-variance (primary)",37,5,-0.033898,0.0110718,0.0144465,2.74275,-0.0824116,0.0146156,0.108793,0.0135835,0.0356238,0.0146376,2.61471,0.116355,0.057,"leave out Marin, Nemotron-CC",weighted
old,"Design RE, unweighted (LMM)",37,5,-0.0323224,0.0100125,0.0115144,3.62113,-0.065655,0.00101016,0.0543109,0.00835989,0.0485367,0.012933,2.86807,0.0916477,0.055,"leave out Marin, Nemotron-CC",unweighted
old,"Design FE, inverse-variance",37,5,-0.0213857,0.0102502,0.0250826,1.4268,-0.183634,0.140863,0.512969,,,0.0250848,1.4244,0.513161,0.3675,"leave out Marin, Nemotron-CC",fe_weighted
old,"3-level RE, inverse-variance (primary)",36,5,-0.0461038,0.011244,0.00859641,2.32722,-0.0785283,-0.0136793,0.0235559,0,0.027901,0.0104997,1.82655,0.0565802,0.041,leave out Farseer (local path),weighted
old,"Design RE, unweighted (LMM)",36,5,-0.034281,0.0101071,0.0118216,3.45681,-0.0692406,0.000678498,0.0526469,0.00729621,0.0477547,0.0161749,1.86634,0.177228,0.0895,leave out Farseer (local path),unweighted
old,"Design FE, inverse-variance",36,5,-0.0506868,0.00942618,0.010283,1.49341,-0.11294,0.0115663,0.0672505,,,0.0116565,1.37935,0.0910217,0.242,leave out Farseer (local path),fe_weighted
old,"3-level RE, inverse-variance (primary)",38,6,-0.0290849,0.0129708,0.0178838,3.24957,-0.0836046,0.0254347,0.195359,0.00886131,0.0364571,0.017963,2.84283,0.208817,0.2885,leave out each design's largest budget,weighted
old,"Design RE, unweighted (LMM)",38,6,-0.0272515,0.0105538,0.0106339,4.40982,-0.0557248,0.00122176,0.056846,0,0.045819,0.011536,2.70494,0.108655,0.112,leave out each design's largest budget,unweighted
old,"Design FE, inverse-variance",38,6,-0.0103041,0.0110919,0.0380116,1.5057,-0.237799,0.217191,0.818815,,,0.0380094,1.49881,0.81893,0.6235,leave out each design's largest budget,fe_weighted
old,"3-level RE, inverse-variance (primary)",24,2,0.040289,0.00608833,0.00101111,1.00513,0.0275955,0.0529825,0.0156902,0,0,,,,,"Porian et al. (unannealed), reported separately",weighted
