check,statistic,value,target,ok,note
R1 ra1 budgets,max |diff| sigma,0,0,True,
R1 ra1 budgets,max |diff| se_sigma,8.32667e-17,0,True,
R1 ra1 budgets,max |diff| lo_sigma,0,0,True,
R1 ra1 budgets,max |diff| hi_sigma,1.11022e-16,0,True,
R1 ra1 budgets,max |diff| Mstar,0,0,True,
R1 ra1 budgets,max |diff| curv,5.55112e-17,0,True,
R1 ra1 budgets,max |diff| slope,8.32667e-17,0,True,
R1 ra1 summary,sigma_re,0.673458,0.673458,True,
R1 ra1 summary,se_sigma_re,0.027258,0.027258,True,
R1 ra1 summary,sigma_fe,0.684317,0.684317,True,
R1 ra1 summary,se_sigma_fe,0.0180558,0.0180558,True,
R1 ra1 summary,drift_sigma_per_decade,-0.072403,-0.072403,True,
R1 ra1 summary,se_drift_sigma,0.0256715,0.0256715,True,
R1 ra1 summary,Q,15.6152,15.6152,True,
R1 ra1 parametric,sigma_chin,0.691913,0.691913,True,
R1 ra1 parametric,se_sigma_chin,0.0133937,0.0133937,True,
R1 ra1 parametric,sigma_kappa,0.666932,0.666932,True,
R1 ra1 parametric,se_sigma_kappa,0.0225945,0.0225945,True,
R1 ra1 parametric,kappa,0.810935,0.810935,True,
R1 m2 reference technology,kappa = 1 sigma* (240 runs),0.736789,0.736789,True,
R1 m2 reference technology,kappa-free sigma* (240 runs),0.700553,0.700553,True,
R1 m2 reference technology,"M*(1e23), kappa = 1",18.8149,18.8149,True,
R2 rb1 study level,rows matched (16 of 16),16,16,True,
R2 rb1 study level,max relative |diff| mean_re,6.336e-07,0,True,rb1 CSV written with %.6g
R2 rb1 study level,max relative |diff| lo_hksj,7.77806e-07,0,True,rb1 CSV written with %.6g
R2 rb1 study level,max relative |diff| hi_hksj,7.20946e-07,0,True,rb1 CSV written with %.6g
R2 rb1 study level,max relative |diff| tau,2.69198e-06,0,True,rb1 CSV written with %.6g
R2 rb1 study level,max relative |diff| Q,3.28603e-06,0,True,rb1 CSV written with %.6g
R2 rb1 meta-regression,rows matched (42 of 42),42,42,True,
R2 rb1 meta-regression,max relative |diff| slope,2.99273e-06,0,True,rb1 CSV written with %.6g
R2 rb1 meta-regression,max relative |diff| se_cr2_design,4.0062e-06,0,True,rb1 CSV written with %.6g
R2 rb1 meta-regression,max relative |diff| p_cr2_design,3.95153e-06,0,True,rb1 CSV written with %.6g
R2 rb1 meta-regression,max relative |diff| p_wcr_design,0,0,True,rb1 CSV written with %.6g
R2 rb1 downstream (pid),max relative |diff| vs rb1_sigmaC_pi_sigmaC.csv,4.30305e-06,0,True,rb1 CSV written with %.6g
R2 rb1 downstream (pid),max relative |diff| vs rb1_sigmaC_wedge_scenarios.csv,3.36011e-06,0,True,rb1 CSV written with %.6g
R2b rb1 primary study level = run 'new',rows matched (25 of 27 'new' rows),25,25,True,rb1 drops the eta rows for Chinchilla and Meta (Chinchilla observed)
R2b rb1 primary study level = run 'new',max relative |diff| mean_re,7.00737e-07,0,True,
R2b rb1 primary study level = run 'new',max relative |diff| lo_hksj,7.94762e-07,0,True,
R2b rb1 primary study level = run 'new',max relative |diff| hi_hksj,6.65849e-07,0,True,
R2b rb1 primary study level = run 'new',max relative |diff| se_hksj,3.81118e-06,0,True,
R2b rb1 primary study level = run 'new',max relative |diff| tau,3.93866e-06,0,True,
R2b rb1 primary study level = run 'new',max relative |diff| Q,3.30597e-06,0,True,
R2b rb1 primary study level = run 'new',max relative |diff| p_Q,4.33052e-06,0,True,
R2b rb1 primary meta-regression = run 'new',rows matched (42 of 42),42,42,True,
R2b rb1 primary meta-regression = run 'new',max relative |diff| slope,4.43221e-06,0,True,
R2b rb1 primary meta-regression = run 'new',max relative |diff| se_cr2_design,4.0062e-06,0,True,
R2b rb1 primary meta-regression = run 'new',max relative |diff| p_cr2_design,2.39841e-06,0,True,
R2b rb1 primary meta-regression = run 'new',max relative |diff| p_wcr_design,0,0,True,
R3 override integrity,non-Chinchilla budget rows unchanged,1,1,True,
R3 override integrity,non-Chinchilla summary rows unchanged,1,1,True,
R3 override integrity,Chinchilla budgets in override,9,9,True,
R4 Table A4,T4: ratios exact to 2 dp (of 6),6,6,True,max |err| 0.005
R4 Table A4,A: ratios exact to 2 dp (of 6),0,,,max |err| 0.552
R4 Table A4,X: ratios exact to 2 dp (of 6),0,,,max |err| 0.274
R4 Table A9,max |T_arch/N_reported - 1|,0.00802327,,True,
R4 totals,Gopher: C under T4 (Hoffmann quote 6.3e23; Rae et al. 5.76e23),4.73577e+23,,,neither 6.3e23 nor 5.76e23 is reproduced by any Appendix F count (A: 4.75e+23)
