variant,label,k_valid,sigma_re,se_sigma_re,sigma_fe,se_sigma_fe,lo_sigma_fe,hi_sigma_fe,tau_sigma,Q,p_Q_chi2,p_Q_boot,drift_per_decade,se_drift,p_drift,sigma_min_budget,sigma_max_budget,order_F_p,delta_re_vs_current,eta_equivalent
T_ra1,"T (total, digitized N): ra1's estimate, reproduced",9,0.673458,0.027258,0.684317,0.0180558,0.65031,0.719609,0.0560076,15.6152,0.0482301,0.025,-0.072403,0.0256715,0.009,0.564433,0.791017,0.826471,0,0
NF_T4,"N_F, Hoffmann's implemented count (T4) -- primary; exact isocosts",9,0.659649,0.0227991,0.665518,0.0176632,0.630245,0.701025,0.0407827,12.6949,0.122787,0.06,-0.0612978,0.0249355,0.015,0.549914,0.754974,0.60545,-0.0138087,-0.03059
NF_A,"N_F, Appendix F as printed (A); runs at nominal budgets",9,0.648181,0.0170825,0.651291,0.0160508,0.621965,0.687046,0.0201226,9.47138,0.304103,0.259,-0.0465719,0.0236873,0.052,0.560646,0.700443,0.646122,-0.0252764,-0.0548443
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",9,0.658442,0.0189007,0.661887,0.0181882,0.629299,0.702736,0.0236295,9.70947,0.286012,0.241,-0.0540099,0.0252899,0.033,0.565278,0.743345,0.511115,-0.0150154,-0.0331894
T,"T, total parameters (architecture count)",9,0.673785,0.0273898,0.683908,0.0187629,0.65113,0.724101,0.0567858,15.8673,0.0443199,0.023,-0.0721356,0.0260164,0.007,0.564497,0.791105,0.826451,0.000327221,0.000744449
P,"P, non-embedding parameters (T - Vd)",9,0.689936,0.02873,0.703163,0.0189262,0.668624,0.742417,0.0614374,16.9522,0.0306103,0.017,-0.0815796,0.0267242,0.003,0.574497,0.803892,0.833821,0.0164779,0.0387067
NF_A|corr,"N_F (A), runs moved to exact A-isocosts (budgets in T4)",9,0.662732,0.01869,0.667248,0.0158725,0.640181,0.70385,0.0293174,11.2227,0.1894,0.15,-0.053118,0.0230343,0.019,0.566995,0.720166,0.525901,-0.0107259,-0.0238967
NF_X|corr,"N_F (X), runs moved to exact X-isocosts (budgets in T4)",9,0.665838,0.0196461,0.669938,0.0180902,0.636639,0.711083,0.0281668,10.4647,0.233913,0.186,-0.05663,0.0247868,0.022,0.568678,0.749563,0.448649,-0.00761949,-0.0170747
T|corr,"T, runs moved to exact 6TD isocosts (budgets in T4)",9,0.659683,0.025648,0.664205,0.0184362,0.630362,0.7044,0.0508636,14.4645,0.0704329,0.042,-0.0589484,0.024795,0.02,0.557436,0.776968,0.668577,-0.0137744,-0.0305159
P|corr,"P, runs moved to exact 6PD isocosts (budgets in T4)",9,0.66919,0.0270643,0.677601,0.0185987,0.644678,0.717113,0.0557382,15.6258,0.0480598,0.026,-0.069925,0.0259479,0.006,0.563656,0.779688,0.739641,-0.00426762,-0.00962414
NF_T4|6ND,N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test),9,0.671359,0.024367,0.680102,0.0182016,0.643285,0.716813,0.0456571,13.5323,0.0948008,0.04,-0.0705588,0.0258635,0.008,0.557217,0.767569,0.744371,-0.00209887,-0.00475287
NF_A|6ND,N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test),9,0.682991,0.0169008,0.685381,0.0170744,0.656006,0.725561,0.0153533,8.78794,0.3605,0.28,-0.0522158,0.0240217,0.03,0.573874,0.734992,0.617728,0.00953364,0.022084
memo: current with eta = -0.1,rb1's FLOP-accounting bracket applied to the current T estimate,,0.625543,0.027258,,,,,,,,,,,,,,,-0.0479143,-0.1
memo: current with eta = +0.1,rb1's FLOP-accounting bracket applied to the current T estimate,,0.713917,0.027258,,,,,,,,,,,,,,,0.0404596,0.1
