run,set,k,members,mean_fixed,se_fixed,mean_re,lo_hksj,hi_hksj,tau,Q,p_Q,plain_mean
old,"Chinchilla + Llama 3, budgets >= 6e20",5,Chinchilla 6e+20: 0.564; Chinchilla 1e+21: 0.617; Chinchilla 3e+21: 0.579; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609,0.595713,0.0103396,0.595713,0.567006,0.624421,0,1.94419,0.746023,0.590849
old,"Chinchilla + Llama 3 + Farseer path, budgets >= 6e20",6,Chinchilla 6e+20: 0.564; Chinchilla 1e+21: 0.617; Chinchilla 3e+21: 0.579; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609; Farseer (local path) 1e+21: 0.658,0.625839,0.00740696,0.610771,0.564006,0.657537,0.0344695,19.3826,0.00163082,0.601973
old,"Chinchilla + Llama 3, largest bracketed budget of each",2,Chinchilla 3e+21: 0.579; Llama 3 1e+21: 0.609,0.606825,0.0158978,0.606825,0.404824,0.808826,0,0.292418,0.588675,0.594115
new,"Chinchilla + Llama 3, budgets >= 6e20",5,Chinchilla 6e+20: 0.550; Chinchilla 1e+21: 0.609; Chinchilla 3e+21: 0.569; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609,0.593781,0.0102968,0.593781,0.565192,0.622369,0,2.45889,0.652012,0.584562
new,"Chinchilla + Llama 3 + Farseer path, budgets >= 6e20",6,Chinchilla 6e+20: 0.550; Chinchilla 1e+21: 0.609; Chinchilla 3e+21: 0.569; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609; Farseer (local path) 1e+21: 0.658,0.624715,0.00739117,0.606495,0.558281,0.654709,0.0362934,21.0784,0.000782882,0.596734
new,"Chinchilla + Llama 3, largest bracketed budget of each",2,Chinchilla 3e+21: 0.569; Llama 3 1e+21: 0.609,0.606033,0.0159009,0.606033,0.403993,0.808072,0,0.496752,0.480931,0.589419
alt_NF_X_corr,"Chinchilla + Llama 3, budgets >= 6e20",5,Chinchilla 6e+20: 0.580; Chinchilla 1e+21: 0.603; Chinchilla 3e+21: 0.569; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609,0.594777,0.0103112,0.594777,0.566149,0.623406,0,1.57696,0.812927,0.589109
alt_NF_X_corr,"Chinchilla + Llama 3 + Farseer path, budgets >= 6e20",6,Chinchilla 6e+20: 0.580; Chinchilla 1e+21: 0.603; Chinchilla 3e+21: 0.569; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609; Farseer (local path) 1e+21: 0.658,0.625273,0.00739651,0.609136,0.562419,0.655854,0.0346273,19.5949,0.00148839,0.600524
alt_NF_X_corr,"Chinchilla + Llama 3, largest bracketed budget of each",2,Chinchilla 3e+21: 0.569; Llama 3 1e+21: 0.609,0.605949,0.0158958,0.605949,0.403974,0.807924,0,0.517781,0.47179,0.589069
alt_NF_A_corr,"Chinchilla + Llama 3, budgets >= 6e20",5,Chinchilla 6e+20: 0.575; Chinchilla 1e+21: 0.596; Chinchilla 3e+21: 0.567; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609,0.593847,0.0102673,0.593847,0.56534,0.622354,0,1.66233,0.797549,0.586367
alt_NF_A_corr,"Chinchilla + Llama 3 + Farseer path, budgets >= 6e20",6,Chinchilla 6e+20: 0.575; Chinchilla 1e+21: 0.596; Chinchilla 3e+21: 0.567; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609; Farseer (local path) 1e+21: 0.658,0.624658,0.00738025,0.607146,0.560049,0.654242,0.0352982,20.2949,0.00110005,0.598238
alt_NF_A_corr,"Chinchilla + Llama 3, largest bracketed budget of each",2,Chinchilla 3e+21: 0.567; Llama 3 1e+21: 0.609,0.60575,0.0158846,0.60575,0.403917,0.807583,0,0.569784,0.450345,0.588227
alt_P,"Chinchilla + Llama 3, budgets >= 6e20",5,Chinchilla 6e+20: 0.574; Chinchilla 1e+21: 0.627; Chinchilla 3e+21: 0.584; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609,0.596879,0.010361,0.596879,0.568112,0.625645,0,2.01374,0.733231,0.595979
alt_P,"Chinchilla + Llama 3 + Farseer path, budgets >= 6e20",6,Chinchilla 6e+20: 0.574; Chinchilla 1e+21: 0.627; Chinchilla 3e+21: 0.584; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609; Farseer (local path) 1e+21: 0.658,0.6265,0.00741482,0.613333,0.567139,0.659526,0.0337927,18.7679,0.00212313,0.606249
alt_P,"Chinchilla + Llama 3, largest bracketed budget of each",2,Chinchilla 3e+21: 0.584; Llama 3 1e+21: 0.609,0.607219,0.0158704,0.607219,0.405567,0.808872,0,0.203981,0.651527,0.596873
alt_T,"Chinchilla + Llama 3, budgets >= 6e20",5,Chinchilla 6e+20: 0.564; Chinchilla 1e+21: 0.617; Chinchilla 3e+21: 0.579; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609,0.595666,0.0103307,0.595666,0.566983,0.624349,0,1.95477,0.744077,0.590879
alt_T,"Chinchilla + Llama 3 + Farseer path, budgets >= 6e20",6,Chinchilla 6e+20: 0.564; Chinchilla 1e+21: 0.617; Chinchilla 3e+21: 0.579; Llama 3 6e+20: 0.585; Llama 3 1e+21: 0.609; Farseer (local path) 1e+21: 0.658,0.625788,0.00740371,0.610654,0.563923,0.657385,0.0345018,19.4345,0.00159485,0.601998
alt_T,"Chinchilla + Llama 3, largest bracketed budget of each",2,Chinchilla 3e+21: 0.579; Llama 3 1e+21: 0.609,0.606768,0.0158807,0.606768,0.404985,0.808552,0,0.298326,0.584934,0.594135
