alpha,beta,ssr,tilt_range,tau_own,tau_ref,delta_ssr,lr_gaussian
0.1,0.04,0.481737,3.50931,5.92202e+21,3677.55,0.462082,20523.4
0.1,0.06,0.481737,3.10383e+07,inf,inf,0.462082,20523.4
0.1,0.08,0.481737,3.10383e+07,inf,inf,0.462082,20523.4
0.1,0.0941,0.475748,55.0108,1.48219e+246,7.80848e+55,0.456093,20257.4
0.1,0.1,0.460287,55.099,1.95876e+239,9.59835e+55,0.440631,19570.7
0.1,0.12,0.292943,1.00408,9209.9,10.4756,0.273288,12138.1
0.1,0.14,0.222756,7.64778e+10,inf,inf,0.203101,9020.74
0.1,0.16,0.165429,122.124,inf,1.20702e+124,0.145774,6474.55
0.1,0.18,0.120858,66.0285,6.71727e+204,1.22139e+67,0.101203,4494.93
0.1,0.2,0.0888974,1.65962,63841.6,48.5541,0.0692419,3075.39
0.1,0.3,0.0451689,40.8106,4.16004e+88,2.91579e+41,0.0255135,1133.18
0.1,0.5,0.027389,1.07658,36.1836,12.4119,0.00773349,343.484
0.1,0.8,0.019917,0.724515,5.00298,5.44664,0.000261497,11.6144
0.1,1,0.0234318,0.637463,3.18682,4.44304,0.00377636,167.727
0.1,1.0554,0.0252553,0.619667,2.9231,4.26187,0.0055998,248.716
0.1,1.2,0.0312484,0.581043,2.44468,3.89365,0.0115929,514.902
0.1,1.5,0.0470517,0.523978,1.92509,3.40704,0.0273962,1216.8
0.1464,0.04,0.231216,65.0103,8.62486e+302,1.12809e+66,0.211561,9396.5
0.1464,0.06,0.231216,4.01132e+35,inf,inf,0.211561,9396.5
0.1464,0.08,0.231216,4.01132e+35,inf,inf,0.211561,9396.5
0.1464,0.0941,0.231216,4.01132e+35,inf,inf,0.211561,9396.5
0.1464,0.1,0.231216,4.01132e+35,inf,inf,0.211561,9396.5
0.1464,0.12,0.231216,233.889,inf,4.341e+237,0.211561,9396.5
0.1464,0.14,0.222204,24.4086,1.06155e+74,6.30715e+24,0.202548,8996.19
0.1464,0.16,0.165429,180.355,inf,1.76355e+183,0.145774,6474.55
0.1464,0.18,0.120858,146.081,inf,2.6433e+148,0.101203,4494.93
0.1464,0.2,0.0888974,991.286,inf,inf,0.0692419,3075.39
0.1464,0.3,0.0467837,72.1909,2.92761e+140,2.22887e+73,0.0271282,1204.9
0.1464,0.5,0.0325607,1.27142,51.1041,19.5796,0.0129052,573.186
0.1464,0.8,0.0220238,0.900346,6.70381,8.21822,0.00236834,105.19
0.1464,1,0.0197537,0.801785,4.05029,6.52584,9.82512e-05,4.36384
0.1464,1.0554,0.0196555,0.781047,3.66855,6.2168,2.46994e-09,0.000109703
0.1464,1.2,0.0202508,0.735253,2.98075,5.58519,0.000595369,26.4434
0.1464,1.5,0.0242341,0.665506,2.2444,4.74431,0.00457862,203.36
0.15,0.04,0.219077,0.445258,108.519,2.83397,0.199421,8857.31
0.15,0.06,0.219077,416071,inf,inf,0.199421,8857.31
0.15,0.08,0.219077,416071,inf,inf,0.199421,8857.31
0.15,0.0941,0.219077,416071,inf,inf,0.199421,8857.31
0.15,0.1,0.219077,416071,inf,inf,0.199421,8857.31
0.15,0.12,0.219077,416071,inf,inf,0.199421,8857.31
0.15,0.14,0.217555,30.0344,9.06024e+89,3.2798e+30,0.197899,8789.72
0.15,0.16,0.165429,49.8163,3.80549e+139,4.11956e+50,0.145774,6474.55
0.15,0.18,0.120858,1031.59,inf,inf,0.101203,4494.93
0.15,0.2,0.0888974,594.113,inf,inf,0.0692419,3075.39
0.15,0.3,0.0469023,41.7607,4.04023e+80,2.69204e+42,0.0272468,1210.17
0.15,0.5,0.033022,1.29288,53.4155,20.5876,0.0133665,593.673
0.15,0.8,0.0224393,0.919408,6.92817,8.59301,0.00278387,123.646
0.15,1,0.0198873,0.819452,4.15842,6.80123,0.000231779,10.2945
0.15,1.0554,0.0196882,0.798362,3.76084,6.4738,3.27581e-05,1.45495
0.15,1.2,0.0199913,0.751715,3.04546,5.8045,0.000335809,14.915
0.15,1.5,0.0233064,0.680482,2.28149,4.91348,0.00365097,162.158
0.2,0.04,0.0959912,2.74141,8.34633e+09,610.032,0.0763357,3390.46
0.2,0.06,0.0959912,6.88693e+06,inf,inf,0.0763357,3390.46
0.2,0.08,0.0959912,7.04885e+06,inf,inf,0.0763357,3390.46
0.2,0.0941,0.0959912,7.04888e+06,inf,inf,0.0763357,3390.46
0.2,0.1,0.0959912,7.04888e+06,inf,inf,0.0763357,3390.46
0.2,0.12,0.0959912,7.04888e+06,inf,inf,0.0763357,3390.46
