item,mine,published,point_mine,point_published,abs_diff_se,abs_diff_point
se b1,0.00234784,0.00234784,0.412815,0.412815,2.64545e-17,0
se b2,0.000928191,0.000928191,0.0203927,0.0203927,9.1073e-18,9.02056e-17
se Delta chin_full M<16,0.00482266,0.00482266,0.158164,0.158164,9.62772e-17,8.32667e-17
se Delta chin_full 16-64,0.00356684,0.00356684,0.00801892,0.00801892,9.88792e-17,0
se Delta chin_full 64-256,0.00573817,0.00573817,-0.194767,-0.194767,6.07153e-18,2.77556e-17
"se Delta chin_full 256-1,024",0.00725395,0.00725395,-0.487197,-0.487197,2.68882e-17,5.55112e-17
"se Delta chin_full >=1,024",0.0397782,0.0397782,-0.821391,-0.821391,4.85723e-17,0
se Delta chin_M100 M<16,0.00510168,0.00510168,0.07887,0.07887,4.33681e-17,8.32667e-17
se Delta chin_M100 16-64,0.00472364,0.00472364,-0.230089,-0.230089,5.11743e-17,5.55112e-17
se Delta chin_M100 64-256,0.00710177,0.00710177,-0.545065,-0.545065,4.94396e-17,0
"se Delta chin_M100 256-1,024",0.00983855,0.00983855,-0.945023,-0.945023,7.80626e-17,0
"se Delta chin_M100 >=1,024",0.0428728,0.0428728,-1.35946,-1.35946,5.55112e-17,0
se Delta kappa_full M<16,0.00470913,0.00470913,-0.0211925,-0.0211925,8.41341e-17,9.02056e-17
se Delta kappa_full 16-64,0.00272058,0.00272058,0.0530395,0.0530395,6.37511e-17,6.245e-17
se Delta kappa_full 64-256,0.00368133,0.00368133,0.00413016,0.00413016,2.1684e-18,6.33174e-17
"se Delta kappa_full 256-1,024",0.00617351,0.00617351,-0.138759,-0.138759,8.67362e-18,5.55112e-17
"se Delta kappa_full >=1,024",0.0400196,0.0400196,-0.355461,-0.355461,3.46945e-17,0
se Delta kappa_M100 M<16,0.00498519,0.00498519,0.0225743,0.0225743,8.50015e-17,4.16334e-17
se Delta kappa_M100 16-64,0.00365938,0.00365938,-0.0392086,-0.0392086,3.07913e-17,9.02056e-17
se Delta kappa_M100 64-256,0.00749934,0.00749934,-0.184096,-0.184096,6.59195e-17,8.32667e-17
"se Delta kappa_M100 256-1,024",0.0106448,0.0106448,-0.419023,-0.419023,4.16334e-17,0
"se Delta kappa_M100 >=1,024",0.0384621,0.0384621,-0.704543,-0.704543,7.63278e-17,0
se path sigma 5e+18,0.0371222,0.0371222,0.761163,0.761163,1.38778e-17,0
se path sigma 1e+19,0.0250805,0.0250805,0.715248,0.715248,2.77556e-17,0
se path sigma 2e+19,0.012258,0.012258,0.660812,0.660812,6.245e-17,0
se path sigma 5e+19,0.021634,0.021634,0.686902,0.686902,4.16334e-17,0
se path sigma 1e+20,0.01687,0.01687,0.713002,0.713002,6.59195e-17,0
se path sigma 2e+20,0.0118929,0.0118929,0.736041,0.736041,3.46945e-18,0
se path sigma 5e+20,0.00829902,0.00829902,0.72213,0.72213,1.9082e-17,0
se path sigma 1e+21,0.0106159,0.0106159,0.657597,0.657597,2.60209e-17,0
