design,variant,M_bin,n_points,u_mean,delta_lin,lo_pct,hi_pct,se,n_draws,convexity,convexity_lo,convexity_hi,delta_kappa_full_inside,rotation_kappa_full,rotation_kappa_full_lo,rotation_kappa_full_hi,delta_chin_full_inside,rotation_chin_full,rotation_chin_full_lo,rotation_chin_full_hi,delta_chin_M100_inside,rotation_chin_M100,rotation_chin_M100_lo,rotation_chin_M100_hi
Farseer,primary,M<16,144,-1.94664,-0.0904465,-0.0982433,-0.0813818,0.00456592,999,0.0904465,0.0813818,0.0982433,-0.0313305,0.059116,0.0500722,0.0674291,0.157265,0.247712,0.239405,0.259356,0.0846044,0.175051,0.166069,0.186982
Farseer,primary,16-64,71,0.137447,-9.74668e-05,-0.00345196,0.00341666,0.00168145,999,9.74668e-05,-0.00341666,0.00345196,0.0504148,0.0505122,0.0410905,0.051881,0.00490453,0.005002,0.000260505,0.0140427,-0.227935,-0.227837,-0.245294,-0.222681
Farseer,primary,64-256,58,1.5228,-0.0206566,-0.0242931,-0.00183107,0.00580221,999,0.0206566,0.00183107,0.0242931,0.0155207,0.0361773,0.0245145,0.0405322,-0.18157,-0.160914,-0.161833,-0.142794,-0.523552,-0.502895,-0.516518,-0.490864
Farseer,primary,"256-1,024",42,2.89493,-0.16898,-0.175186,-0.14934,0.00658839,999,0.16898,0.14934,0.175186,-0.134864,0.0341152,0.0141387,0.0414438,-0.484954,-0.315975,-0.321338,-0.290321,-0.938531,-0.769551,-0.79184,-0.75293
Farseer,primary,">=1,024",13,3.97008,-0.373043,-0.463858,-0.342381,0.032582,999,0.373043,0.342381,0.463858,-0.355461,0.0175817,-0.0102747,0.0309364,-0.821391,-0.448348,-0.457406,-0.412755,-1.35946,-0.986419,-1.01473,-0.963747
Farseer,primary,M>=256,55,,-0.217213,-0.23461,-0.201883,0.0085631,999,0.217213,0.201883,0.23461,-0.187005,0.0302073,0.00832433,0.0392008,-0.564476,-0.347263,-0.353421,-0.31924,-1.03802,-0.820811,-0.84388,-0.802952
"Marin, Comma",primary,M<16,54,-1.69459,-0.199873,-0.21973,-0.122175,0.02824,999,0.199873,0.122175,0.21973,-0.0967852,0.103087,0.0697573,0.129133,-0.0899389,0.109934,0.065724,0.126469,-0.0538128,0.14606,0.104889,0.175963
"Marin, Comma",primary,16-64,20,0.998189,0.0631809,0.0389285,0.101306,0.0157415,999,-0.0631809,-0.101306,-0.0389285,0.079873,0.016692,-0.029472,0.0403326,0.0236508,-0.0395301,-0.0762534,0.00630459,-0.215516,-0.278697,-0.293463,-0.219205
"Marin, Comma",primary,64-256,13,2.21523,-0.0931848,-0.11023,0.0266562,0.0379615,999,0.0931848,-0.0266562,0.11023,-0.089781,0.00340384,-0.0664715,0.029803,-0.180537,-0.0873521,-0.149784,-0.0314354,-0.57564,-0.482456,-0.50274,-0.401116
"Marin, Comma",primary,"256-1,024",6,3.2158,-0.444067,-0.458733,-0.287438,0.0506523,999,0.444067,0.287438,0.458733,-0.433752,0.0103147,-0.110356,0.0513738,-0.555657,-0.11159,-0.221205,-0.0380592,-1.09304,-0.648975,-0.697186,-0.543461
"Marin, Comma",primary,">=1,024",2,4.05358,-0.918167,-1.19719,-0.73567,0.125497,999,0.918167,0.73567,1.19719,-0.924531,-0.00636485,-0.149058,0.0402967,-1.06723,-0.149067,-0.277145,-0.0604063,-1.69614,-0.777968,-0.834204,-0.65764
