design,spec,M_bin,delta,delta_pop,se,lo_pct,hi_pct,lo_basic,hi_basic,lo_basic_pub,hi_basic_pub,n_points,M_max_evaluated,n_draws,pct_contains_estimate,basic_contains_estimate
"Marin, Comma",chin_full,M<16,-0.0899389,-0.0731474,0.0226556,-0.113527,-0.0248971,-0.138189,-0.0495596,-0.138189,-0.0495596,54,14.6852,999,True,True
"Marin, Comma",chin_full,16-64,0.0236508,0.0211254,0.0181097,0.00212337,0.0692798,-0.0245036,0.0426529,-0.0245036,0.0426529,20,62.1272,999,True,True
"Marin, Comma",chin_full,64-256,-0.180537,-0.151821,0.0302022,-0.183596,-0.0659409,-0.266417,-0.148762,-0.266417,-0.148762,13,255.57,999,True,True
"Marin, Comma",chin_full,"256-1,024",-0.555657,-0.52399,0.0467963,-0.575274,-0.396102,-0.683545,-0.504373,-0.683545,-0.504373,6,876.107,999,True,True
"Marin, Comma",chin_full,">=1,024",-1.06723,-1.13529,0.136121,-1.3644,-0.886707,-1.31582,-0.838126,-1.31582,-0.838126,2,1111.94,999,True,True
"Marin, Comma",chin_full,M>=256,-0.683551,-0.676815,0.0567623,-0.758953,-0.551215,-0.809151,-0.601413,-0.809151,-0.601413,,1111.94,999,True,True
"Marin, Comma",chin_M100,M<16,-0.0538128,-0.0169901,0.018516,-0.0639985,0.00483985,-0.0756428,-0.00680452,-0.0756428,-0.00680452,54,14.6852,999,True,True
"Marin, Comma",chin_M100,16-64,-0.215516,-0.203479,0.0207175,-0.2269,-0.14202,-0.276975,-0.192095,-0.276975,-0.192095,20,62.1272,999,True,True
"Marin, Comma",chin_M100,64-256,-0.57564,-0.530151,0.0438795,-0.580399,-0.413636,-0.692155,-0.525392,-0.692155,-0.525392,13,255.57,999,True,True
"Marin, Comma",chin_M100,"256-1,024",-1.09304,-1.04097,0.0647691,-1.11299,-0.878775,-1.25524,-1.02103,-1.25524,-1.02103,6,876.107,999,True,True
"Marin, Comma",chin_M100,">=1,024",-1.69614,-1.74486,0.132774,-1.97579,-1.47647,-1.96452,-1.4652,-1.96452,-1.4652,2,1111.94,999,True,True
"Marin, Comma",chin_M100,M>=256,-1.24382,-1.21694,0.0685567,-1.29839,-1.05597,-1.40479,-1.16237,-1.40479,-1.16237,,1111.94,999,True,True
"Marin, Comma",kappa_full,M<16,-0.0967852,-0.0457822,0.0215396,-0.110115,-0.0255702,-0.116997,-0.0324525,-0.116997,-0.0324525,54,14.6852,999,True,True
"Marin, Comma",kappa_full,16-64,0.079873,0.0358426,0.0152867,0.0469665,0.102608,0.0131078,0.068749,0.0131078,0.068749,20,62.1272,999,True,False
"Marin, Comma",kappa_full,64-256,-0.089781,-0.130911,0.022144,-0.0989361,-0.0164915,-0.204201,-0.121756,-0.204201,-0.121756,13,255.57,999,True,False
"Marin, Comma",kappa_full,"256-1,024",-0.433752,-0.493376,0.0523714,-0.487936,-0.306609,-0.620519,-0.439192,-0.620519,-0.439192,6,876.107,999,True,False
"Marin, Comma",kappa_full,">=1,024",-0.924531,-1.107,0.150949,-1.28739,-0.745618,-1.28591,-0.744142,-1.28591,-0.744142,2,1111.94,999,True,True
"Marin, Comma",kappa_full,M>=256,-0.556447,-0.646782,0.0682817,-0.685379,-0.425425,-0.777804,-0.51785,-0.777804,-0.51785,,1111.94,999,True,True
"Marin, Comma",kappa_M100,M<16,-0.0583954,-0.0343976,0.019106,-0.0728447,0.00379882,-0.0965918,-0.0199483,-0.0965918,-0.0199483,54,14.6852,999,True,True
"Marin, Comma",kappa_M100,16-64,-0.0515771,-0.0615868,0.0199174,-0.0875969,-0.0126554,-0.100509,-0.025567,-0.100509,-0.025567,20,62.1272,999,True,True
"Marin, Comma",kappa_M100,64-256,-0.305807,-0.28365,0.0541645,-0.355262,-0.16125,-0.428207,-0.234195,-0.428207,-0.234195,13,255.57,999,True,True
"Marin, Comma",kappa_M100,"256-1,024",-0.723419,-0.694661,0.0628757,-0.77451,-0.532971,-0.88511,-0.643571,-0.88511,-0.643571,6,876.107,999,True,True
"Marin, Comma",kappa_M100,">=1,024",-1.26902,-1.34357,0.113472,-1.50949,-1.12322,-1.48937,-1.10309,-1.48937,-1.10309,2,1111.94,999,True,True
"Marin, Comma",kappa_M100,M>=256,-0.85982,-0.856887,0.058206,-0.926929,-0.718793,-0.997914,-0.789778,-0.997914,-0.789778,,1111.94,999,True,True
"Marin, DCLM",chin_full,M<16,-0.0839631,-0.0545138,0.0222363,-0.0896379,-0.013573,-0.124904,-0.0488391,-0.124904,-0.0488391,55,14.6852,999,True,True
"Marin, DCLM",chin_full,16-64,-0.00582262,-0.00260346,0.0118183,-0.012605,0.0291338,-0.0375599,0.00417891,-0.0375599,0.00417891,20,62.1272,999,True,True
"Marin, DCLM",chin_full,64-256,-0.188585,-0.16189,0.0346372,-0.212755,-0.0863616,-0.264113,-0.137719,-0.264113,-0.137719,13,222.389,999,True,True
"Marin, DCLM",chin_full,"256-1,024",-0.567929,-0.572183,0.0707881,-0.697289,-0.441765,-0.698347,-0.442824,-0.698347,-0.442824,7,876.107,999,True,True
"Marin, DCLM",chin_full,">=1,024",-1.29811,-1.4042,0.123298,-1.61497,-1.16094,-1.54136,-1.08733,-1.54136,-1.08733,1,1111.94,999,True,True
"Marin, DCLM",chin_full,M>=256,-0.659201,-0.676186,0.0647799,-0.798491,-0.551529,-0.783858,-0.536895,-0.783858,-0.536895,,1111.94,999,True,True
"Marin, DCLM",chin_M100,M<16,-0.0653519,-0.0338535,0.0195475,-0.0754669,-0.00811578,-0.0910897,-0.0237385,-0.0910897,-0.0237385,55,14.6852,999,True,True
"Marin, DCLM",chin_M100,16-64,-0.163581,-0.187188,0.0247279,-0.206822,-0.113119,-0.23765,-0.143946,-0.23765,-0.143946,20,62.1272,999,True,True
"Marin, DCLM",chin_M100,64-256,-0.458228,-0.474575,0.0482324,-0.529275,-0.343466,-0.589337,-0.403528,-0.589337,-0.403528,13,222.389,999,True,True
"Marin, DCLM",chin_M100,"256-1,024",-0.948561,-1.01135,0.100308,-1.14446,-0.78234,-1.17758,-0.81546,-1.17758,-0.81546,7,876.107,999,True,True
"Marin, DCLM",chin_M100,">=1,024",-1.73618,-1.91071,0.142205,-2.12519,-1.5853,-2.0616,-1.52171,-2.0616,-1.52171,1,1111.94,999,True,True
"Marin, DCLM",chin_M100,M>=256,-1.04701,-1.12377,0.0963722,-1.25679,-0.901582,-1.26921,-0.914,-1.26921,-0.914,,1111.94,999,True,True
"Marin, DCLM",kappa_full,M<16,-0.0913716,-0.0536022,0.0194915,-0.102764,-0.0275006,-0.117473,-0.0422102,-0.117473,-0.0422102,55,14.6852,999,True,True
"Marin, DCLM",kappa_full,16-64,0.0617369,0.0289738,0.00693906,0.0419931,0.0696581,0.0210527,0.0487177,0.0210527,0.0487177,20,62.1272,999,True,False
"Marin, DCLM",kappa_full,64-256,-0.0949633,-0.118394,0.0235248,-0.118263,-0.0342359,-0.179122,-0.0950939,-0.179122,-0.0950939,13,222.389,999,True,False
"Marin, DCLM",kappa_full,"256-1,024",-0.454461,-0.518969,0.0636297,-0.585462,-0.352565,-0.620865,-0.387968,-0.620865,-0.387968,7,876.107,999,True,True
"Marin, DCLM",kappa_full,">=1,024",-1.15514,-1.33922,0.13148,-1.52663,-1.04523,-1.44913,-0.967721,-1.44913,-0.967721,1,1111.94,999,True,True
"Marin, DCLM",kappa_full,M>=256,-0.542045,-0.6215,0.0599705,-0.688686,-0.453583,-0.709962,-0.474859,-0.709962,-0.474859,,1111.94,999,True,True
"Marin, DCLM",kappa_M100,M<16,-0.051708,-0.0440671,0.0193804,-0.0655705,0.00448968,-0.100265,-0.0302047,-0.100265,-0.0302047,55,14.6852,999,True,True
"Marin, DCLM",kappa_M100,16-64,-0.0520319,-0.0431146,0.0117864,-0.063532,-0.0178065,-0.07734,-0.0316145,-0.07734,-0.0316145,20,62.1272,999,True,True
"Marin, DCLM",kappa_M100,64-256,-0.279567,-0.231262,0.0405355,-0.311833,-0.156866,-0.353962,-0.198996,-0.353962,-0.198996,13,222.389,999,True,True
"Marin, DCLM",kappa_M100,"256-1,024",-0.701928,-0.669215,0.081907,-0.820485,-0.5393,-0.831843,-0.550658,-0.831843,-0.550658,7,876.107,999,True,True
"Marin, DCLM",kappa_M100,">=1,024",-1.45884,-1.51865,0.10506,-1.73275,-1.3513,-1.62619,-1.24475,-1.62619,-1.24475,1,1111.94,999,True,True
"Marin, DCLM",kappa_M100,M>=256,-0.796542,-0.775394,0.072643,-0.912026,-0.661173,-0.910763,-0.659911,-0.910763,-0.659911,,1111.94,999,True,True
"Marin, Nemotron-CC",chin_full,M<16,-0.0923222,-0.0529275,0.0192762,-0.0937411,-0.0206992,-0.124551,-0.0515087,-0.124551,-0.0515087,64,14.8196,999,True,True
"Marin, Nemotron-CC",chin_full,16-64,0.0095954,0.00764407,0.0139198,0.0010456,0.0482638,-0.0310243,0.0161939,-0.0310243,0.0161939,24,62.1272,999,True,True
"Marin, Nemotron-CC",chin_full,64-256,-0.144438,-0.138705,0.0211417,-0.152615,-0.0730817,-0.210061,-0.130528,-0.210061,-0.130528,13,255.57,999,True,True
"Marin, Nemotron-CC",chin_full,"256-1,024",-0.471409,-0.476885,0.0438543,-0.530337,-0.362173,-0.586121,-0.417957,-0.586121,-0.417957,6,876.107,999,True,True
"Marin, Nemotron-CC",chin_full,">=1,024",-1.09147,-1.17619,0.164721,-1.50624,-0.851959,-1.4157,-0.761416,-1.4157,-0.761416,2,1111.94,999,True,True
"Marin, Nemotron-CC",chin_full,M>=256,-0.626425,-0.65171,0.0702335,-0.76748,-0.490454,-0.787682,-0.510656,-0.787682,-0.510656,,1111.94,999,True,True
"Marin, Nemotron-CC",chin_M100,M<16,-0.0898858,-0.0553808,0.0172225,-0.0957294,-0.0300139,-0.115253,-0.0495373,-0.115253,-0.0495373,64,14.8196,999,True,True
"Marin, Nemotron-CC",chin_M100,16-64,-0.241927,-0.246849,0.0274579,-0.277637,-0.188432,-0.300343,-0.211139,-0.300343,-0.211139,24,62.1272,999,True,True
"Marin, Nemotron-CC",chin_M100,64-256,-0.567097,-0.565441,0.0446174,-0.625051,-0.4608,-0.671738,-0.507486,-0.671738,-0.507486,13,255.57,999,True,True
"Marin, Nemotron-CC",chin_M100,"256-1,024",-1.03948,-1.04999,0.0427846,-1.10775,-0.945735,-1.14374,-0.981729,-1.14374,-0.981729,6,876.107,999,True,True
"Marin, Nemotron-CC",chin_M100,">=1,024",-1.75466,-1.84393,0.141331,-2.11017,-1.56433,-2.03426,-1.48841,-2.03426,-1.48841,2,1111.94,999,True,True
"Marin, Nemotron-CC",chin_M100,M>=256,-1.21828,-1.24848,0.0571283,-1.33859,-1.11384,-1.35291,-1.12816,-1.35291,-1.12816,,1111.94,999,True,True
"Marin, Nemotron-CC",kappa_full,M<16,-0.0785606,-0.0499028,0.014502,-0.0851269,-0.0317459,-0.0967175,-0.0433365,-0.0967175,-0.0433365,64,14.8196,999,True,True
"Marin, Nemotron-CC",kappa_full,16-64,0.0649628,0.0385198,0.00972839,0.0434196,0.0821423,0.0213404,0.0600631,0.0213404,0.0600631,24,62.1272,999,True,False
"Marin, Nemotron-CC",kappa_full,64-256,-0.0763886,-0.100571,0.0107725,-0.0820665,-0.0397578,-0.137202,-0.0948929,-0.137202,-0.0948929,13,255.57,999,True,False
"Marin, Nemotron-CC",kappa_full,"256-1,024",-0.392675,-0.432652,0.0446786,-0.47135,-0.295935,-0.529392,-0.353978,-0.529392,-0.353978,6,876.107,999,True,True
"Marin, Nemotron-CC",kappa_full,">=1,024",-0.99871,-1.12269,0.17001,-1.44555,-0.766516,-1.35488,-0.675847,-1.35488,-0.675847,2,1111.94,999,True,True
"Marin, Nemotron-CC",kappa_full,M>=256,-0.544184,-0.605161,0.0732253,-0.706456,-0.415582,-0.733763,-0.442889,-0.733763,-0.442889,,1111.94,999,True,True
"Marin, Nemotron-CC",kappa_M100,M<16,-0.0596125,-0.0457324,0.0181722,-0.0698653,-0.000191609,-0.105153,-0.0354796,-0.105153,-0.0354796,64,14.8196,999,True,True
"Marin, Nemotron-CC",kappa_M100,16-64,-0.0298691,-0.0365003,0.0120706,-0.0603466,-0.0140898,-0.0522796,-0.00602272,-0.0522796,-0.00602272,24,62.1272,999,True,True
"Marin, Nemotron-CC",kappa_M100,64-256,-0.237558,-0.222196,0.0218767,-0.272674,-0.186517,-0.273236,-0.187079,-0.273236,-0.187079,13,255.57,999,True,True
"Marin, Nemotron-CC",kappa_M100,"256-1,024",-0.610149,-0.593837,0.0320621,-0.670505,-0.544418,-0.659569,-0.533482,-0.659569,-0.533482,6,876.107,999,True,True
"Marin, Nemotron-CC",kappa_M100,">=1,024",-1.25775,-1.31285,0.150964,-1.65766,-1.06478,-1.50582,-0.912937,-1.50582,-0.912937,2,1111.94,999,True,True
"Marin, Nemotron-CC",kappa_M100,M>=256,-0.77205,-0.77359,0.0568139,-0.901785,-0.681275,-0.864365,-0.643855,-0.864365,-0.643855,,1111.94,999,True,True
Llama 3,chin_full,M<16,0.416622,0.345197,0.0405487,0.296721,0.45216,0.309659,0.465098,0.309659,0.465098,70,15.6188,999,True,True
Llama 3,chin_full,16-64,-0.0878375,-0.114776,0.0205934,-0.145305,-0.0692577,-0.133356,-0.0573085,-0.133356,-0.0573085,38,54.6146,999,True,True
Llama 3,chin_full,64-256,-0.401295,-0.411476,0.0193438,-0.454105,-0.377849,-0.434923,-0.358667,-0.434923,-0.358667,16,205.906,999,True,True
Llama 3,chin_full,"256-1,024",-0.848013,-0.786189,0.0786654,-0.96888,-0.676649,-0.957553,-0.665322,-0.957553,-0.665322,2,290.001,999,True,True
Llama 3,chin_full,M>=256,-0.848013,-0.786189,0.0786654,-0.96888,-0.676649,-0.957553,-0.665322,-0.957553,-0.665322,,290.001,999,True,True
Llama 3,chin_M100,M<16,0.374123,0.319621,0.0386935,0.255143,0.403913,0.28983,0.438601,0.28983,0.438601,70,15.6188,999,True,True
Llama 3,chin_M100,16-64,-0.156066,-0.175851,0.0199051,-0.217446,-0.141334,-0.190584,-0.114472,-0.190584,-0.114472,38,54.6146,999,True,True
Llama 3,chin_M100,64-256,-0.459316,-0.479418,0.0192077,-0.520444,-0.445127,-0.493608,-0.418291,-0.493608,-0.418291,16,205.906,999,True,True
Llama 3,chin_M100,"256-1,024",-0.895561,-0.857589,0.0796238,-1.03091,-0.735612,-1.01754,-0.722244,-1.01754,-0.722244,2,290.001,999,True,True
Llama 3,chin_M100,M>=256,-0.895561,-0.857589,0.0796238,-1.03091,-0.735612,-1.01754,-0.722244,-1.01754,-0.722244,,290.001,999,True,True
Llama 3,kappa_full,M<16,0.27319,0.256421,0.0328349,0.183201,0.312074,0.217537,0.346409,0.217537,0.346409,70,15.6188,999,True,True
Llama 3,kappa_full,16-64,0.0414951,0.0390854,0.0105695,0.0147412,0.0568911,0.0236895,0.0658394,0.0236895,0.0658394,38,54.6146,999,True,True
Llama 3,kappa_full,64-256,-0.0784963,-0.105919,0.0243784,-0.138383,-0.0368212,-0.147595,-0.0460331,-0.147595,-0.0460331,16,205.906,999,True,True
Llama 3,kappa_full,"256-1,024",-0.37837,-0.367446,0.0903832,-0.517164,-0.177978,-0.567839,-0.228653,-0.567839,-0.228653,2,290.001,999,True,True
Llama 3,kappa_full,M>=256,-0.37837,-0.367446,0.0903832,-0.517164,-0.177978,-0.567839,-0.228653,-0.567839,-0.228653,,290.001,999,True,True
Llama 3,kappa_M100,M<16,0.235565,0.217024,0.0347682,0.145316,0.283436,0.169153,0.307273,0.169153,0.307273,70,15.6188,999,True,True
Llama 3,kappa_M100,16-64,0.0371016,0.0273444,0.018307,-0.0117512,0.0559724,0.00847366,0.0761972,0.00847366,0.0761972,38,54.6146,999,True,True
Llama 3,kappa_M100,64-256,-0.0205438,-0.0677726,0.0415421,-0.13342,0.0227249,-0.111041,0.0451038,-0.111041,0.0451038,16,205.906,999,True,True
Llama 3,kappa_M100,"256-1,024",-0.269384,-0.288536,0.107353,-0.470647,-0.0672502,-0.49067,-0.0872729,-0.49067,-0.0872729,2,290.001,999,True,True
Llama 3,kappa_M100,M>=256,-0.269384,-0.288536,0.107353,-0.470647,-0.0672502,-0.49067,-0.0872729,-0.49067,-0.0872729,,290.001,999,True,True
"Marin, three corpora pooled",chin_full,M<16,-0.0887414,-0.0601962,0.0126283,-0.0857176,-0.0370377,-0.1119,-0.0632201,,,,,999,False,True
"Marin, three corpora pooled",chin_full,16-64,0.0091412,0.00872201,0.00851313,0.00591922,0.0382232,-0.02036,0.011944,,,,,999,True,True
"Marin, three corpora pooled",chin_full,64-256,-0.171187,-0.150805,0.0175479,-0.164505,-0.0960857,-0.225906,-0.157487,,,,,999,False,True
"Marin, three corpora pooled",chin_full,"256-1,024",-0.531665,-0.524353,0.0320163,-0.561761,-0.441612,-0.614406,-0.494257,,,,,999,True,True
"Marin, three corpora pooled",chin_full,">=1,024",-1.15227,-1.23856,0.0827893,-1.37634,-1.06195,-1.32888,-1.01449,,,,,999,True,True
"Marin, three corpora pooled",chin_full,M>=256,-0.656392,-0.668237,0.0369299,-0.716909,-0.576219,-0.74841,-0.60772,,,,,999,True,True
"Marin, three corpora pooled",chin_M100,M<16,-0.0696835,-0.0354082,0.0108578,-0.0667228,-0.0255969,-0.0794948,-0.0383689,,,,,999,False,True
"Marin, three corpora pooled",chin_M100,16-64,-0.207008,-0.212505,0.0142581,-0.222494,-0.167903,-0.25161,-0.197019,,,,,999,True,True
"Marin, three corpora pooled",chin_M100,64-256,-0.533655,-0.523389,0.0271766,-0.544589,-0.442645,-0.614399,-0.512455,,,,,999,True,True
"Marin, three corpora pooled",chin_M100,"256-1,024",-1.02703,-1.03411,0.042831,-1.07641,-0.914375,-1.14676,-0.984722,,,,,999,True,True
"Marin, three corpora pooled",chin_M100,">=1,024",-1.72899,-1.83317,0.0806366,-1.94899,-1.6327,-1.92946,-1.61317,,,,,999,True,True
"Marin, three corpora pooled",chin_M100,M>=256,-1.1697,-1.1964,0.0440427,-1.24189,-1.07063,-1.29547,-1.12421,,,,,999,True,True
"Marin, three corpora pooled",kappa_full,M<16,-0.0889058,-0.0497624,0.0112463,-0.0869517,-0.0446011,-0.0940671,-0.0517165,,,,,999,False,True
"Marin, three corpora pooled",kappa_full,16-64,0.0688576,0.0344454,0.00641904,0.0519275,0.0766915,0.0266115,0.0513755,,,,,999,True,False
"Marin, three corpora pooled",kappa_full,64-256,-0.0870443,-0.116625,0.0116799,-0.087981,-0.0429979,-0.160672,-0.115689,,,,,999,True,False
"Marin, three corpora pooled",kappa_full,"256-1,024",-0.426963,-0.481666,0.0310171,-0.475449,-0.359231,-0.549397,-0.43318,,,,,999,True,False
"Marin, three corpora pooled",kappa_full,">=1,024",-1.02613,-1.18963,0.0882711,-1.28466,-0.950371,-1.26539,-0.931098,,,,,999,True,True
"Marin, three corpora pooled",kappa_full,M>=256,-0.547559,-0.624481,0.0385543,-0.632541,-0.489806,-0.682233,-0.539499,,,,,999,True,True
"Marin, three corpora pooled",kappa_M100,M<16,-0.056572,-0.041399,0.0112695,-0.0578613,-0.0148414,-0.0831296,-0.0401097,,,,,999,True,True
"Marin, three corpora pooled",kappa_M100,16-64,-0.0444927,-0.0470672,0.00883811,-0.058365,-0.0236197,-0.0679402,-0.0331949,,,,,999,True,True
"Marin, three corpora pooled",kappa_M100,64-256,-0.27431,-0.245702,0.0245383,-0.286951,-0.195063,-0.32495,-0.233062,,,,,999,True,True
"Marin, three corpora pooled",kappa_M100,"256-1,024",-0.678499,-0.652571,0.0361633,-0.71498,-0.579683,-0.751387,-0.61609,,,,,999,True,True
"Marin, three corpora pooled",kappa_M100,">=1,024",-1.32854,-1.39169,0.0718678,-1.53373,-1.25753,-1.46269,-1.18649,,,,,999,True,True
"Marin, three corpora pooled",kappa_M100,M>=256,-0.809471,-0.801957,0.0358971,-0.868665,-0.730475,-0.880953,-0.742762,,,,,999,True,True
Farseer,chin_full,M<16,0.158164,0.155093,0.00482266,0.147171,0.165355,0.147902,0.166086,0.147902,0.166086,,,999,True,True
Farseer,chin_full,16-64,0.00801892,0.0153726,0.00356684,0.0100089,0.0233703,2.11666e-05,0.0133826,2.11666e-05,0.0133826,,,999,False,True
Farseer,chin_full,64-256,-0.194767,-0.18095,0.00573817,-0.190838,-0.168568,-0.207149,-0.18488,-0.207149,-0.18488,,,999,False,True
Farseer,chin_full,"256-1,024",-0.487197,-0.473359,0.00725395,-0.486397,-0.459129,-0.501427,-0.474159,-0.501427,-0.474159,,,999,False,True
Farseer,chin_full,">=1,024",-0.821391,-0.838213,0.0397782,-0.913186,-0.7634,-0.896203,-0.746418,-0.896203,-0.746418,,,999,True,True
Farseer,chin_full,M>=1000,-0.821391,-0.838213,0.0397782,-0.913186,-0.7634,-0.896203,-0.746418,-0.896203,-0.746418,,,999,True,True
Farseer,chin_M100,M<16,0.07887,0.0763995,0.00510168,0.0674862,0.0868735,0.0683961,0.0877833,0.0683961,0.0877833,,,999,True,True
Farseer,chin_M100,16-64,-0.230089,-0.227257,0.00472364,-0.235479,-0.217066,-0.24028,-0.221867,-0.24028,-0.221867,,,999,True,True
