design,variant,param,est,se,lo_pct,hi_pct,n_inside,umax,n_draws
Farseer,primary,b1,0.412815,0.00234784,0.409994,0.4189,328,4.27103,999
Farseer,primary,b2,0.0203927,0.000928191,0.0189509,0.0225017,328,4.27103,999
Farseer,primary,sigma_slope,0.707807,0.00117362,0.704771,0.709223,328,4.27103,999
"Marin, Comma",primary,b1,0.502368,0.00825059,0.485629,0.513303,95,4.15546,999
"Marin, Comma",primary,b2,0.0324141,0.00530326,0.0175577,0.0353957,95,4.15546,999
"Marin, Comma",primary,sigma_slope,0.665616,0.00367318,0.660806,0.673116,95,4.15546,999
"Marin, DCLM",primary,b1,0.500176,0.0103648,0.492164,0.523867,96,4.6278,999
"Marin, DCLM",primary,b2,0.0274102,0.0052205,0.0146433,0.0333835,96,4.6278,999
"Marin, DCLM",primary,sigma_slope,0.666589,0.00456034,0.656225,0.670167,96,4.6278,999
"Marin, Nemotron-CC",primary,b1,0.479831,0.00896414,0.470094,0.504302,95,4.59261,999
"Marin, Nemotron-CC",primary,b2,0.0274779,0.00312382,0.0190801,0.0301878,95,4.59261,999
"Marin, Nemotron-CC",primary,sigma_slope,0.675753,0.00405335,0.66476,0.680229,95,4.59261,999
Llama 3,primary,b1,0.589608,0.0146019,0.551416,0.60856,126,3.05641,999
Llama 3,primary,b2,-0.0292437,0.00817396,-0.0353406,-0.00922712,126,3.05641,999
Llama 3,primary,sigma_slope,0.629086,0.00585233,0.621674,0.644572,126,3.05641,999
"Marin, Comma",corner_largestM,b1,0.463027,0.00891695,0.432724,0.465635,95,2.80175,999
"Marin, Comma",corner_largestM,b2,0.0214839,0.00770316,-0.00120559,0.0261544,95,2.80175,999
"Marin, Comma",corner_largestM,sigma_slope,0.683514,0.00424968,0.682298,0.697971,95,2.80175,999
"Marin, DCLM",corner_largestM,b1,0.468427,0.00895033,0.453024,0.48404,96,3.29814,999
"Marin, DCLM",corner_largestM,b2,0.0162199,0.00643927,-0.00190418,0.0214459,96,3.29814,999
"Marin, DCLM",corner_largestM,sigma_slope,0.681001,0.00415119,0.673836,0.68822,96,3.29814,999
"Marin, Nemotron-CC",corner_largestM,b1,0.450372,0.00868484,0.438536,0.468173,95,3.27383,999
"Marin, Nemotron-CC",corner_largestM,b2,0.0166259,0.00383024,0.00580196,0.0193002,95,3.27383,999
"Marin, Nemotron-CC",corner_largestM,sigma_slope,0.689478,0.00411174,0.681119,0.695151,95,3.27383,999
"Marin, Comma",corner_M1000,b1,0.486461,0.00929149,0.460497,0.495479,97,3.36798,999
"Marin, Comma",corner_M1000,b2,0.0276724,0.00584733,0.00877466,0.0304839,97,3.36798,999
"Marin, Comma",corner_M1000,sigma_slope,0.672739,0.00425386,0.668682,0.684698,97,3.36798,999
"Marin, DCLM",corner_M1000,b1,0.502384,0.0227136,0.484078,0.56206,97,3.91338,999
"Marin, DCLM",corner_M1000,b2,0.0275374,0.0136464,0.00345442,0.0547671,97,3.91338,999
"Marin, DCLM",corner_M1000,sigma_slope,0.665609,0.00983963,0.64018,0.673819,97,3.91338,999
"Marin, Nemotron-CC",corner_M1000,b1,0.465737,0.0100448,0.45193,0.487872,97,3.89486,999
"Marin, Nemotron-CC",corner_M1000,b2,0.0214524,0.0031384,0.0115848,0.0227431,97,3.89486,999
"Marin, Nemotron-CC",corner_M1000,sigma_slope,0.68225,0.00465014,0.672101,0.688738,97,3.89486,999
"Marin, three corpora pooled",primary,b1,0.494125,0.00547432,0.486898,0.507749,95.3333,4.45862,999
"Marin, three corpora pooled",primary,b2,0.0291007,0.0027035,0.0200534,0.0305461,95.3333,4.45862,999
"Marin, three corpora pooled",primary,sigma_slope,0.669319,0.00243688,0.663294,0.672569,95.3333,4.45862,999
"Marin, three corpora pooled",corner_largestM,b1,0.460609,0.00519417,0.446778,0.466616,95.3333,3.12457,999
"Marin, three corpora pooled",corner_largestM,b2,0.0181099,0.00357762,0.00521538,0.0186578,95.3333,3.12457,999
"Marin, three corpora pooled",corner_largestM,sigma_slope,0.684664,0.00244828,0.681862,0.691241,95.3333,3.12457,999
"Marin, three corpora pooled",corner_M1000,b1,0.484861,0.00877301,0.472407,0.504584,97,3.72541,999
"Marin, three corpora pooled",corner_M1000,b2,0.0255541,0.0050565,0.0121065,0.0316329,97,3.72541,999
"Marin, three corpora pooled",corner_M1000,sigma_slope,0.673533,0.0038616,0.664947,0.67925,97,3.72541,999
