item,quantity,value,source,note
T1.1,CL3 FE drift per decade,-0.057584,rb5_sigma_joint_linear.csv,
T1.1,CL3 FE drift: model-based s.e. (scaled),0.0126068,rb5_sigma_joint_linear.csv,
T1.1,"CL3 FE drift: bootstrap s.e., independent budgets",0.00889399,rb5_sigma_joint_linear.csv,
T1.1,"CL3 FE drift: bootstrap s.e., joint draws",0.00947569,rb5_sigma_joint_linear.csv,
T1.1,CL3 FE drift: joint bootstrap s.e. x sqrt(residual dispersion),0.0134314,rb5_sigma_joint_linear.csv,residual dispersion s2 = 2.009
T1.1,top-budget mean,0.593781,rb5_sigma_joint_linear.csv,
T1.1,top-budget mean: s.e. independent (= model-based),0.0102968,rb5_sigma_joint_linear.csv,
T1.1,top-budget mean: s.e. joint,0.0118992,rb5_sigma_joint_linear.csv,
T1.1,"top-budget mean: modified HKSJ interval with joint s.e., lo",0.560743,rb5_sigma_joint_linear.csv,t_4
T1.1,"top-budget mean: modified HKSJ interval with joint s.e., hi",0.626818,rb5_sigma_joint_linear.csv,t_4
T1.1,"top-budget mean: percentile interval, lo",0.569467,rb5_sigma_joint_linear.csv,
T1.1,"top-budget mean: percentile interval, hi",0.614547,rb5_sigma_joint_linear.csv,
T1.1,"top-budget mean: normal interval, lo",0.570458,rb5_sigma_joint_linear.csv,
T1.1,"top-budget mean: normal interval, hi",0.617103,rb5_sigma_joint_linear.csv,
T1.3,Llama 3 weight share in the top-budget mean,0.846414,rb5_sigma_joint_linear.csv,
T1.3,Farseer local path level at 5e+20 FLOP: fixed-effect mean,0.72213,rb5_sigma_top_budget.csv,
T1.3,Farseer local path level at 1e+21 FLOP: fixed-effect mean,0.657597,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla + Llama 3, budgets >= 6e20 (primary): fixed-effect mean",0.593781,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla + Llama 3, budgets >= 6e20 (primary): random-effects mean",0.593781,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla + Llama 3, budgets >= 6e20 (primary): Q",2.45889,rb5_sigma_top_budget.csv,
T1.3,Chinchilla + Llama 3 + Farseer 1e21: fixed-effect mean,0.624715,rb5_sigma_top_budget.csv,
T1.3,Chinchilla + Llama 3 + Farseer 1e21: random-effects mean,0.606495,rb5_sigma_top_budget.csv,
T1.3,Chinchilla + Llama 3 + Farseer 1e21: Q,21.0785,rb5_sigma_top_budget.csv,
T1.3,Chinchilla + Llama 3 + Farseer 5e20 and 1e21 (all levels above 3e20): fixed-effect mean,0.667805,rb5_sigma_top_budget.csv,
T1.3,Chinchilla + Llama 3 + Farseer 5e20 and 1e21 (all levels above 3e20): random-effects mean,0.62209,rb5_sigma_top_budget.csv,
T1.3,Chinchilla + Llama 3 + Farseer 5e20 and 1e21 (all levels above 3e20): Q,97.9157,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla (132 runs) + Llama 3, budgets >= 6e20: fixed-effect mean",0.597869,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla (132 runs) + Llama 3, budgets >= 6e20: random-effects mean",0.597869,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla (132 runs) + Llama 3, budgets >= 6e20: Q",2.66749,rb5_sigma_top_budget.csv,
T1.3,Chinchilla (132 runs) + Llama 3 + Farseer 1e21: fixed-effect mean,0.62709,rb5_sigma_top_budget.csv,
T1.3,Chinchilla (132 runs) + Llama 3 + Farseer 1e21: random-effects mean,0.616584,rb5_sigma_top_budget.csv,
T1.3,Chinchilla (132 runs) + Llama 3 + Farseer 1e21: Q,18.836,rb5_sigma_top_budget.csv,
T1.3,"Llama 3 only, budgets >= 6e20: fixed-effect mean",0.595963,rb5_sigma_top_budget.csv,
T1.3,"Llama 3 only, budgets >= 6e20: random-effects mean",0.59616,rb5_sigma_top_budget.csv,
T1.3,"Llama 3 only, budgets >= 6e20: Q",1.2046,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla only, budgets >= 6e20 (137 runs): fixed-effect mean",0.581753,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla only, budgets >= 6e20 (137 runs): random-effects mean",0.581753,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla only, budgets >= 6e20 (137 runs): Q",1.00672,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla only, budgets >= 6e20 (132 runs): fixed-effect mean",0.609747,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla only, budgets >= 6e20 (132 runs): random-effects mean",0.609747,rb5_sigma_top_budget.csv,
T1.3,"Chinchilla only, budgets >= 6e20 (132 runs): Q",1.2532,rb5_sigma_top_budget.csv,
T1.2,"p range [Marin one cluster (4 clusters): RE, balanced, S-scale and design-FE rows]: min",0.0486,rb5_sigma_metareg_prange.csv,
T1.2,"p range [Marin one cluster (4 clusters): RE, balanced, S-scale and design-FE rows]: max",0.489606,rb5_sigma_metareg_prange.csv,
T1.2,p range [Marin one cluster (4 clusters): all rows incl. study-RE and study-FE]: min,0.0486,rb5_sigma_metareg_prange.csv,
T1.2,p range [Marin one cluster (4 clusters): all rows incl. study-RE and study-FE]: max,0.489606,rb5_sigma_metareg_prange.csv,
T1.2,"p range [Six design clusters: RE, balanced, S-scale and design-FE rows]: min",0.0317,rb5_sigma_metareg_prange.csv,
T1.2,"p range [Six design clusters: RE, balanced, S-scale and design-FE rows]: max",0.488576,rb5_sigma_metareg_prange.csv,
T1.2,p range [Six design clusters: without FE rows (rb1's published range)]: min,0.0317,rb5_sigma_metareg_prange.csv,
T1.2,p range [Six design clusters: without FE rows (rb1's published range)]: max,0.12559,rb5_sigma_metareg_prange.csv,
T1.2,"p range [Four to six clusters: RE, balanced, S-scale and design-FE rows]: min",0.0317,rb5_sigma_metareg_prange.csv,
T1.2,"p range [Four to six clusters: RE, balanced, S-scale and design-FE rows]: max",0.489606,rb5_sigma_metareg_prange.csv,
T1.2,p range [Four to six clusters: all rows]: min,0.0317,rb5_sigma_metareg_prange.csv,
T1.2,p range [Four to six clusters: all rows]: max,0.489606,rb5_sigma_metareg_prange.csv,
T1.2,"p range [IsoFLOP designs only, five design clusters (R3's round-2 sample)]: min",0.0127122,rb5_sigma_metareg_prange.csv,
T1.2,"p range [IsoFLOP designs only, five design clusters (R3's round-2 sample)]: max",0.232253,rb5_sigma_metareg_prange.csv,
T1.2,"pooled line at 1e19, CR2 by study: estimate",0.712991,rb5_sigma_metareg_predictions.csv,
T1.2,"pooled line at 1e19, CR2 by study: lo",0.707359,rb5_sigma_metareg_predictions.csv,
T1.2,"pooled line at 1e19, CR2 by study: hi",0.718624,rb5_sigma_metareg_predictions.csv,
T1.2,"pooled line at 1e20, CR2 by study: estimate",0.680212,rb5_sigma_metareg_predictions.csv,
T1.2,"pooled line at 1e20, CR2 by study: lo",0.638215,rb5_sigma_metareg_predictions.csv,
T1.2,"pooled line at 1e20, CR2 by study: hi",0.722208,rb5_sigma_metareg_predictions.csv,
T1.2,"pooled line at 1e21, CR2 by study: estimate",0.647432,rb5_sigma_metareg_predictions.csv,
T1.2,"pooled line at 1e21, CR2 by study: lo",0.55435,rb5_sigma_metareg_predictions.csv,
T1.2,"pooled line at 1e21, CR2 by study: hi",0.740514,rb5_sigma_metareg_predictions.csv,
primary,PRIMARY (reproduces rb1): one estimate per study: mean_re,0.687259,rb5_sigma_study_level.csv,
primary,PRIMARY (reproduces rb1): one estimate per study: lo_hksj,0.640215,rb5_sigma_study_level.csv,
primary,PRIMARY (reproduces rb1): one estimate per study: hi_hksj,0.734302,rb5_sigma_study_level.csv,
primary,PRIMARY (reproduces rb1): one estimate per study: Q,8.2512,rb5_sigma_study_level.csv,
primary,PRIMARY (reproduces rb1): one estimate per study: p_Q,0.0410957,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20 FLOP (primary: Farseer first-derivative estimate on its path points <= 3e20): mean_re",0.707736,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20 FLOP (primary: Farseer first-derivative estimate on its path points <= 3e20): lo_hksj",0.689705,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20 FLOP (primary: Farseer first-derivative estimate on its path points <= 3e20): hi_hksj",0.725767,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20 FLOP (primary: Farseer first-derivative estimate on its path points <= 3e20): Q",1.01681,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20 FLOP (primary: Farseer first-derivative estimate on its path points <= 3e20): p_Q",0.797185,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer Hessian path, RE over its levels <= 3e20: mean_re",0.701827,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer Hessian path, RE over its levels <= 3e20: lo_hksj",0.668126,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer Hessian path, RE over its levels <= 3e20: hi_hksj",0.735528,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer Hessian path, RE over its levels <= 3e20: Q",0.593051,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer Hessian path, RE over its levels <= 3e20: p_Q",0.898021,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer at its full-path first-derivative estimate: mean_re",0.706658,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer at its full-path first-derivative estimate: lo_hksj",0.692084,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer at its full-path first-derivative estimate: hi_hksj",0.721232,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer at its full-path first-derivative estimate: Q",0.84847,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer at its full-path first-derivative estimate: p_Q",0.837842,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; IsoFLOP studies only (k = 3): mean_re",0.696818,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; IsoFLOP studies only (k = 3): lo_hksj",0.635872,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; IsoFLOP studies only (k = 3): hi_hksj",0.757764,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; IsoFLOP studies only (k = 3): Q",0.309555,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; IsoFLOP studies only (k = 3): p_Q",0.856606,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer first-derivative estimate with its bandwidth range as uncertainty (T1.6 treatment) [review]: mean_re",0.7014,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer first-derivative estimate with its bandwidth range as uncertainty (T1.6 treatment) [review]: lo_hksj",0.665129,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer first-derivative estimate with its bandwidth range as uncertainty (T1.6 treatment) [review]: hi_hksj",0.737672,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer first-derivative estimate with its bandwidth range as uncertainty (T1.6 treatment) [review]: Q",0.606396,rb5_sigma_study_level.csv,
T1.4,"Study-level mean, budgets <= 3e20; Farseer first-derivative estimate with its bandwidth range as uncertainty (T1.6 treatment) [review]: p_Q",0.894967,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint of the bandwidth range, uniform: mean_re",0.680333,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint of the bandwidth range, uniform: lo_hksj",0.643429,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint of the bandwidth range, uniform: hi_hksj",0.717237,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint of the bandwidth range, uniform: Q",3.28761,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint of the bandwidth range, uniform: p_Q",0.34937,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: primary-bandwidth Hessian path mean, uniform: mean_re",0.68361,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: primary-bandwidth Hessian path mean, uniform: lo_hksj",0.640345,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: primary-bandwidth Hessian path mean, uniform: hi_hksj",0.726876,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: primary-bandwidth Hessian path mean, uniform: Q",4.47497,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: primary-bandwidth Hessian path mean, uniform: p_Q",0.214534,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: first-derivative estimate, uniform: mean_re",0.683938,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: first-derivative estimate, uniform: lo_hksj",0.639922,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: first-derivative estimate, uniform: hi_hksj",0.727954,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: first-derivative estimate, uniform: Q",4.62813,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: first-derivative estimate, uniform: p_Q",0.201142,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint, range read as +-1.96 s.e.: mean_re",0.681261,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint, range read as +-1.96 s.e.: lo_hksj",0.644877,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint, range read as +-1.96 s.e.: hi_hksj",0.717645,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint, range read as +-1.96 s.e.: Q",3.4353,rb5_sigma_study_level.csv,
T1.6,"Farseer's bandwidth range [0.664, 0.727] as uncertainty: midpoint, range read as +-1.96 s.e.: p_Q",0.329251,rb5_sigma_study_level.csv,
T1.5,"Chinchilla windows/order/frontier/centring grid, 137 runs, N_F (k >= 8 budgets): mean_min",0.685017,rb5_sigma_study_ranges.csv,
T1.5,"Chinchilla windows/order/frontier/centring grid, 137 runs, N_F (k >= 8 budgets): mean_max",0.701663,rb5_sigma_study_ranges.csv,
T1.5,"Chinchilla windows/order/frontier/centring grid, 137 runs, N_F (k >= 8 budgets): Q_min",4.41578,rb5_sigma_study_ranges.csv,
T1.5,"Chinchilla windows/order/frontier/centring grid, 137 runs, N_F (k >= 8 budgets): Q_max",11.2977,rb5_sigma_study_ranges.csv,
T1.5,"Chinchilla windows/order/frontier/centring grid, 137 runs, N_F (k >= 8 budgets): p_Q_min",0.0102206,rb5_sigma_study_ranges.csv,
T1.5,"Chinchilla windows/order/frontier/centring grid, 137 runs, N_F (k >= 8 budgets): p_Q_max",0.219926,rb5_sigma_study_ranges.csv,
T1.5,"Chinchilla grid, 132 runs (five highest-loss runs dropped), N_F (k >= 8 budgets): mean_min",0.674222,rb5_sigma_study_ranges.csv,
