design,noise,rho,truth,noise_sd,R,R_target,B,bias_re,sd_re,mean_se_re,coverage_re,mcse_coverage_re,bias_fe,coverage_fe,coverage_budget,mean_k,rejection_drift_5pct
Chinchilla,ra1,0,0.666932,0.0191294,100,100,149,-0.00456736,0.025477,0.0240942,0.92,0.0271293,-0.00375718,0.85,0.898337,8.36,0.07
Chinchilla,independent,0,0.666932,0.0191294,500,500,149,-0.00627758,0.02231,0.0235038,0.936,0.0109457,-0.00559434,0.906,0.92346,8.256,0.054
Chinchilla,budget,0.5,0.666932,0.0191294,499,500,149,-0.0027045,0.0175763,0.0178033,0.931864,0.0112802,-0.00269124,0.883768,0.893982,8.65531,0.0661323
Chinchilla,budget,0.25,0.666932,0.0191294,200,200,149,-0.00326517,0.0199954,0.0209183,0.955,0.0146586,-0.00266461,0.895,0.899077,8.38,0.05
Chinchilla,budget,0.75,0.666932,0.0191294,199,200,149,0.00169301,0.0132967,0.0137936,0.929648,0.0181289,0.00132391,0.909548,0.875588,8.81407,0.0603015
Chinchilla,smooth,0.5,0.666932,0.0191294,200,200,149,-0.00443155,0.0198887,0.0201126,0.895,0.0216766,-0.00467723,0.86,0.862093,8.415,0.06
Llama 3,ra1,0,0.692662,0.00199733,100,100,149,-0.000692995,0.0138265,0.0141653,0.98,0.014,-0.000215488,0.91,0.91521,8.55,0.11
Llama 3,independent,0,0.692662,0.00199733,500,500,149,-0.000792455,0.0146621,0.0142175,0.932,0.0112584,0.000369422,0.868,0.895118,8.522,0.096
Llama 3,budget,0.5,0.692662,0.00199733,500,500,149,0.000788218,0.0106109,0.0107357,0.938,0.0107848,0.00107385,0.9,0.901963,8.676,0.084
Llama 3,budget,0.25,0.692662,0.00199733,200,200,149,-2.66185e-06,0.0131229,0.0125159,0.91,0.0202361,0.000507515,0.855,0.892206,8.565,0.075
Llama 3,budget,0.75,0.692662,0.00199733,200,200,149,0.000662524,0.00702123,0.00822082,0.96,0.0138564,0.000541579,0.925,0.908222,8.775,0.055
Llama 3,smooth,0.5,0.692662,0.00199733,200,200,149,0.000445418,0.0117495,0.0113372,0.925,0.0186246,0.00096853,0.865,0.877813,8.64,0.105
"Marin, DCLM",ra1,0,0.663344,0.0149956,100,100,149,0.00540939,0.0213576,0.0247419,0.93,0.0255147,0.00105332,0.82,0.921714,6.49,0.12
"Marin, DCLM",independent,0,0.663344,0.0149956,500,500,149,0.00200448,0.0233675,0.0251561,0.954,0.00936846,-0.000939623,0.846,0.92429,6.452,0.054
"Marin, DCLM",budget,0.5,0.663344,0.0149956,500,500,149,0.00592104,0.0180804,0.0191713,0.942,0.0104533,0.0021611,0.822,0.902762,6.698,0.074
"Marin, DCLM",budget,0.25,0.663344,0.0149956,200,200,149,0.00502386,0.0226603,0.02272,0.94,0.0167929,-6.33933e-05,0.82,0.899381,6.545,0.07
"Marin, DCLM",budget,0.75,0.663344,0.0149956,200,200,149,0.00930431,0.0150194,0.0144255,0.885,0.0225583,0.0075508,0.775,0.874643,6.89,0.09
"Marin, DCLM",smooth,0.5,0.663344,0.0149956,200,200,149,0.00602909,0.0199797,0.0195591,0.895,0.0216766,0.00331512,0.785,0.864143,6.695,0.145
Chinchilla (N_F),independent,0,0.655998,0.0194629,500,500,149,-0.00592596,0.0228806,0.0233112,0.936,0.0109457,-0.00523489,0.88,0.917037,8.4,0.048
Chinchilla (N_F),budget,0.5,0.655998,0.0194629,500,500,149,-0.00252957,0.0214664,0.0178979,0.918,0.01227,-0.00396981,0.882,0.88246,8.724,0.058
