sample,spec_key,spec,scale,re_groups,clusters,G,k,slope,se_model,se_cr2,df_cr2,lo_cr2,hi_cr2,p_cr2,t_cr2,p_wild,B_wild,p_wild_enum,n_enum,tau_between,reliable_df
all six designs (excl. Porian),weighted,"3-level RE (design intercepts), inverse-variance (primary)",sigma,design,studies (4; Marin one cluster),4,44,-0.0327797,0.0101862,0.0144001,2.78156,-0.0807121,0.0151526,0.114217,-2.27636,0.0508,9999,0.0493827,1296,0.0147732,False
all six designs (excl. Porian),weighted,"3-level RE (design intercepts), inverse-variance (primary)",sigma,design,designs (6),6,44,-0.0327797,0.0101862,0.0140092,3.14957,-0.0761892,0.0106297,0.0970852,-2.33987,0.0387,9999,0.035751,46656,0.0147732,False
all six designs (excl. Porian),unweighted,"Design RE, unweighted (LMM)",sigma,design,studies (4; Marin one cluster),4,44,-0.0295944,0.00837407,0.013678,2.70715,-0.0759128,0.016724,0.128848,-2.16365,0.056,9999,0.0540123,1296,0.0154329,False
all six designs (excl. Porian),unweighted,"Design RE, unweighted (LMM)",sigma,design,designs (6),6,44,-0.0295944,0.00837407,0.0110895,4.45976,-0.0591714,-1.74018e-05,0.0499124,-2.66869,0.0458,9999,0.0477966,46656,0.0154329,True
all six designs (excl. Porian),balanced,Design-balanced weights (CE-RVE),sigma,design,studies (4; Marin one cluster),4,44,-0.0337151,0.0312755,0.0114215,2.8274,-0.0713513,0.00392115,0.0644982,-2.95191,0.0486,9999,0.0493827,1296,0.0147732,False
all six designs (excl. Porian),balanced,Design-balanced weights (CE-RVE),sigma,design,designs (6),6,44,-0.0337151,0.0312755,0.0110841,3.27937,-0.0673491,-8.11067e-05,0.0496913,-3.04176,0.0317,9999,0.0330933,46656,0.0147732,False
all six designs (excl. Porian),weighted_S,"3-level RE, inverse-variance, on S = 2(1/sigma*-1)",S,design,studies (4; Marin one cluster),4,44,0.136885,0.0445117,0.0685224,2.69604,-0.0957747,0.369545,0.149887,1.99767,0.0609,9999,0.0601852,1296,0.0594012,False
all six designs (excl. Porian),weighted_S,"3-level RE, inverse-variance, on S = 2(1/sigma*-1)",S,design,designs (6),6,44,0.136885,0.0445117,0.0660664,3.15251,-0.0677288,0.341499,0.12559,2.07193,0.0629,9999,0.0617284,46656,0.0594012,False
all six designs (excl. Porian),fe_weighted,"Design FE, inverse-variance",sigma,design,studies (4; Marin one cluster),4,44,-0.0210466,0.00920539,0.023703,1.56701,-0.155424,0.113331,0.489606,-0.887929,0.3761,9999,0.37037,1296,,False
all six designs (excl. Porian),fe_weighted,"Design FE, inverse-variance",sigma,design,designs (6),6,44,-0.0210466,0.00920539,0.0236887,1.58059,-0.153828,0.111735,0.488576,-0.888463,0.3628,9999,0.366298,46656,,False
all six designs (excl. Porian),fe_unweighted,"Design FE, unweighted (OLS)",sigma,design,studies (4; Marin one cluster),4,44,-0.0263221,0.00856963,0.0141826,2.71951,-0.0742088,0.0215645,0.169886,-1.85595,0.0511,9999,0.0509259,1296,,False
all six designs (excl. Porian),fe_unweighted,"Design FE, unweighted (OLS)",sigma,design,designs (6),6,44,-0.0263221,0.00856963,0.0108047,4.47395,-0.0551081,0.00246379,0.0648102,-2.43618,0.0728,9999,0.0734739,46656,,True
all six designs (excl. Porian),weighted_studyRE,"3-level RE with study intercepts (Marin's corpora share one), inverse-variance",sigma,study,studies (4; Marin one cluster),4,44,-0.0320297,0.0102042,0.0142632,2.75581,-0.0797842,0.0157249,0.118233,-2.24561,0.0541,9999,0.0509259,1296,0.0173488,False
