anchor,anchor_log10C,anchor_C,C,log10C,sigma_lower,upper_decline_real,upper_drift_agnostic,upper_study_le3e20,k_lower,k_upper_decline,k_upper_agnostic,sigma_top,drift
1e21 (rb1),21,1e+21,3e+21,21.4771,0.566306,0.593781,0.7,0.707736,0.765829,0.684123,0.428571,0.593781,-0.057584
1e21 (rb1),21,1e+21,1e+22,22,0.536197,0.593781,0.7,0.707736,0.864987,0.684123,0.428571,0.593781,-0.057584
1e21 (rb1),21,1e+21,1e+23,23,0.478613,0.593781,0.7,0.707736,1.08937,0.684123,0.428571,0.593781,-0.057584
1e21 (rb1),21,1e+21,1e+24,24,0.421029,0.593781,0.7,0.707736,1.37513,0.684123,0.428571,0.593781,-0.057584
1e21 (rb1),21,1e+21,1e+25,25,0.363445,0.593781,0.7,0.707736,1.75145,0.684123,0.428571,0.593781,-0.057584
precision-weighted centre of the five budgets,20.904,8.01592e+20,3e+21,21.4771,0.560776,0.593781,0.7,0.707736,0.783245,0.684123,0.428571,0.593781,-0.057584
precision-weighted centre of the five budgets,20.904,8.01592e+20,1e+22,22,0.530666,0.593781,0.7,0.707736,0.884424,0.684123,0.428571,0.593781,-0.057584
precision-weighted centre of the five budgets,20.904,8.01592e+20,1e+23,23,0.473082,0.593781,0.7,0.707736,1.1138,0.684123,0.428571,0.593781,-0.057584
precision-weighted centre of the five budgets,20.904,8.01592e+20,1e+24,24,0.415498,0.593781,0.7,0.707736,1.40675,0.684123,0.428571,0.593781,-0.057584
precision-weighted centre of the five budgets,20.904,8.01592e+20,1e+25,25,0.357914,0.593781,0.7,0.707736,1.79397,0.684123,0.428571,0.593781,-0.057584
compute-weighted centre (weights proportional to C),21.1879,1.54144e+21,3e+21,21.4771,0.577128,0.593781,0.7,0.707736,0.732718,0.684123,0.428571,0.593781,-0.057584
compute-weighted centre (weights proportional to C),21.1879,1.54144e+21,1e+22,22,0.547018,0.593781,0.7,0.707736,0.828092,0.684123,0.428571,0.593781,-0.057584
compute-weighted centre (weights proportional to C),21.1879,1.54144e+21,1e+23,23,0.489434,0.593781,0.7,0.707736,1.04317,0.684123,0.428571,0.593781,-0.057584
compute-weighted centre (weights proportional to C),21.1879,1.54144e+21,1e+24,24,0.43185,0.593781,0.7,0.707736,1.31562,0.684123,0.428571,0.593781,-0.057584
compute-weighted centre (weights proportional to C),21.1879,1.54144e+21,1e+25,25,0.374266,0.593781,0.7,0.707736,1.67189,0.684123,0.428571,0.593781,-0.057584
unweighted centre of log10 C,21.0067,1.01551e+21,3e+21,21.4771,0.566691,0.593781,0.7,0.707736,0.764629,0.684123,0.428571,0.593781,-0.057584
unweighted centre of log10 C,21.0067,1.01551e+21,1e+22,22,0.536582,0.593781,0.7,0.707736,0.863649,0.684123,0.428571,0.593781,-0.057584
unweighted centre of log10 C,21.0067,1.01551e+21,1e+23,23,0.478998,0.593781,0.7,0.707736,1.08769,0.684123,0.428571,0.593781,-0.057584
unweighted centre of log10 C,21.0067,1.01551e+21,1e+24,24,0.421414,0.593781,0.7,0.707736,1.37296,0.684123,0.428571,0.593781,-0.057584
unweighted centre of log10 C,21.0067,1.01551e+21,1e+25,25,0.36383,0.593781,0.7,0.707736,1.74854,0.684123,0.428571,0.593781,-0.057584
1e21 (rb1); sigma_top and drift at their lower 95 percent limits,21,1e+21,3e+21,21.4771,0.530423,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
1e21 (rb1); sigma_top and drift at their lower 95 percent limits,21,1e+21,1e+22,22,0.486549,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
1e21 (rb1); sigma_top and drift at their lower 95 percent limits,21,1e+21,1e+23,23,0.402639,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
1e21 (rb1); sigma_top and drift at their lower 95 percent limits,21,1e+21,1e+24,24,0.31873,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
1e21 (rb1); sigma_top and drift at their lower 95 percent limits,21,1e+21,1e+25,25,0.234821,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
precision-weighted centre of the five budgets; sigma_top and drift at their lower 95 percent limits,20.904,8.01592e+20,3e+21,21.4771,0.522364,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
precision-weighted centre of the five budgets; sigma_top and drift at their lower 95 percent limits,20.904,8.01592e+20,1e+22,22,0.47849,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
precision-weighted centre of the five budgets; sigma_top and drift at their lower 95 percent limits,20.904,8.01592e+20,1e+23,23,0.39458,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
precision-weighted centre of the five budgets; sigma_top and drift at their lower 95 percent limits,20.904,8.01592e+20,1e+24,24,0.310671,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
precision-weighted centre of the five budgets; sigma_top and drift at their lower 95 percent limits,20.904,8.01592e+20,1e+25,25,0.226761,0.617103,0.7,0.725767,,,,0.570458,-0.0839095
