design,statistic,reviewer,builder,abs_diff
Llama 3,b1,0.589608,0.589608,3.45791e-07
Llama 3,b2,-0.0292437,-0.0292437,2.17612e-08
Llama 3,sigma_slope,0.629086,0.629086,4.98514e-08
Llama 3,conv|M<16,-0.0537486,-0.0537486,4.06358e-08
Llama 3,n|M<16,70,,
Llama 3,conv|16-64,-0.0446119,-0.0446119,2.07133e-08
Llama 3,n|16-64,38,,
Llama 3,conv|64-256,-0.134037,-0.134037,3.23965e-07
Llama 3,n|64-256,16,,
Llama 3,"conv|256-1,024",-0.00578585,-0.00578585,2.61891e-09
Llama 3,"n|256-1,024",2,,
Llama 3,"conv|>=1,024",,,
Llama 3,"n|>=1,024",0,,
Llama 3,conv|256-320,-0.00578585,,
Llama 3,n|256-320,2,,
"Marin, Comma",b1,0.502368,0.502368,4.58735e-07
"Marin, Comma",b2,0.0324141,0.0324141,4.87165e-08
"Marin, Comma",sigma_slope,0.665616,0.665616,3.22178e-07
"Marin, Comma",conv|M<16,0.199873,0.199873,3.00453e-07
"Marin, Comma",n|M<16,54,,
"Marin, Comma",conv|16-64,-0.0631809,-0.0631809,4.44443e-08
"Marin, Comma",n|16-64,20,,
"Marin, Comma",conv|64-256,0.0931848,0.0931848,3.61784e-08
"Marin, Comma",n|64-256,13,,
"Marin, Comma","conv|256-1,024",0.444067,0.444067,8.80306e-08
"Marin, Comma","n|256-1,024",6,,
"Marin, Comma","conv|>=1,024",0.918167,0.918167,4.28418e-07
"Marin, Comma","n|>=1,024",2,,
"Marin, Comma",conv|256-320,0.280691,,
"Marin, Comma",n|256-320,1,,
"Marin, DCLM",b1,0.500176,0.500176,2.32965e-07
"Marin, DCLM",b2,0.0274102,0.0274102,2.45145e-08
"Marin, DCLM",sigma_slope,0.666589,0.666589,4.42863e-07
"Marin, DCLM",conv|M<16,0.104305,0.104305,1.67912e-07
"Marin, DCLM",n|M<16,55,,
"Marin, DCLM",conv|16-64,-0.0574505,-0.0574505,8.25652e-09
"Marin, DCLM",n|16-64,20,,
"Marin, DCLM",conv|64-256,0.0949519,0.0949519,2.49394e-08
"Marin, DCLM",n|64-256,13,,
"Marin, DCLM","conv|256-1,024",0.439996,0.439996,3.96525e-07
"Marin, DCLM","n|256-1,024",7,,
"Marin, DCLM","conv|>=1,024",1.14257,1.14257,1.85582e-06
"Marin, DCLM","n|>=1,024",1,,
"Marin, DCLM",conv|256-320,0.329299,,
"Marin, DCLM",n|256-320,2,,
"Marin, Nemotron-CC",b1,0.479831,0.479831,4.84972e-07
"Marin, Nemotron-CC",b2,0.0274779,0.0274779,3.94464e-08
"Marin, Nemotron-CC",sigma_slope,0.675753,0.675753,6.08033e-08
"Marin, Nemotron-CC",conv|M<16,0.10621,0.10621,3.79263e-07
"Marin, Nemotron-CC",n|M<16,54,,
"Marin, Nemotron-CC",conv|16-64,-0.0553003,-0.0553003,4.08724e-08
"Marin, Nemotron-CC",n|16-64,20,,
"Marin, Nemotron-CC",conv|64-256,0.0904314,0.0904314,5.10525e-09
"Marin, Nemotron-CC",n|64-256,13,,
"Marin, Nemotron-CC","conv|256-1,024",0.396487,0.396487,3.46072e-07
"Marin, Nemotron-CC","n|256-1,024",6,,
"Marin, Nemotron-CC","conv|>=1,024",1.00186,1.00186,4.07633e-06
"Marin, Nemotron-CC","n|>=1,024",2,,
"Marin, Nemotron-CC",conv|256-320,0.23646,,
"Marin, Nemotron-CC",n|256-320,1,,
Farseer,b1,0.412815,0.412815,3.42967e-07
Farseer,b2,0.0203927,0.0203927,4.00976e-08
Farseer,sigma_slope,0.707807,0.707807,4.17223e-07
Farseer,conv|M<16,0.0904465,0.0904465,1.39526e-08
Farseer,n|M<16,144,,
Farseer,conv|16-64,9.74668e-05,9.74668e-05,1.57072e-11
Farseer,n|16-64,71,,
Farseer,conv|64-256,0.0206566,0.0206566,2.9827e-08
Farseer,n|64-256,58,,
Farseer,"conv|256-1,024",0.16898,0.16898,4.43912e-07
Farseer,"n|256-1,024",42,,
Farseer,"conv|>=1,024",0.373043,0.373043,1.24467e-08
Farseer,"n|>=1,024",13,,
Farseer,conv|256-320,,,
Farseer,n|256-320,0,,
"Marin, three corpora pooled",conv|M<16,0.136796,0.136796,2.97007e-08
"Marin, three corpora pooled",conv|16-64,-0.0586439,-0.0586439,3.94281e-09
"Marin, three corpora pooled",conv|64-256,0.092856,0.092856,3.87814e-08
"Marin, three corpora pooled","conv|256-1,024",0.42685,0.42685,4.6161e-08
"Marin, three corpora pooled","conv|>=1,024",1.02086,1.02086,3.54648e-06
"Marin, three corpora pooled",conv|256-320,0.28215,,
"Marin, three corpora pooled",n|M<16,163,,
"Marin, three corpora pooled",n|16-64,60,,
"Marin, three corpora pooled",n|64-256,39,,
"Marin, three corpora pooled","n|256-1,024",19,,
"Marin, three corpora pooled","n|>=1,024",5,,
"Marin, three corpora pooled",n|256-320,4,,
