item,statistic,reviewer,builder,abs_diff,agree,tol,note
T1.1,max |draw s.e. or estimate - rb1 input| over 36 IsoFLOP budgets,3.92771e-07,0,3.92771e-07,True,1e-06,
T1.1,CL3 FE drift (IV weights),-0.0575841,-0.057584,6.98969e-08,True,1e-06,
T1.1,CL3 FE drift: model s.e. unscaled,0.00889399,0.00889399,1.18762e-09,True,1e-06,
T1.1,CL3 FE drift: residual dispersion s2,2.00917,2.00918,5.65676e-06,True,0.0001,
T1.1,CL3 FE drift: model s.e. scaled,0.0126068,0.0126068,1.53156e-08,True,1e-06,
T1.1,CL3 FE drift: bootstrap s.e. independent,0.00889399,0.00889399,3.75495e-09,True,1e-06,
T1.1,CL3 FE drift: bootstrap s.e. joint,0.00947567,0.00947569,1.62106e-08,True,1e-06,
T1.1,CL3 FE drift: joint s.e. x sqrt(s2),0.0134313,,,,0.0005,
T1.1,CL3 FE drift: GLS dispersion with joint covariance,2.21749,,,,0.0005,
T1.1,CL3 FE drift: GLS slope with joint covariance,-0.050878,,,,0.0005,
T1.1,"CL3 FE drift: GLS s.e. joint cov x sqrt(max(s2_joint,1))",0.0137246,,,,0.0005,
T1.1,CL3 FE drift: joint s.e. x sqrt(s2_joint),0.0141104,,,,0.0005,
T1.1,CL3 FE drift: moment dispersion under the joint covariance,2.06414,,,,0.0005,
T1.1,CL3 FE drift: joint s.e. x sqrt(moment dispersion) (recommended 0.014),0.0136138,,,,0.0005,
T1.1,top-budget mean,0.593781,0.593781,3.75392e-07,True,1e-06,
T1.1,top-budget mean: joint s.e.,0.0118992,0.0118992,2.99735e-08,True,1e-06,
T1.1,top-budget: t4 joint interval lo,0.560743,0.560744,2.92172e-07,True,1e-06,
T1.1,top-budget: t4 joint interval hi,0.626818,0.626818,4.58612e-07,True,1e-06,
T1.1,top-budget: percentile lo,0.569467,0.569467,2.14021e-07,True,1e-06,
T1.1,top-budget: percentile hi,0.614547,0.614547,2.54536e-07,True,1e-06,
T1.3,Llama 3 weight share,0.846414,0.846414,3.13076e-07,True,1e-06,
T1.1,top-budget: bootstrap population value,0.601902,,,,0.0005,
T1.1,top-budget: plain percentile lo (delta-method draws),0.577588,,,,0.0005,
T1.1,top-budget: plain percentile hi (delta-method draws),0.622668,,,,0.0005,
T1.1,top-budget: GLS mean with joint covariance,0.593163,,,,0.0005,
T1.1,top-budget: Q with joint covariance (df 4),3.14779,,,,0.0005,
T1.3,Farseer level 5e20,0.72213,0.72213,0,True,1e-06,
T1.3,Farseer level 1e21,0.657597,0.657597,0,True,1e-06,
T1.3,Farseer s.e. 1e21,0.0106159,0.0106159,0,True,1e-06,
T1.3,top-5 FE mean,0.593781,0.593781,3.75392e-07,True,1e-06,
T1.3,top-5 HKSJ lo,0.565192,0.565192,1.62305e-07,True,1e-06,
T1.3,top-5 HKSJ hi,0.622369,0.622369,8.69114e-08,True,1e-06,
T1.3,top-5 Q,2.45886,2.45889,3.33802e-05,True,0.0001,
T1.3,top-5 + Farseer 1e21: FE mean,0.624715,0.624715,2.43929e-07,True,1e-06,
