set,k,mean_fixed,se_fixed,mean_re,lo_hksj,hi_hksj,tau,Q,p_Q,members,weight_share_llama3,weight_share_farseer,note
Farseer local path level at 5e+20 FLOP,1,0.72213,0.00829902,0.72213,,,,,,Farseer 5e+20: 0.722 (0.008),,,
Farseer local path level at 1e+21 FLOP,1,0.657597,0.0106159,0.657597,,,,,,Farseer 1e+21: 0.658 (0.011),,,
"Chinchilla + Llama 3, budgets >= 6e20 (primary)",5,0.593781,0.0102968,0.593781,0.565192,0.622369,0,2.45889,0.652012,Chinchilla 6e+20: 0.550 (0.047); Chinchilla 1e+21: 0.609 (0.039); Chinchilla 3e+21: 0.569 (0.054); Llama 3 6e+20: 0.585 (0.015); Llama 3 1e+21: 0.609 (0.017),0.846414,0,
Chinchilla + Llama 3 + Farseer 1e21,6,0.624715,0.00739117,0.606495,0.558281,0.654709,0.0362935,21.0785,0.000782843,Chinchilla 6e+20: 0.550 (0.047); Chinchilla 1e+21: 0.609 (0.039); Chinchilla 3e+21: 0.569 (0.054); Llama 3 6e+20: 0.585 (0.015); Llama 3 1e+21: 0.609 (0.017); Farseer 1e+21: 0.658 (0.011),0.43612,0.484744,
Chinchilla + Llama 3 + Farseer 5e20 and 1e21 (all levels above 3e20),7,0.667805,0.00551951,0.62209,0.55774,0.68644,0.0632151,97.9157,6.82701e-19,Chinchilla 6e+20: 0.550 (0.047); Chinchilla 1e+21: 0.609 (0.039); Chinchilla 3e+21: 0.569 (0.054); Llama 3 6e+20: 0.585 (0.015); Llama 3 1e+21: 0.609 (0.017); Farseer 5e+20: 0.722 (0.008); Farseer 1e+21: 0.658 (0.011),0.24321,0.712658,5e20 is below the 6e20 cut of the primary set; shown for completeness
"Chinchilla (132 runs) + Llama 3, budgets >= 6e20",5,0.597869,0.0103897,0.597869,0.569022,0.626715,0,2.66749,0.614916,Chinchilla (132 runs) 6e+20: 0.665 (0.063); Chinchilla (132 runs) 1e+21: 0.611 (0.040); Chinchilla (132 runs) 3e+21: 0.575 (0.049); Llama 3 6e+20: 0.585 (0.015); Llama 3 1e+21: 0.609 (0.017),0.861756,0,Chinchilla without its five highest-loss runs (rb4 review R13)
Chinchilla (132 runs) + Llama 3 + Farseer 1e21,6,0.62709,0.0074253,0.616584,0.570003,0.663166,0.0339703,18.836,0.00206212,Chinchilla (132 runs) 6e+20: 0.665 (0.063); Chinchilla (132 runs) 1e+21: 0.611 (0.040); Chinchilla (132 runs) 3e+21: 0.575 (0.049); Llama 3 6e+20: 0.585 (0.015); Llama 3 1e+21: 0.609 (0.017); Farseer 1e+21: 0.658 (0.011),0.440158,0.489231,
"Llama 3 only, budgets >= 6e20",2,0.595963,0.0111921,0.59616,0.439865,0.752455,0.00719107,1.2046,0.272405,Llama 3 6e+20: 0.585 (0.015); Llama 3 1e+21: 0.609 (0.017),1,0,
"Chinchilla only, budgets >= 6e20 (137 runs)",3,0.581753,0.026274,0.581753,0.468706,0.694801,0,1.00672,0.604495,Chinchilla 6e+20: 0.550 (0.047); Chinchilla 1e+21: 0.609 (0.039); Chinchilla 3e+21: 0.569 (0.054),0,0,
"Chinchilla only, budgets >= 6e20 (132 runs)",3,0.609747,0.0279433,0.609747,0.489517,0.729978,0,1.2532,0.534405,Chinchilla (132 runs) 6e+20: 0.665 (0.063); Chinchilla (132 runs) 1e+21: 0.611 (0.040); Chinchilla (132 runs) 3e+21: 0.575 (0.049),0,0,
