set,series,share_at_tau1,tau_breakdown,median_tau_break
S1,all models,0.7792207792207793,3.6619437334517704,3.6619437334517704
S1,models below 15B,0.9830508474576272,7.535602276111763,7.535602276111763
S1,training compute (models),0.23726581020279672,1.0,3.6619437334517704
S1,decisions (49),0.6938775510204082,2.725431076696434,2.725431076696434
S1,"training compute (decisions, 49)",0.1386968460757243,1.0,2.725431076696434
S1,decisions (56),0.7142857142857143,2.8632713304406527,2.794351203568543
S1,"training compute (decisions, 56)",0.1458490404048809,1.0,2.794351203568543
S2(c),all models,0.7142857142857143,2.70407080219265,2.70407080219265
S2(c),models below 15B,0.9322033898305084,5.782923517378035,5.782923517378035
S2(c),training compute (models),0.1730013620003787,1.0,2.70407080219265
S2(c),decisions (49),0.6530612244897959,2.2504528988166643,2.2504528988166643
S2(c),"training compute (decisions, 49)",0.11578325886444348,1.0,2.2504528988166643
S2(c),decisions (56),0.6607142857142857,2.5887959229494113,2.4196244108830376
S2(c),"training compute (decisions, 56)",0.12025378915281643,1.0,2.4196244108830376
S2(a),all models,0.8701298701298701,8.31827087623377,8.31827087623377
S2(a),models below 15B,1.0,19.393784180276317,19.393784180276317
S2(a),training compute (models),0.48465869666740674,1.0,8.31827087623377
S2(a),decisions (49),0.8163265306122449,5.939058588112043,5.939058588112043
S2(a),"training compute (decisions, 49)",0.3997397997565773,1.0,5.939058588112043
S2(a),decisions (56),0.8214285714285714,6.556469563693401,6.247764075902722
S2(a),"training compute (decisions, 56)",0.4064668322935845,1.0,6.247764075902722
