set,series,tau,share
S1,all models,1.0,0.7792207792207793
S1,all models,1.3,0.7402597402597403
S1,all models,1.84,0.6623376623376623
S1,all models,3.4,0.5324675324675324
S1,all models,4.4,0.4675324675324675
S1,all models,8.0,0.37662337662337664
S1,all models,10.0,0.3246753246753247
S1,models below 15B,1.0,0.9830508474576272
S1,models below 15B,1.3,0.9322033898305084
S1,models below 15B,1.84,0.864406779661017
S1,models below 15B,3.4,0.6949152542372882
S1,models below 15B,4.4,0.6101694915254238
S1,models below 15B,8.0,0.4915254237288136
S1,models below 15B,10.0,0.423728813559322
S1,training compute (models),1.0,0.23726581020279672
S1,training compute (models),1.3,0.2325444538231017
S1,training compute (models),1.84,0.17097332093407522
S1,training compute (models),3.4,0.15746732980646963
S1,training compute (models),4.4,0.13227484196290618
S1,training compute (models),8.0,0.07960723079159537
S1,training compute (models),10.0,0.057691550983924526
S1,decisions (49),1.0,0.6938775510204082
S1,decisions (49),1.3,0.673469387755102
S1,decisions (49),1.84,0.6122448979591837
S1,decisions (49),3.4,0.46938775510204084
S1,decisions (49),4.4,0.40816326530612246
S1,decisions (49),8.0,0.30612244897959184
S1,decisions (49),10.0,0.2653061224489796
S1,"training compute (decisions, 49)",1.0,0.1386968460757243
S1,"training compute (decisions, 49)",1.3,0.1381159723047163
S1,"training compute (decisions, 49)",1.84,0.11462204597154485
S1,"training compute (decisions, 49)",3.4,0.10303337000107163
S1,"training compute (decisions, 49)",4.4,0.09538322723299875
S1,"training compute (decisions, 49)",8.0,0.013934123218742222
S1,"training compute (decisions, 49)",10.0,0.00724041160069786
S1,decisions (56),1.0,0.7142857142857143
S1,decisions (56),1.3,0.6785714285714286
S1,decisions (56),1.84,0.6071428571428571
S1,decisions (56),3.4,0.48214285714285715
S1,decisions (56),4.4,0.42857142857142855
S1,decisions (56),8.0,0.32142857142857145
S1,decisions (56),10.0,0.2857142857142857
S1,"training compute (decisions, 56)",1.0,0.1458490404048809
S1,"training compute (decisions, 56)",1.3,0.14258650259308925
S1,"training compute (decisions, 56)",1.84,0.11866741446776838
S1,"training compute (decisions, 56)",3.4,0.10707873849729516
S1,"training compute (decisions, 56)",4.4,0.0998080447428053
S1,"training compute (decisions, 56)",8.0,0.014995378942665104
S1,"training compute (decisions, 56)",10.0,0.00830166732462074
S2(c),all models,1.0,0.7142857142857143
S2(c),all models,1.3,0.6623376623376623
S2(c),all models,1.84,0.5974025974025974
S2(c),all models,3.4,0.4675324675324675
S2(c),all models,4.4,0.4155844155844156
S2(c),all models,8.0,0.2987012987012987
S2(c),all models,10.0,0.2857142857142857
S2(c),models below 15B,1.0,0.9322033898305084
S2(c),models below 15B,1.3,0.864406779661017
S2(c),models below 15B,1.84,0.7796610169491526
S2(c),models below 15B,3.4,0.6101694915254238
S2(c),models below 15B,4.4,0.5423728813559322
S2(c),models below 15B,8.0,0.3898305084745763
