set,level,curvature,tau,n,k_L,k_U_min,k_U_max,median_s_lower,median_s_upper,median_w_lower,median_w_upper
S1,models,"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",1.0,77,0.4,0.52,0.52,0.40500223661634666,0.8992290449310503,1.6806785866104206,9.923494317541977
S1,models,"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",1.3,77,0.4,0.52,0.52,0.33916555153220995,0.9120805765475717,1.513238303963419,11.37405092904281
S1,models,"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",1.84,77,0.4,0.52,0.52,0.24064918674211327,0.9266111458908683,1.3169143728307107,13.6260473356481
S1,models,"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",3.4,77,0.4,0.52,0.52,0.0292511158215739,0.9466706441743787,1.0301325258244618,18.751398446848764
S1,models,"k in [0.40, 0.52] (in-design sigma* 0.66-0.71; version 3)",4.4,77,0.4,0.52,0.52,-0.10018400058978898,0.9533619930415265,0.9089388679202005,21.4417395857074
S1,models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",1.0,77,0.4,0.6841225973885996,0.6841225973885996,0.40500223661634666,0.9511608938089978,1.6806785866104206,20.475395190263196
S1,models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",1.3,77,0.4,0.6841225973885996,0.6841225973885996,0.33916555153220995,0.9591853116072648,1.513238303963419,24.500983331726093
S1,models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",1.84,77,0.4,0.6841225973885996,0.6841225973885996,0.24064918674211327,0.9678189766565802,1.3169143728307107,31.074213810061305
S1,models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",3.4,77,0.4,0.6841225973885996,0.6841225973885996,0.0292511158215739,0.978856787723783,1.0301325258244618,47.296502865123024
S1,models,"k in [0.40, 0.684] (to the top-budget value sigma* = 0.594)",4.4,77,0.4,0.6841225973885996,0.6841225973885996,-0.1338422254663946,0.9822757775953632,0.881956922700299,56.41996456433514
S1,models,"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",1.0,77,0.4,0.6841225973885996,2.029690474068282,0.40500223661634666,0.9938560806295217,1.6806785866104206,162.76255264758666
S1,models,"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",1.3,77,0.4,0.6841225973885996,2.029690474068282,0.33916555153220995,0.9954608849934705,1.513238303963419,220.3072622221551
S1,models,"k in [0.40, k(sigma_lin(C_i))]: sigma* at the lower end of its identified set (Chinchilla-Llama 3 drift)",1.84,77,0.4,0.6841225973885996,2.029690474068282,0.24064918674211327,0.9969617350789506,1.3169143728307107,329.135222235524
