uid,model,dev,year,gen,N,D,M,Cmp,dlo,dhi,Mstar_hi_eff,Mstar_lo_eff,binding_upper,binding_lower,tau_break,sign_tau1
B:HuggingFaceTB/SmolLM-135M,SmolLM-135M,Hugging Face,2024,SmolLM,134515008.0,600000000000.0,4460.468827389134,4.842540288e+20,4.818576641390566,5.965548871641532,36.03290383191515,11.443939471801093,DeepSeek LLM law,Llama 3,123.78876951455679,w>1
B:microsoft/phi-1_5,phi-1_5,Microsoft,2023,Phi-1.5,1418270720.0,150000000000.0,105.76260081009076,1.276443648e+21,0.9492036943506297,2.2980946041319608,40.93532053234897,10.623859451341795,Marin,Llama 3,2.583651463691662,w>1
B:HuggingFaceTB/SmolLM-360M,SmolLM-360M,Hugging Face,2024,SmolLM,361821120.0,600000000000.0,1658.2779910691781,1.302556032e+21,3.696276034991985,5.052111066792886,41.15144134650275,10.606042876329724,Marin,Llama 3,40.296960126042016,w>1
B:HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,Hugging Face,2024,SmolLM2,134515008.0,2000000000000.0,14868.229424630446,1.614180096e+21,5.833784656579285,7.263560080255596,43.51898612363814,10.416820775038895,Marin,Llama 3,341.6492604489812,w>1
B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,Hugging Face,2024,SmolLM2,361821120.0,4000000000000.0,11055.186607127853,8.68370688e+21,5.0907840747707445,7.117799387137987,68.02470161538315,8.960764848469125,Marin,Llama 3,162.51723777686993,w>1
B:HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,Hugging Face,2024,SmolLM,1711376384.0,1000000000000.0,584.3249967389991,1.0268258304e+22,2.1055278055448285,4.19317780096995,71.15990471410325,8.822272839138806,Marin,Llama 3,8.211435907434417,w>1
B:h2oai/h2o-danube-1.8b-base,h2o-danube-1.8b-base,H2O.ai,2024,H2O-Danube1,1831201280.0,1000000000000.0,546.0896139172642,1.098720768e+22,2.0196387593568845,4.131812152640527,72.46794534902614,8.766791918460763,Marin,Llama 3,7.535602276111763,w>1
B:cerebras/btlm-3b-8k-base,btlm-3b-8k-base,Cerebras,2023,BTLM,3000000000.0,627000000000.0,209.0,1.1286e+22,1.051964792998369,3.1738675009901907,72.99343159624179,8.744865699729221,Marin,Llama 3,2.8632713304406527,w>1
B:h2oai/h2o-danube3-500m-base,h2o-danube3-500m-base,H2O.ai,2024,H2O-Danube3,513590784.0,4000000000000.0,7788.301746473706,1.2326178816e+22,4.646255277895113,6.8001510843594195,74.74802816800569,8.673106459411844,Marin,Llama 3,104.19407624999162,w>1
B:TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,2024,TinyLlama,1100000000.0,2000000000000.0,1818.1818181818182,1.32e+22,3.173002428067859,5.351778282200147,76.14122591835084,8.617663545576194,Marin,Llama 3,23.879072030328544,w>1
B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,2023,StableLM-alpha,3638525952.0,800000000000.0,219.8692576482137,1.74649245696e+22,0.98483801479468,3.265533214381901,82.12110693031548,8.393854843691118,Marin,Llama 3,2.6773781536430765,w>1
B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,Stability AI,2024,StableLM-2,1644515328.0,2000000000000.0,1216.1637936402378,1.9734183936e+22,2.6622190936172307,4.987484095096945,84.87992906151847,8.29765261286867,Marin,Llama 3,14.328049128773403,w>1
B:allenai/OLMo-1B-hf,OLMo-1B-hf,AI2,2024,OLMo-1,1176764416.0,3000000000000.0,2549.3632873412785,2.1181759488e+22,3.38319930744111,5.734317864459129,86.5220771287198,8.242313353279304,Marin,Llama 3,29.46488771355505,w>1
B:microsoft/phi-2,phi-2,Microsoft,2023,Phi-2,2779683840.0,1400000000000.0,503.65440121420426,2.3349344256e+22,1.735100655403131,4.121832709346778,88.83579499648897,8.166640392562027,Marin,Llama 3,5.6694984407367555,w>1
B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,2024,Qwen2,494032768.0,12000000000000.0,24289.886779332013,3.5570359296e+22,5.49679962001569,8.037771834464479,99.58541725460435,7.846311323911596,Marin,Llama 3,243.9100768863723,w>1
B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,AI2,2025,OLMo-2,1484916736.0,4050000000000.0,2727.4256541209866,3.60834766848e+22,3.3062057072086866,5.852435692508825,99.97376006875203,7.83560246520271,Marin,Llama 3,27.281415165792843,w>1
B:stabilityai/stablelm-base-alpha-7b,stablelm-base-alpha-7b,Stability AI,2023,StableLM-alpha,7869358080.0,800000000000.0,101.6601343930711,3.7772918784e+22,0.004290905885476093,2.567322581562305,101.2248548636919,7.801473705417986,Marin,Llama 3,1.0043001250035413,w>1
B:huggyllama/llama-7b,llama-7b,Meta,2023,Llama,6738417664.0,1000000000000.0,148.40279274205582,4.0430505984e+22,0.3640995692963722,2.9521086054105954,103.11352649927869,7.75099749536384,Marin,Llama 3,1.4392175088987373,w>1
B:mosaicml/mpt-7b,mpt-7b,MosaicML,2023,MPT,7000000000.0,1000000000000.0,142.85714285714286,4.2e+22,0.3156564183464834,2.917661983865155,104.18714066515524,7.722847522258117,Marin,Llama 3,1.371159069584876,w>1
B:google/gemma-2b,gemma-2b,Google,2024,Gemma,2506172416.0,3000000000000.0,1197.044537258206,4.5111103488e+22,2.421981056742591,5.050259161336759,106.23247526555778,7.670269494404506,Marin,Llama 3,11.268160082553461,w>1
B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,2023,StableLM-alpha-v2,6889414656.0,1100000000000.0,159.66523353939925,4.54701367296e+22,0.40529225931044177,3.0364858003428674,106.46188924555183,7.664455959838563,Marin,Llama 3,1.4997407492096553,w>1
B:Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Alibaba,2024,Qwen2.5,494032768.0,18000000000000.0,36434.83016899802,5.3355538944e+22,5.791954464531177,8.481998027772212,111.19951322761581,7.5479985931288915,Marin,Llama 3,327.65278472414775,w>1
B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,2024,Qwen2,1543714304.0,7000000000000.0,4534.517806735306,6.4836000768e+22,3.655040308553681,6.416887147667281,117.26469398077674,7.408195461284107,Marin,Llama 3,38.669079778425484,w>1
B:tiiuae/falcon-7b,falcon-7b,TII,2023,Falcon,7217189760.0,1500000000000.0,207.83712911547445,6.495470784e+22,0.5718222876109138,3.334343521665459,117.32319210380939,7.406894222688069,Marin,Llama 3,1.771492280329169,w>1
B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,Stability AI,2023,StableLM-3B-4E1T,2795443200.0,4000000000000.0,1430.9001163035614,6.70906368e+22,2.492304422606594,5.266755377607856,118.36280836743906,7.383912148528177,Marin,Llama 3,12.089102447295378,w>1
B:huggyllama/llama-13b,llama-13b,Meta,2023,Llama,13015866880.0,1000000000000.0,76.8293045111414,7.809520128e+22,-0.47360171596036515,2.3568844763811256,123.36998549256577,7.276876079450605,Marin,Llama 3,1.0,not identified
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,2023,Llama-2,6738417664.0,2000000000000.0,296.80558548411165,8.0861011968e+22,0.8683910811838365,3.711724644459016,124.54738537926994,7.252546769059337,Marin,Llama 3,2.3830735954856337,w>1
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,2024,DeepSeek-LLM,7000000000.0,2000000000000.0,285.7142857142857,8.4e+22,0.8199102185147318,3.677305660066365,125.84891396835718,7.22600735386749,Marin,Llama 3,2.270295997835343,w>1
