set,conv,C,Mstar_lo,Mstar_hi,paths
S1,ds,1e+22,17.394942665256053,17.394942665256053,DeepSeek LLM law
S1,total,1e+22,8.844044509903483,70.65491925195715,Chinchilla; Llama 3; Marin
S1,total,1e+22,11.324781937870101,37.3882567851006,Chinchilla (alone)
S1,total,1e+22,8.844044509903483,26.647735590272966,Llama 3 (alone)
S1,total,1e+22,18.31859255559903,70.65491925195715,Marin (alone)
S1,ds,1e+22,17.394942665256053,17.394942665256053,DeepSeek LLM law (alone)
S1,ds,1e+23,15.553316210777979,15.553316210777979,DeepSeek LLM law
S1,total,1e+23,7.105628758670973,131.98619262553666,Chinchilla; Llama 3; Marin
S1,total,1e+23,8.607102725197088,48.44966363701642,Chinchilla (alone)
S1,total,1e+23,7.105628758670973,34.45440258791529,Llama 3 (alone)
S1,total,1e+23,24.371693354273344,131.98619262553666,Marin (alone)
S1,ds,1e+23,15.553316210777979,15.553316210777979,DeepSeek LLM law (alone)
S1,ds,1e+24,13.906665276662359,13.906665276662359,DeepSeek LLM law
S1,total,1e+24,5.6812043980353355,248.2150278207071,Chinchilla; Llama 3; Marin
S1,total,1e+24,6.486875430061511,63.31329003799508,Chinchilla (alone)
S1,total,1e+24,5.6812043980353355,44.765437208578895,Llama 3 (alone)
S1,total,1e+24,32.25099347265319,248.2150278207071,Marin (alone)
S1,ds,1e+24,13.906665276662359,13.906665276662359,DeepSeek LLM law (alone)
S1,ds,1e+25,12.434347536965099,12.434347536965099,DeepSeek LLM law
S1,total,1e+25,4.532823218097177,468.36699910490734,Chinchilla; Llama 3; Marin
S1,total,1e+25,4.87176493781827,83.0284254553953,Chinchilla (alone)
S1,total,1e+25,4.532823218097177,58.28415047819387,Llama 3 (alone)
S1,total,1e+25,42.566780681353876,468.36699910490734,Marin (alone)
S1,ds,1e+25,12.434347536965099,12.434347536965099,DeepSeek LLM law (alone)
S2(f)-total,ds,1e+22,17.394942665256053,17.394942665256053,DeepSeek LLM law
S2(f)-total,total,1e+22,6.911699852484535,88.03127442157387,"Chinchilla; Llama 3 (total parameters, conversion bound); Marin (total parameters)"
