key,slot,description,value,value_raw,source
S1_Mstar_10^24,"W11(a), W12, W23(m)","identified set for M*(10^24) (three studies, models' convention)","[5.7, 248]",5.6812; 248.215,output/tables/rb5_sign_mstar_sets.csv
S1_Mstar_10^25,"W11(a), W12, W23(m)","identified set for M*(10^25) (three studies, models' convention)","[4.5, 468]",4.53282; 468.367,output/tables/rb5_sign_mstar_sets.csv
S1_share_models,"W11(b), H6, H11(g), W22(c), H1, W3",S1: share of models with w > 1 identified (tau = 1),78,0.7792207792207793,output/tables/rb5_sign_shares.csv
S1_share_cw_models,"W11(b), H6, H11(g), W22(c)",S1: compute-weighted share of models identified (tau = 1),24,0.23726581020279672,output/tables/rb5_sign_shares.csv
S1_share_decisions (49),"W11(b), H6, H11(g), W22(c), H1, W3",S1: share of decisions (49) with w > 1 identified (tau = 1),69,0.6938775510204082,output/tables/rb5_sign_shares.csv
S1_share_cw_decisions (49),"W11(b), H6, H11(g), W22(c)",S1: compute-weighted share of decisions (49) identified (tau = 1),14,0.1386968460757243,output/tables/rb5_sign_shares.csv
S1_share_decisions (56),"W11(b), H6, H11(g), W22(c), H1, W3",S1: share of decisions (56) with w > 1 identified (tau = 1),71,0.7142857142857143,output/tables/rb5_sign_shares.csv
S1_share_cw_decisions (56),"W11(b), H6, H11(g), W22(c)",S1: compute-weighted share of decisions (56) identified (tau = 1),15,0.1458490404048809,output/tables/rb5_sign_shares.csv
S1_share_models below 15B,"W11(b), H6, H11(g), W22(c), H1, W3",S1: share of models below 15B with w > 1 identified (tau = 1),98,0.9830508474576272,output/tables/rb5_sign_shares.csv
S1_share_cw_models below 15B,"W11(b), H6, H11(g), W22(c)",S1: compute-weighted share of models below 15B identified (tau = 1),>99,0.995400355729795,output/tables/rb5_sign_shares.csv
S1_most_models,H1,S1 share of models above one half ('most models'),True,True,output/tables/rb5_sign_shares.csv
S1_most_decisions,W3,S1 share of decisions (49) above one half ('most allocation decisions'),True,True,output/tables/rb5_sign_shares.csv
S1_most_compute,"H1, W3",S1 compute-weighted share of models above one half,False,False,output/tables/rb5_sign_shares.csv
S1_share_models_tau1.3,"W11(c), H6",S1: share of models identified at tau = 1.3,74,0.7402597402597403,output/tables/rb5_sign_shares.csv
S1_share_cw_models_tau1.3,W11(c),S1: compute-weighted share of models at tau = 1.3,23,0.2325444538231017,output/tables/rb5_sign_shares.csv
S1_share_decisions_tau1.3,"W22(c), W23(m)",S1: share of decisions (49) at tau = 1.3,67,0.673469387755102,output/tables/rb5_sign_shares.csv
S1_share_cw_decisions_tau1.3,W22(c),S1: compute-weighted share of decisions (49) at tau = 1.3,14,0.1381159723047163,output/tables/rb5_sign_shares.csv
S1_share_models_tau1.84,"W11(c), H6",S1: share of models identified at tau = 1.84,66,0.6623376623376623,output/tables/rb5_sign_shares.csv
S1_share_cw_models_tau1.84,W11(c),S1: compute-weighted share of models at tau = 1.84,17,0.17097332093407522,output/tables/rb5_sign_shares.csv
S1_share_decisions_tau1.84,"W22(c), W23(m)",S1: share of decisions (49) at tau = 1.84,61,0.6122448979591837,output/tables/rb5_sign_shares.csv
S1_share_cw_decisions_tau1.84,W22(c),S1: compute-weighted share of decisions (49) at tau = 1.84,11,0.11462204597154485,output/tables/rb5_sign_shares.csv
S1_share_models_tau3.4,"W11(c), H6",S1: share of models identified at tau = 3.4,53,0.5324675324675324,output/tables/rb5_sign_shares.csv
S1_share_cw_models_tau3.4,W11(c),S1: compute-weighted share of models at tau = 3.4,16,0.15746732980646963,output/tables/rb5_sign_shares.csv
S1_share_decisions_tau3.4,"W22(c), W23(m)",S1: share of decisions (49) at tau = 3.4,47,0.46938775510204084,output/tables/rb5_sign_shares.csv
S1_share_cw_decisions_tau3.4,W22(c),S1: compute-weighted share of decisions (49) at tau = 3.4,10,0.10303337000107163,output/tables/rb5_sign_shares.csv
S1_share_models_tau4.4,"W11(c), H6",S1: share of models identified at tau = 4.4,47,0.4675324675324675,output/tables/rb5_sign_shares.csv
S1_share_cw_models_tau4.4,W11(c),S1: compute-weighted share of models at tau = 4.4,13,0.13227484196290618,output/tables/rb5_sign_shares.csv
S1_share_decisions_tau4.4,"W22(c), W23(m)",S1: share of decisions (49) at tau = 4.4,41,0.40816326530612246,output/tables/rb5_sign_shares.csv
S1_share_cw_decisions_tau4.4,W22(c),S1: compute-weighted share of decisions (49) at tau = 4.4,10,0.09538322723299875,output/tables/rb5_sign_shares.csv
