path,corpus,conv,n_budgets,n_groups,df_resid,C_J,Mstar_J,Mstar_J_lo,Mstar_J_hi,e,e_lo,e_hi,resid_sd_pooled,q_sup,q_boot,q_normal,q_grid,crit_rule,q_anchor_pointwise,B,studentize,simultaneous,C_band_lo,C_band_hi,sensitivity
Marin (total parameters),DCLM,total,19,3,15,2.9111818852031486e+20,15.899034385796838,12.829568633629178,19.702867775161124,0.24655008791615562,0.17526379498320432,0.3178363808491069,0.20078503434089842,2.756353602387026,2.74834726706409,2.756353602387026,2.748347261762854,max,2.187407758207849,9999,pooled,True,2.9111818852031486e+20,3.996848041352849e+25,
Marin (total parameters),Nemotron-CC,total,19,3,15,2.9111818852031486e+20,16.363638834879126,13.157137789019892,20.351590156776115,0.24655008791615562,0.17526379498320432,0.3178363808491069,0.20078503434089842,2.756353602387026,2.74834726706409,2.756353602387026,2.748347261762854,max,2.2249919670701193,9999,pooled,True,2.9111818852031486e+20,3.996848041352849e+25,
Marin (total parameters),Comma,total,19,3,15,2.9111818852031486e+20,21.563739291103868,16.824768627268455,27.637518382336886,0.24655008791615562,0.17526379498320432,0.3178363808491069,0.20078503434089842,2.756353602387026,2.74834726706409,2.756353602387026,2.748347261762854,max,2.2266387115996285,9999,pooled,True,2.9111818852031486e+20,3.996848041352849e+25,
Chinchilla (N_F),Chinchilla (N_F),nf,9,1,7,3.0000000000000094e+21,20.570386684341386,13.629056349077754,31.04696301090297,0.022183082647848795,-0.10336514757551932,0.1477313128712169,0.2761080554283864,2.7706140036821307,2.7706140036821307,2.7225307642343144,2.7706140036821303,max,2.364624251592784,9999,pooled,True,4.7943562070580553e+20,3.996848041352849e+25,
Chinchilla,Chinchilla,total,9,1,7,3.0000000000000094e+21,20.65915521525489,12.384287157783412,34.463081223028084,-0.0033086562576918888,-0.17362540484895198,0.1670080923335682,0.2711169154251895,3.2281157959742566,3.2281157959742566,,3.2281157959742566,max,2.6454411384267504,9999,hc2,True,4.7943562070580553e+20,3.996848041352849e+25,S1 HC2 studentization
Llama 3,Llama 3,total,8,1,6,9.999999999999983e+20,15.062172299773199,9.657336158841957,23.491885407793408,0.008268003741692398,-0.10828484589882267,0.12482085338220747,0.18514650138803732,4.39676354468482,4.39676354468482,,4.39676354468482,max,3.959317813994421,9999,hc2,True,4.7943562070580553e+20,3.996848041352849e+25,S1 HC2 studentization
Marin,DCLM,total,19,3,15,2.9999999999999954e+20,15.03313674894397,11.82431023479101,19.112759731852897,0.1984999385410169,0.12880412782107548,0.26819574926095835,0.20162966712747166,2.8558169150103536,2.8558169150103536,,2.8558169150103536,max,2.358773000879496,9999,hc2,True,2.9999999999999954e+20,3.996848041352849e+25,S1 HC2 studentization
Marin,Nemotron-CC,total,19,3,15,2.9999999999999954e+20,15.5155295748299,11.90286100118652,20.22468866631512,0.1984999385410169,0.12880412782107548,0.26819574926095835,0.20162966712747166,2.8558169150103536,2.8558169150103536,,2.8558169150103536,max,2.5631140147793254,9999,hc2,True,2.9999999999999954e+20,3.996848041352849e+25,S1 HC2 studentization
Marin,Comma,total,19,3,15,2.9999999999999954e+20,20.803111328909182,16.144440927913784,26.8060964696975,0.1984999385410169,0.12880412782107548,0.26819574926095835,0.20162966712747166,2.8558169150103536,2.8558169150103536,,2.8558169150103536,max,1.7228421565602512,9999,hc2,True,2.9999999999999954e+20,3.996848041352849e+25,S1 HC2 studentization
Chinchilla,Chinchilla,total,9,1,7,3.0000000000000094e+21,20.65915521525489,13.790105653556932,30.949776958228533,-0.0033086562576918888,-0.12204386297128077,0.11542655045589699,0.2711169154251895,2.725557476460201,2.7254630754582188,2.725557476460201,2.7254630689631703,max,2.364624251592784,9999,pooled,False,4.7943562070580553e+20,3.996848041352849e+25,S1 pointwise bands
