quantity,independent,module,abs_diff,tolerance,agrees,note
Chinchilla: slope,-0.0033086562576916416,-0.0033086562576918,1.5829351718288365e-16,1e-09,True,
Chinchilla: pooled residual s.d.,0.2711169154251894,0.2711169154251895,1.1102230246251565e-16,1e-09,True,
Chinchilla: level 1 at c_J,20.659155215254902,20.65915521525489,1.0658141036401503e-14,1e-06,True,
"Chinchilla: normal-theory q (grid 2,001 vs exact sup)",2.7223871839232108,2.725557476460201,0.0031702925369900825,0.03,True,Monte Carlo
Chinchilla: bootstrap q (own seed),2.7616469830679438,2.7254630754582188,0.03618390760972501,0.08,True,Monte Carlo; seeds differ
Llama 3: slope,0.00826800374169248,0.0082680037416923,1.7867651802561113e-16,1e-09,True,
Llama 3: pooled residual s.d.,0.18514650138803726,0.1851465013880373,2.7755575615628914e-17,1e-09,True,
Llama 3: level 1 at c_J,15.062172299773204,15.0621722997732,3.552713678800501e-15,1e-06,True,
"Llama 3: normal-theory q (grid 2,001 vs exact sup)",2.765250259570977,2.7637103448088047,0.0015399147621724119,0.03,True,Monte Carlo
Llama 3: bootstrap q (own seed),2.868703774071437,2.8706831805146376,0.001979406443200382,0.08,True,Monte Carlo; seeds differ
Marin: slope,0.1984999385410168,0.1984999385410169,1.1102230246251565e-16,1e-09,True,
Marin: pooled residual s.d.,0.2016296671274716,0.2016296671274716,0.0,1e-09,True,
Marin: level 1 at c_J,15.033136748943985,15.03313674894397,1.4210854715202004e-14,1e-06,True,
Marin: level 2 at c_J,15.515529574829907,15.5155295748299,7.105427357601002e-15,1e-06,True,
Marin: level 3 at c_J,20.803111328909154,20.803111328909186,3.197442310920451e-14,1e-06,True,
"Marin: normal-theory q (grid 2,001 vs exact sup)",2.7649126834185016,2.767447380916946,0.0025346974984445936,0.03,True,Monte Carlo
Marin: bootstrap q (own seed),2.748725525039296,2.6979822654327887,0.05074325960650716,0.08,True,Monte Carlo; seeds differ
"S1 share models, tau = 1",0.7792207792207793,0.7792207792207793,0.0,1e-12,True,
"S1 share models_cw, tau = 1",0.23726581020279672,0.2372658102027967,2.7755575615628914e-17,1e-12,True,
"S1 share models below 15B, tau = 1",0.9830508474576272,0.9830508474576272,0.0,1e-12,True,
"S1 share decisions (49), tau = 1",0.6938775510204082,0.6938775510204082,0.0,1e-12,True,
"S1 share decisions_cw (49), tau = 1",0.1386968460757243,0.1386968460757243,0.0,1e-12,True,
"S1 share decisions (56), tau = 1",0.7142857142857143,0.7142857142857143,0.0,1e-12,True,
"S1 share decisions_cw (56), tau = 1",0.14584904040488086,0.1458490404048809,2.7755575615628914e-17,1e-12,True,
"S1 share models, tau = 1.3",0.7402597402597403,0.7402597402597403,0.0,1e-12,True,
"S1 share models_cw, tau = 1.3",0.2325444538231017,0.2325444538231017,0.0,1e-12,True,
"S1 share models below 15B, tau = 1.3",0.9322033898305084,0.9322033898305084,0.0,1e-12,True,
"S1 share decisions (49), tau = 1.3",0.673469387755102,0.673469387755102,0.0,1e-12,True,
"S1 share decisions_cw (49), tau = 1.3",0.1381159723047163,0.1381159723047163,0.0,1e-12,True,
"S1 share decisions (56), tau = 1.3",0.6785714285714286,0.6785714285714286,0.0,1e-12,True,
"S1 share decisions_cw (56), tau = 1.3",0.14258650259308925,0.1425865025930892,5.551115123125783e-17,1e-12,True,
"S1 share models, tau = 1.84",0.6623376623376623,0.6623376623376623,0.0,1e-12,True,
"S1 share models_cw, tau = 1.84",0.17097332093407522,0.1709733209340752,2.7755575615628914e-17,1e-12,True,
"S1 share models below 15B, tau = 1.84",0.864406779661017,0.864406779661017,0.0,1e-12,True,
"S1 share decisions (49), tau = 1.84",0.6122448979591837,0.6122448979591837,0.0,1e-12,True,
"S1 share decisions_cw (49), tau = 1.84",0.11462204597154488,0.1146220459715448,8.326672684688674e-17,1e-12,True,
"S1 share decisions (56), tau = 1.84",0.6071428571428571,0.6071428571428571,0.0,1e-12,True,
"S1 share decisions_cw (56), tau = 1.84",0.11866741446776838,0.1186674144677683,8.326672684688674e-17,1e-12,True,
"S1 share models, tau = 3.4",0.5324675324675324,0.5324675324675324,0.0,1e-12,True,
"S1 share models_cw, tau = 3.4",0.15746732980646963,0.1574673298064696,2.7755575615628914e-17,1e-12,True,
"S1 share models below 15B, tau = 3.4",0.6949152542372882,0.6949152542372882,0.0,1e-12,True,
"S1 share decisions (49), tau = 3.4",0.46938775510204084,0.4693877551020408,5.551115123125783e-17,1e-12,True,
"S1 share decisions_cw (49), tau = 3.4",0.10303337000107166,0.1030333700010716,5.551115123125783e-17,1e-12,True,
"S1 share decisions (56), tau = 3.4",0.48214285714285715,0.4821428571428571,5.551115123125783e-17,1e-12,True,
"S1 share decisions_cw (56), tau = 3.4",0.10707873849729516,0.1070787384972951,5.551115123125783e-17,1e-12,True,
"S1 share models, tau = 4.4",0.4675324675324675,0.4675324675324675,0.0,1e-12,True,
"S1 share models_cw, tau = 4.4",0.13227484196290618,0.1322748419629061,8.326672684688674e-17,1e-12,True,
"S1 share models below 15B, tau = 4.4",0.6101694915254238,0.6101694915254238,0.0,1e-12,True,
"S1 share decisions (49), tau = 4.4",0.40816326530612246,0.4081632653061224,5.551115123125783e-17,1e-12,True,
"S1 share decisions_cw (49), tau = 4.4",0.09538322723299875,0.0953832272329987,4.163336342344337e-17,1e-12,True,
"S1 share decisions (56), tau = 4.4",0.42857142857142855,0.4285714285714285,5.551115123125783e-17,1e-12,True,
"S1 share decisions_cw (56), tau = 4.4",0.0998080447428053,0.0998080447428053,0.0,1e-12,True,
"S1 share models, tau = 8",0.37662337662337664,0.3766233766233766,5.551115123125783e-17,1e-12,True,
"S1 share models_cw, tau = 8",0.07960723079159537,0.0796072307915953,6.938893903907228e-17,1e-12,True,
"S1 share models below 15B, tau = 8",0.4915254237288136,0.4915254237288136,0.0,1e-12,True,
"S1 share decisions (49), tau = 8",0.30612244897959184,0.3061224489795918,5.551115123125783e-17,1e-12,True,
"S1 share decisions_cw (49), tau = 8",0.013934123218742225,0.0139341232187422,2.6020852139652106e-17,1e-12,True,
"S1 share decisions (56), tau = 8",0.32142857142857145,0.3214285714285714,5.551115123125783e-17,1e-12,True,
"S1 share decisions_cw (56), tau = 8",0.014995378942665104,0.0149953789426651,3.469446951953614e-18,1e-12,True,
"S1 share models, tau = 10",0.3246753246753247,0.3246753246753247,0.0,1e-12,True,
"S1 share models_cw, tau = 10",0.057691550983924526,0.0576915509839245,2.7755575615628914e-17,1e-12,True,
"S1 share models below 15B, tau = 10",0.423728813559322,0.423728813559322,0.0,1e-12,True,
"S1 share decisions (49), tau = 10",0.2653061224489796,0.2653061224489796,0.0,1e-12,True,
"S1 share decisions_cw (49), tau = 10",0.007240411600697862,0.0072404116006978,6.158268339717665e-17,1e-12,True,
"S1 share decisions (56), tau = 10",0.2857142857142857,0.2857142857142857,0.0,1e-12,True,
"S1 share decisions_cw (56), tau = 10",0.00830166732462074,0.0083016673246207,3.9898639947466563e-17,1e-12,True,
"S1 compute-weighted share, 2023",0.11920581733460503,0.119205817334605,2.7755575615628914e-17,1e-12,True,
"S1 compute-weighted share, 2024",0.19210574132196373,0.1921057413219637,2.7755575615628914e-17,1e-12,True,
"S1 compute-weighted share, 2025",0.48646881457147517,0.4864688145714751,5.551115123125783e-17,1e-12,True,
S1: models identified as w < 1,0.0,0.0,0.0,0.0,True,
S1: unidentified models,17.0,17.0,0.0,0.0,True,
S1: largest M among unidentified,247.57172148810363,247.57172148810363,0.0,1e-06,True,
"S1: lower end of the set at the models' compute, min",3.97846747602825,3.974575460366895,0.003892015661354886,0.02,True,Monte Carlo q
"S1: lower end of the set at the models' compute, max",11.446060188841198,11.443939471801093,0.002120717040105191,0.04,True,Monte Carlo q
M*(1e+24) lower end,5.685249056320842,5.6812043980353355,0.004044658285506486,0.11370498112641685,True,relative 2 percent (Monte Carlo q)
M*(1e+24) upper end,248.01754494031195,248.2150278207071,0.1974828803951425,4.960350898806239,True,relative 2 percent (Monte Carlo q)
M*(1e+25) lower end,4.5368162069433025,4.532823218097177,0.0039929888461252006,0.09073632413886605,True,relative 2 percent (Monte Carlo q)
M*(1e+25) upper end,467.918115415807,468.36699910490734,0.4488836891003416,9.35836230831614,True,relative 2 percent (Monte Carlo q)
"breakdown tau, all models",3.6642955834960507,3.6619437334517704,0.0023518500442802903,0.02,True,
"breakdown tau, below 15B",7.539283940049236,7.535602276111763,0.0036816639374732674,0.02,True,
"breakdown tau, 49 decisions",2.7271712984224554,2.725431076696434,0.001740221726021396,0.02,True,
"breakdown tau, compute",1.0,1.0,0.0,0.0,True,
P13: SmolLM2 1.7B factor,47.135185823228376,47.104821090456106,0.03036473277227003,0.3,True,Monte Carlo q
S2(a) PI-1 as published: models,0.8701298701298701,0.8701298701298701,0.0,1e-12,True,
S2(a) PI-1 as published: compute,0.48465869666740674,0.4846586966674067,5.551115123125783e-17,1e-12,True,
S2(a) PI-1 as published: 49 decisions,0.8163265306122449,0.8163265306122449,0.0,1e-12,True,
"S2(a)+Comma with version 3's printed interval [0.1, 3,571]: models",0.07792207792207792,0.0779220779220779,1.3877787807814457e-17,1e-12,True,
"S2(b) t-intervals, Comma's own slope: models",0.6753246753246753,0.6753246753246753,0.0,1e-12,True,
"S2(b) t-intervals, Comma's own slope: compute",0.1716563759521036,0.1716563759521036,0.0,1e-12,True,
