model,dev,year,N,D,M,Cmp,Mstar_hi_eff,Mstar_lo_eff,binding_upper,dlo
falcon-180B,TII,2023,179522565120.0,3500000000000.0,19.49615636151623,3.76997386752e+24,357.79238792333103,4.988759736280576,Marin,-2.9097355597038246
llama-65b,Meta,2023,65285665792.0,1400000000000.0,21.444217241505925,5.483995926528e+23,210.41852474166936,6.024288997738782,Marin,-2.283643505781073
falcon-40b,TII,2023,41835970560.0,1000000000000.0,23.902875602367764,2.5101582336e+23,169.79579126565378,6.500156559381074,Marin,-1.9605977173581772
Llama-2-70b-hf,Meta,2023,68976653312.0,2000000000000.0,28.99531803831451,8.27719839744e+23,235.63309121624556,5.7871168325309075,Marin,-2.0951415269941442
deepseek-llm-67b-base,DeepSeek,2024,67000000000.0,2000000000000.0,29.850746268656717,8.04e+23,233.75620233497645,5.803570376336684,Marin,-2.0580688617190335
mpt-30b,MosaicML,2023,30000000000.0,1050000000000.0,35.0,1.89e+23,157.09287457697616,6.681538060992221,Marin,-1.5014891267726775
Llama-3.1-405B,Meta,2024,405853388800.0,15600000000000.0,38.437525546170825,3.798787719168e+25,677.3767662911927,3.9745754603668955,Marin,-2.869193431253506
Qwen-72B,Alibaba,2023,72287920128.0,3000000000000.0,41.50070986532617,1.301182562304e+24,266.870299226758,5.536831707633325,Marin,-1.8610522374102034
llama-30b,Meta,2023,32528947456.0,1400000000000.0,43.03858899503889,2.732431586304e+23,173.7922447603276,6.44682543225321,Marin,-1.3957634584599203
llama-13b,Meta,2023,13015866880.0,1000000000000.0,76.8293045111414,7.809520128e+22,123.36998549256577,7.276876079450605,Marin,-0.47360171596036515
Yi-34B,01.AI,2023,34388917248.0,3000000000000.0,87.23740786501426,6.19000510464e+23,217.5394317487856,5.953572624948455,Marin,-0.913746901290402
Qwen2-72B,Alibaba,2024,72706203648.0,7000000000000.0,96.27789168981808,3.053660553216e+24,337.5897447024973,5.092969365962082,Marin,-1.2545926702153487
Olmo-3-1125-32B,AI2,2025,32233522176.0,5600000000000.0,173.73217762002974,1.0830463451136e+24,253.7248283541643,5.637078018101075,Marin,-0.37873542249621917
OLMo-2-0325-32B,AI2,2025,32234279936.0,6150000000000.0,190.79067415839916,1.1894449296384e+24,260.35444597119493,5.585667071532855,Marin,-0.31086707612106057
Apertus-70B-2509,Swiss AI,2025,70599864480.0,15000000000000.0,212.46499707162045,6.3539878032e+24,413.23369100305723,4.739477793763671,Marin,-0.6652360155812636
Meta-Llama-3-70B,Meta,2024,70553706496.0,15000000000000.0,212.60399694026586,6.34983358464e+24,413.15908597947276,4.739782369708413,Marin,-0.6644014488536802
Qwen2.5-72B,Alibaba,2024,72706203648.0,18000000000000.0,247.57172148810363,7.852269993984e+24,438.11101645597694,4.641877745628872,Marin,-0.5707720166687302
