variable,scope,n,agreement,kappa
reading,common-budget,17,0.8823529411764706,0.8265306122448979
D_margin,common-budget,17,0.8823529411764706,0.7792207792207791
own_cap,all,49,0.9591836734693877,0.8955223880597014
R_CO,all,49,0.9795918367346939,0.8463949843260187
R_INF,all,49,0.9795918367346939,0.9585798816568046
R_DEV,all,49,1.0,1.0
synthetic,all,49,1.0,1.0
N_margin,common-budget,17,1.0,1.0
own_cap,size-specific member or singleton,32,1.0,1.0
R_NONE,all,49,0.9795918367346939,0.9574283231972197
deployment_rationale,all,49,1.0,1.0
