row,n,groups,median_w,share_w_gt1,share_allpoints_gt1,share_band_gt1,median_s
Common-budget members,45,16.0,3.7904764973965337,0.9777777777777777,0.5333333333333333,0.17777777777777778,0.7361809258844254
Size-specific members,17,9.0,4.417266311464716,0.9411764705882353,0.7647058823529411,0.29411764705882354,0.7736156415553739
Single-model releases,15,15.0,3.9252446146294586,1.0,0.7333333333333333,0.06666666666666667,0.7452388072139551
Decisions of one model,32,24.0,4.03251996969461,0.96875,0.75,0.1875,0.7520153417129352
"No synthetic data, earlier flag",68,31.0,3.7982348204473113,0.9705882352941176,0.5882352941176471,0.14705882352941177,0.7367187076214845
"No synthetic data, protocol rule$^b$",39,22.0,2.6644342879675063,0.9487179487179487,0.41025641025641024,0.05128205128205128,0.6246858087227125
This size served by its developer$^a$,26,6.0,5.841434665754548,1.0,,,0.828557482171047
Not served,51,15.0,3.8006661842726315,0.9607843137254902,,,0.7368882318215539
On-device target,9,2.0,9.54032853240347,1.0,,,0.8951818067267258
In a memory-tier window,49,15.0,3.1070785676869286,0.9795918367346939,,,0.6781542602752875
Outside the tier windows,28,10.0,7.083407429533742,0.9642857142857143,,,0.8580719991401585
$M\le341$ (Chinchilla's range),31,,2.2581621401727494,0.9354838709677419,,,0.5571620025816658
$M>341$,46,,6.642735131227868,1.0,,,0.8494402653569757
