unit,reading,id_class,s_ref,w_ref,w_ref_lo,w_ref_hi
Llama-2,choice,point,0.2259281843716136,1.2918697978794211,1.0631260935519555,1.5638797276791967
Llama#1,choice,point,0.4631204505599863,1.862615182573147,1.5779216410435817,2.203508760629506
Llama#2,cap or choice,lower bound (point if choice),0.0811837762217339,1.0883569250528664,0.903809467287513,1.302962646575107
Llama-3 herd,cap or choice,lower bound (point if choice),0.2937479048727276,1.4159250031248287,1.0860186395338145,1.84311987164266
Qwen#2,cap or choice,lower bound (point if choice),0.3064608351730406,1.4418796381160446,1.173426326687106,1.7657470556841068
Qwen2#1,menu,point,0.5123680170386364,2.0507268492256236,1.622100067959041,2.5893353206366134
Yi,menu,point,0.4919591934588733,1.9683458240456289,1.6041755008040668,2.4157185554585805
MPT,menu,point,0.2495267789180395,1.3324925818915907,1.1249337114482303,1.574574720055645
DeepSeek-LLM,cap+menu,lower bound,0.1799295234407594,1.2194073906863316,1.002563264049164,1.4766269312483096
StableLM-alpha,choice,point,0.5252893045020336,2.1065461753521495,1.800188265969378,2.4616779293985833
SmolLM#1,cap or choice,lower bound,0.8553108365853535,6.911367626988243,5.760054236412954,8.429865928552069
Qwen2.5,cap or choice,lower bound (point if choice),0.7165413911661895,3.5278519291198953,2.685347960668636,4.591506875375912
Qwen3,cap or choice,lower bound (point if choice),0.89042713253864,9.12634690657012,6.766888430952909,12.41573557011429
OLMo-2#1,choice,point,0.7699689468342392,4.347239149835123,3.4962418954516754,5.401607573003156
Olmo-3,choice,point,0.6290861932537593,2.6960441531478128,2.1431802159514723,3.3786041642259956
Granite-3.0,cap or choice,lower bound (point if choice),0.8504073131525657,6.684818764034058,5.159080370141951,8.724072058326582
Apertus,choice,point,0.6490643671488323,2.849525401212539,2.1849556287872476,3.706233368961893
