item,quantity,value,formatted,source,note
"W5(b), W6, W21",decision units (budget level),49,49,output/tables/rb2_decisions_headline.csv,
W5(b),units that are families sharing one budget,17,17,output/tables/rb2_decisions_headline.csv,
W1,size-specific members (own units),17,17,data/processed/rb2_decisions/decision_units.csv,
W1,singletons,15,15,data/processed/rb2_decisions/decision_units.csv,
W6,"median w, decision units (reference)",3.766930300291516,3.77,output/tables/rb2_decisions_headline.csv,
W6,"median s, decision units (reference)",0.7345318547777187,0.735,output/tables/rb2_decisions_headline.csv,
W6,median s interval (joint wild bootstrap),"[0.657, 0.782]","[0.657, 0.782]",output/tables/rb2_decisions_headline.csv,
W6,median s interval (budget+trunk cluster bootstrap),"[0.512, 0.806]","[0.512, 0.806]",output/tables/rb2_decisions_headline.csv,
"W6, W20","marginal value of compactness of the median decision, w - 1 (percent of training cost per percent of size)",2.766930300291516,2.77,output/tables/rb2_decisions_headline.csv,a model one percent smaller at the same loss is worth w - 1 percent of training cost
W6,share of decisions over-trained (w > 1),0.979591836734694,0.980,output/tables/rb2_decisions_headline.csv,
W6,share over-trained interval (wild),"[0.937, 1.000]","[0.937, 1.000]",output/tables/rb2_decisions_headline.csv,
"W6, W22(c)",median s over the 77 models (n = 77),0.7491366913433287,0.749,output/tables/rb2_decisions_headline.csv,"interval [0.689, 0.794]"
"W6, W22(c)",median s over the 56 family-label units (n = 56),0.7357100432996362,0.736,output/tables/rb2_decisions_headline.csv,"interval [0.666, 0.784]"
"W6, W22(c)","median s, cap-type budgets split into members (n = 66)",0.7509790414479696,0.751,output/tables/rb2_decisions_headline.csv,"interval [0.694, 0.798]"
"W6, W22(c)","median s, version 3's 66 reading-consistent units (n = 66)",0.7520153417129352,0.752,output/tables/rb2_decisions_headline.csv,"interval [0.703, 0.804]"
"W6, W22(c)","median s, OLMo 2 1B as its own unit (n = 50)",0.7357100432996362,0.736,output/tables/rb2_decisions_headline.csv,"interval [0.666, 0.784]"
W16,"median s over all decisions, lab-own where available, reference elsewhere",0.7165413911661895,0.717,output/tables/rb2_decisions_headline.csv,
"W2, W5(b), W6",point-identified units: n,29,29,output/tables/rb2_decisions_headline.csv,
