stat,point,lo,hi,B,n_finite,share_le0
s_agg_units_2023,0.24168170584229384,0.09247524364494933,0.5099073285004986,9999,9999,0.0
s_agg_units_2024,0.5384500202871144,0.34393533041065144,0.793802804601,9999,9999,0.0
s_agg_units_2025,0.814274844512894,0.6451369525540439,0.8902702755777253,9999,9968,0.0
s_agg_units_d2324,0.29676831444482055,0.02410803180366076,0.6529179292809147,9999,9999,0.015101510151015102
s_agg_units_d2425,0.2758248242257796,-0.11879880936722105,0.44143884752412405,9999,9968,0.10403290529695024
s_agg_units_d2325,0.5725931386706001,0.18898523258887193,0.7150514787177743,9999,9968,0.0020064205457463883
median_s_units_2023,0.48732276107047223,0.2377274816448266,0.5934481841946295,9999,9999,0.0
median_s_units_2024,0.7736156415553738,0.7344962090335343,0.8510018099198322,9999,9999,0.0
median_s_units_2025,0.7446735224229226,0.6290861932537593,0.89042713253864,9999,9968,0.0
median_s_units_d2324,0.28629288048490154,0.19163003765411013,0.5697402626316787,9999,9999,0.0
median_s_units_d2425,-0.02894211913245115,-0.18749996305644923,0.12660113316668797,9999,9968,0.5558788121990369
median_s_units_d2325,0.2573507613524504,0.06812578804069269,0.5907558987789734,9999,9968,0.0
s_agg_models_2023,0.27073534599212346,0.10215544372776474,0.5336593369210791,9999,9999,0.0
s_agg_models_2024,0.5847245285923777,0.40427641791164265,0.7951732780286884,9999,9999,0.0
s_agg_models_2025,0.8291467257178425,0.6703528872557643,0.8997897244269744,9999,9968,0.0
s_agg_models_d2324,0.3139891826002542,0.03775455724618259,0.6513626578405408,9999,9999,0.009100910091009102
s_agg_models_d2425,0.24442219712546487,-0.09879456756296326,0.3922758990884278,9999,9968,0.10272873194221509
s_agg_models_d2325,0.5584113797257191,0.18275583935955453,0.706027045933625,9999,9968,0.0018057784911717496
median_s_models_2023,0.5535544164609436,0.4144343921410437,0.6171019914283655,9999,9999,0.0
median_s_models_2024,0.8206948197148135,0.7471877492786418,0.84953084346522,9999,9999,0.0
median_s_models_2025,0.8679236578309063,0.7385796452164521,0.923944454730504,9999,9968,0.0
median_s_models_d2324,0.2671404032538699,0.1800944867768779,0.3936048695953487,9999,9999,0.0
median_s_models_d2425,0.0472288381160928,-0.04647536026576082,0.10252351123896819,9999,9968,0.10573836276083468
median_s_models_d2325,0.3143692413699627,0.1908334461155492,0.4380863620374963,9999,9968,0.0
